Asset,Strategy,Sizing_Mode,Initial_Capital,Final_Capital,Total_Return_Pct,CAGR_Pct,Max_Drawdown_Pct,Total_Trades,Win_Rate_Pct,Gross_Profit,Gross_Loss,Profit_Factor,Sharpe_Ratio,Sortino_Ratio,Margin_Calls
Nifty 50 Futures,"Supertrend (10,3)",Micro Futures 1.0x (Unleveraged),100000.0,59074.63,-40.93,-8.91,47.73,53,22.64,58301.26,97799.69,0.6,-0.6,-0.87,0
Nifty 50 Futures,"Supertrend (10,3)",Micro Futures 2.0x (Leveraged),100000.0,31216.39,-68.78,-18.64,73.96,53,22.64,99676.13,166927.86,0.6,-0.6,-0.87,0
Nifty 50 Futures,"Supertrend (10,3)",Fixed 1 Contract Lot (Real Margin Sized),100000.0,-175554.22,-275.55,-100.0,100.0,53,26.42,332671.56,554981.1,0.6,0.0,inf,561
Nifty 50 Futures,"Supertrend (7,2)",Micro Futures 1.0x (Unleveraged),100000.0,96269.29,-3.73,-0.67,22.9,80,32.5,107913.27,110960.74,0.97,0.02,0.03,0
Nifty 50 Futures,"Supertrend (7,2)",Micro Futures 2.0x (Leveraged),100000.0,82977.26,-17.02,-3.25,43.12,80,32.5,206357.55,222194.56,0.93,0.02,0.03,0
Nifty 50 Futures,"Supertrend (7,2)",Fixed 1 Contract Lot (Real Margin Sized),100000.0,100389.17,0.39,0.07,89.08,80,35.0,549210.57,500428.46,1.1,0.39,0.56,126
Nifty 50 Futures,EMA 10/50 Crossover,Micro Futures 1.0x (Unleveraged),100000.0,101063.24,1.06,0.19,25.49,39,38.46,57931.27,58237.26,0.99,0.08,0.12,0
Nifty 50 Futures,EMA 10/50 Crossover,Micro Futures 2.0x (Leveraged),100000.0,91378.36,-8.62,-1.59,45.42,39,35.9,101201.38,112125.33,0.9,0.08,0.12,0
Nifty 50 Futures,EMA 10/50 Crossover,Fixed 1 Contract Lot (Real Margin Sized),100000.0,137183.68,37.18,5.76,70.3,39,41.03,336554.55,273250.55,1.23,0.42,0.63,6
Nifty 50 Futures,SMA 20/200 Crossover,Micro Futures 1.0x (Unleveraged),100000.0,48582.48,-51.42,-12.01,56.54,10,10.0,11477.89,61367.19,0.19,-0.85,-1.18,0
Nifty 50 Futures,SMA 20/200 Crossover,Micro Futures 2.0x (Leveraged),100000.0,21100.02,-78.9,-24.1,82.15,10,10.0,10214.04,87514.52,0.12,-0.85,-1.18,0
Nifty 50 Futures,SMA 20/200 Crossover,Fixed 1 Contract Lot (Real Margin Sized),100000.0,-186413.97,-286.41,-100.0,100.0,10,10.0,124671.63,372235.2,0.33,0.0,inf,1250
Nifty 50 Futures,Donchian Breakout (20d),Micro Futures 1.0x (Unleveraged),100000.0,78775.21,-21.22,-4.14,27.84,68,27.94,50831.2,72055.99,0.71,-0.42,-0.42,0
Nifty 50 Futures,Donchian Breakout (20d),Micro Futures 2.0x (Leveraged),100000.0,59149.37,-40.85,-8.89,49.18,68,27.94,97847.72,138698.35,0.71,-0.42,-0.42,0
