Fund/Benchmark Name,Category,Scheme Code,Start Date,End Date,Start NAV,End NAV,Final Capital (₹),Abs Return (%),CAGR (%),Volatility (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Beta vs Nifty50,Alpha vs Nifty50 (%)
Quant Small Cap Direct,Active Small Cap,120828,2021-08-25,2026-08-25,123.3396,319.0378,258666.15,158.67,20.94,19.04,-25.17,0.785,0.675,0.593,1.03,11.89
Nippon India Small Cap Direct,Active Small Cap,118778,2021-08-25,2026-08-25,81.1731,209.8001,258460.13,158.46,20.92,16.49,-24.21,0.905,0.765,0.616,0.92,12.21
HDFC Flexi Cap Direct,Active Flexi Cap,118955,2021-08-25,2026-08-25,957.249,2297.867,240049.04,140.05,19.14,12.89,-13.32,1.02,0.948,0.987,0.88,10.54
Nifty Midcap 150 TRI (Motilal Index),Passive Mid Cap Baseline,147622,2021-08-25,2026-08-25,18.361,42.7131,232629.49,132.63,18.4,16.87,-21.19,0.735,0.638,0.585,1.0,9.45
Nifty Smallcap 250 TRI (Motilal Index),Passive Small Cap Baseline,147623,2021-08-25,2026-08-25,19.102,41.133,215333.47,115.33,16.58,18.55,-26.78,0.571,0.472,0.395,1.0,7.64
SBI Small Cap Direct,Active Small Cap,125497,2021-08-25,2026-08-25,101.532,214.8881,211645.69,111.65,16.18,13.78,-22.42,0.739,0.665,0.454,0.72,8.06
Nifty Next 50 TRI (ICICI Index),Passive Large-Mid Baseline,120684,2021-08-25,2026-08-25,36.3007,69.3446,191028.27,91.03,13.82,17.85,-26.68,0.438,0.378,0.293,1.07,4.66
Parag Parikh Flexi Cap Direct,Active Flexi Cap,122639,2021-08-25,2026-08-25,48.8973,91.1854,186483.51,86.48,13.28,11.57,-17.87,0.629,0.593,0.407,0.69,5.23
ICICI Pru Bluechip Direct,Active Large Cap,120586,2021-08-25,2026-08-25,65.6,121.21,184771.34,84.77,13.07,12.81,-15.39,0.551,0.528,0.459,0.91,4.38
Mirae Asset Large Cap Direct,Active Large Cap,118825,2021-08-25,2026-08-25,80.928,129.889,160499.46,60.5,9.93,13.57,-17.44,0.289,0.273,0.225,0.96,1.08
Nifty 50 TRI (UTI Index),Passive Large Cap Baseline,120716,2021-08-25,2026-08-25,111.6281,171.3495,153500.33,53.5,8.95,13.81,-16.56,0.214,0.208,0.178,1.0,-0.0
