Symbol,Sector,EntryDate,ExitDate,HoldingDays,MaxDipPct,FinalReturnPct,ExitReason
ANANTRAJ,Real Estate,2022-12-01,2025-02-01,536,-13.725488694196333,492.5191230328097,MONTHLY_CLOSE_LT_M_EMA9
MAHASTEEL,Metals & Mining,2024-12-09,2026-08-24,424,-14.91469252166025,454.4246971641728,END_OF_BACKTEST
AARON,Capital Goods,2021-02-01,2024-03-01,763,-10.079832460353023,410.0092232845442,MONTHLY_CLOSE_LT_M_EMA9
KEI,Electricals,2022-02-02,2025-02-01,741,-14.148424962314216,266.0918054390815,MONTHLY_CLOSE_LT_M_EMA9
DIVISLAB,Healthcare,2019-05-13,2022-02-01,676,-10.361190837705278,149.5696633799108,MONTHLY_CLOSE_LT_M_EMA9
