Sector,Baseline Trades,Baseline Win Rate (%),Baseline Avg Return (%),Combo A Trades,Combo A Pass %,Combo A Avg Return (%),Full Screen Trades,Full Screen Pass %,Full Screen Avg Return (%)
Healthcare,455,32.30769230769231,2.14125789898541,109,23.956043956043956,2.9132555070552297,44,9.670329670329672,3.7652739930243357
Capital Goods,407,28.501228501228503,1.892939281613171,97,23.832923832923832,1.9857959803219434,31,7.616707616707617,2.4469864263221366
Automobile & Ancillaries,370,28.10810810810811,1.6669134194759654,84,22.702702702702705,3.720474372454172,44,11.891891891891893,2.0183796706917465
Finance,339,34.51327433628318,2.6778805554931493,38,11.209439528023598,1.1858885929674081,8,2.359882005899705,1.5378480908233143
Chemicals,329,28.87537993920973,2.4650125376218406,103,31.30699088145897,4.626561727862433,46,13.98176291793313,2.380881763456156
Metals & Mining,323,28.173374613003094,3.269844021843137,62,19.195046439628484,1.5218700743244251,29,8.978328173374612,0.1557911421803105
Software & IT Services,314,29.617834394904456,2.0044318662386598,114,36.30573248407643,3.022944319730218,22,7.006369426751593,3.8488121651153793
ETF,188,40.95744680851064,0.5320682940393106,0,0.0,0.0,0,0.0,0.0
FMCG,167,24.550898203592812,0.677889177727908,78,46.706586826347305,0.2734562681050724,23,13.77245508982036,2.087458664820735
Real Estate,145,28.965517241379313,1.6346340691628696,10,6.896551724137931,11.179486678364771,4,2.7586206896551726,21.3183498186374
Infrastructure,144,29.86111111111111,2.2051333507150668,19,13.194444444444445,2.028019094628861,8,5.555555555555555,4.554030962327586
Textiles,143,30.069930069930066,3.450124138631199,21,14.685314685314685,7.068818486307965,9,6.293706293706294,9.81473224511772
Agri,119,28.57142857142857,3.091668976888426,10,8.403361344537815,0.6253869082391391,4,3.361344537815126,-1.0004279558748734
Banks,115,38.26086956521739,1.0766027199726012,0,0.0,0.0,0,0.0,0.0
Power,108,30.555555555555557,3.4975723868657673,12,11.11111111111111,7.87367258264388,4,3.7037037037037033,-1.1993129861373184
Construction Materials,94,27.659574468085108,2.867158718706724,6,6.382978723404255,0.7412708918296845,0,0.0,0.0
Consumer Durables,88,36.36363636363637,2.7373287671535866,23,26.136363636363637,3.8912364436966387,13,14.772727272727273,7.175789209199479
Plastic Products,87,25.287356321839084,1.1717203233078664,24,27.586206896551722,-0.5663746625583128,17,19.54022988505747,0.4545280867844176
Electricals,84,33.33333333333333,4.369161665943746,2,2.380952380952381,25.904986516041998,0,0.0,0.0
Miscellaneous,80,41.25,7.806378569888837,18,22.5,6.467198655399426,2,2.5,-3.0000000000000053
Hospitality,74,24.324324324324326,0.5728050723123235,15,20.27027027027027,1.0964930719965527,2,2.7027027027027026,2.3875010623182686
Diversified,68,30.88235294117647,1.8293554790974467,13,19.11764705882353,3.0059365383764924,0,0.0,0.0
Aviation,59,33.89830508474576,4.015430536596169,17,28.8135593220339,4.174305811149166,6,10.16949152542373,11.047444962025173
Telecom,53,26.41509433962264,1.577376208160995,0,0.0,0.0,0,0.0,0.0
Logistics,52,23.076923076923077,0.9827137411326201,5,9.615384615384617,8.89616626589576,3,5.769230769230769,17.210922114667024
Trading,45,26.666666666666668,0.09664579552928683,11,24.444444444444443,-2.366058959556598,8,17.77777777777778,-1.814736158519989
Retailing,42,40.476190476190474,3.799596028657774,5,11.904761904761903,-3.933431086346617,3,7.142857142857142,-4.608364942740054
Diamond  &  Jewellery,36,30.555555555555557,4.802294862434774,16,44.44444444444444,4.763440065253151,7,19.444444444444446,13.1930657814986
Oil & Gas,35,31.428571428571427,3.3045156123367705,13,37.142857142857146,-2.167607842648052,7,20.0,-1.4721131245217625
Paper,35,22.857142857142858,0.6887440220420121,9,25.71428571428571,2.7480027932416404,5,14.285714285714285,1.3367727964641083
Insurance,33,33.33333333333333,-0.02707942776018646,5,15.151515151515152,1.5094814188481869,0,0.0,0.0
Alcohol,26,11.538461538461538,5.6556545270278225,3,11.538461538461538,78.35288671334358,2,7.6923076923076925,119.91370844049297
Ship Building,24,37.5,8.189774740055826,6,25.0,1.5624612943848133,6,25.0,1.5624612943848133
Media & Entertainment,22,27.27272727272727,2.949790236133765,4,18.181818181818183,-2.483629062521414,4,18.181818181818183,-2.483629062521414
Manufacturing,21,23.809523809523807,-0.08889803710875252,5,23.809523809523807,-4.651484120522807,1,4.761904761904762,-4.976176909901387
Containers & Packaging,21,19.047619047619047,3.944955893195954,7,33.33333333333333,1.8878792259231563,6,28.57142857142857,-3.6743730679908952
Footwear,20,45.0,5.447478032924183,0,0.0,0.0,0,0.0,0.0
