Stop_Level,AvgLoss,WorstLoss,AvgWinner,LargestWinner,ProfitFactor,CAGR,MaxDrawdown,Trades_Stopped,Winners_Cut_Prematurely
-5%,-6.893675061090707,-57.35010144830744,31.35973225186677,152.58008182390967,1.5278622072684127,12.28992659543997,-35.41358918986282,457,55
-7%,-8.984606617071709,-41.416842945273956,29.645572304862235,231.91049241538195,1.6911578526787008,14.83905488427526,-35.33112260118415,283,28
-8%,-9.975670975581968,-55.6448210532326,29.032937662204368,231.91049241538195,1.7498512887521518,16.32647559390794,-34.99822942095703,251,16
-10%,-11.733432389708238,-41.416842945273956,27.956400848920534,231.91049241538195,1.6140381090276192,13.173545428855515,-32.82883016860927,207,0
-12%,-12.859285630179004,-45.83724427152925,28.23112533955282,231.91049241538195,1.6271701587215295,13.262406883956057,-32.146175788033744,183,0
-15%,-14.299930180912542,-57.35010144830744,28.186420610376874,231.91049241538195,1.6367069901252247,13.332387828061766,-37.834206897896244,139,0
