date,10_slots_baseline,15_slots_baseline,20_slots_baseline,25_slots_baseline,10_slots_+_dead-money_eviction,20_slots_+_dead-money_eviction,20_slots_+_hot-swap_laggards,20_slots_+_eviction_+_hot-swap
2018-01-02,999000.999000999,999000.999000999,999000.999000999,999000.999000999,999000.999000999,999000.999000999,999000.999000999,999000.999000999
2018-01-03,996366.7828214042,996366.7828214042,996366.7828214042,996366.7828214042,996366.7828214042,996366.7828214042,996366.7828214042,996366.7828214042
2018-01-04,1001668.9755567692,1001604.4945366401,1001572.2540265757,1001552.9097205369,1001668.9755567692,1001572.2540265757,1001572.2540265757,1001572.2540265757
2018-01-05,1004943.8228216646,1003441.7910414117,1002690.7890478475,1002240.1922986092,1004943.8228216646,1002690.7890478475,1002690.7890478475,1002690.7890478475
2018-01-08,1007701.7822263248,1005226.4617425903,1003989.0934055037,1003246.7658106613,1007701.7822263248,1003989.0934055037,1003989.0934055037,1003989.0934055037
2018-01-09,1004134.4011097443,1001303.5261689934,999888.9158352378,999040.4143218375,1004134.4011097443,999888.9158352378,999888.9158352378,999888.9158352378
2018-01-10,1001210.7244385302,1000154.9872603712,999627.0651344641,999310.2947746365,1001210.7244385302,999627.0651344641,999627.0651344641,999627.0651344641
2018-01-11,1010440.0099812174,1007398.0927239539,1005877.3405406196,1004964.9553383052,1010440.0099812174,1005877.3405406196,1005877.3405406196,1005877.3405406196
2018-01-12,1023502.964257033,1020149.8169080103,1018473.9498137116,1017468.6557162837,1023502.964257033,1018473.9498137116,1018473.9498137116,1018473.9498137116
2018-01-16,1018649.1811514965,1017484.7074111851,1016898.6847300804,1016545.8599162833,1018649.1811514965,1016898.6847300804,1016898.6847300804,1016898.6847300804
2018-01-17,1031116.5761693437,1023037.3616755487,1019000.8374004305,1016579.9089148457,1031116.5761693437,1019000.8374004305,1019000.8374004305,1019000.8374004305
2018-01-18,1027634.7070349485,1019971.49080226,1016142.8162535952,1013846.5497568208,1027634.7070349485,1016142.8162535952,1016142.8162535952,1016142.8162535952
2018-01-19,1036603.2697673041,1027435.870837352,1022856.8708943127,1020110.974192667,1036603.2697673041,1022856.8708943127,1022856.8708943127,1022856.8708943127
2018-01-22,1037419.6235639518,1028586.3962459383,1024176.6240672078,1021532.9485464729,1037419.6235639518,1024176.6240672078,1024176.6240672078,1024176.6240672078
2018-01-23,1037160.2125973259,1030094.3691359013,1026566.5608447655,1024451.5103020712,1037160.2125973259,1026566.5608447655,1026566.5608447655,1026566.5608447655
2018-01-24,1036693.2918865748,1033923.3392731659,1032537.478733002,1031705.6784893709,1036693.2918865748,1032537.478733002,1032537.478733002,1032537.478733002
2018-01-25,1035874.9406336263,1031092.1944174841,1028698.9119590144,1027262.3324092864,1035874.9406336263,1028698.9119590144,1028698.9119590144,1028698.9119590144
2018-01-26,1057428.88432185,1045678.4887371019,1039819.8070997566,1036309.8790193384,1057428.88432185,1039819.8070997566,1039819.8070997566,1039819.8070997566
2018-01-29,1051098.795436998,1039539.6909235471,1033777.7554386673,1030326.2268258512,1051098.795436998,1033777.7554386673,1033777.7554386673,1033777.7554386673
2018-01-30,1040701.1992562237,1031148.5192945787,1026388.2986924156,1023537.3199523973,1040701.1992562237,1026388.2986924156,1026388.2986924156,1026388.2986924156
2018-01-31,1028270.3827851104,1025135.9660483818,1023580.0117879249,1022650.0360340122,1028270.3827851104,1023580.0117879249,1023580.0117879249,1023580.0117879249
2018-02-01,1026529.0792361245,1025109.198374822,1024404.301007772,1023982.9742914924,1026529.0792361245,1024404.301007772,1024404.301007772,1024404.301007772
2018-02-02,1011510.4333667712,1010572.0796890596,1010156.7624258003,1009906.6397804024,1011510.4333667712,1010156.7624258003,1010156.7624258003,1010156.7624258003
2018-02-05,973765.6668536143,971162.3424117946,981121.4146905531,987202.8710670127,973765.6668536143,981121.4146905531,981121.4146905531,981121.4146905531
2018-02-06,983110.491538347,980180.691961975,985227.959544773,989229.4984062188,983110.491538347,985227.959544773,985227.959544773,985227.959544773
2018-02-07,983606.7955872971,981091.7673382815,984766.6461609912,987519.00801815,983606.7955872971,984766.6461609912,984766.6461609912,984766.6461609912
2018-02-08,941181.5018158377,940637.4349686429,954766.3670500047,959201.8484219864,941181.5018158377,954766.3670500047,954766.3670500047,954766.3670500047
