Strategy,Profit_Locking_Active,Initial_Stop,CAGR,MaxDD,ProfitFactor,WinRate,Trades,AvgTrade,Expectancy,AvgHoldDays,W50,W100,MaxWinner
No Profit Lock (Fixed Stop -10% + EMA21 after +10%),False,-10%,6.752408042879465,-30.462568547106617,1.251056916552571,47.20982142857143,896,1.3134366969652473,1.3134366969652458,25.373883928571427,16,4,219.13399001371747
Step Profit Lock (-10% -> -2% -> +5% -> +10% -> +20%) + EMA21,True,-10%,5.641577276491971,-31.2823456251039,1.1966049588697478,46.78492239467849,902,1.0247552026915525,1.0247552026915505,25.033259423503328,14,4,219.13399001371747
No Profit Lock (Fixed Stop -12% + EMA21 after +10%),False,-12%,6.476113157017238,-33.16703918180244,1.2666418179208137,50.58977719528178,763,1.5077466066189857,1.5077466066189844,31.06422018348624,16,3,219.13399001371747
Step Profit Lock (-12% -> -2% -> +5% -> +10% -> +20%) + EMA21,True,-12%,6.63786977251708,-31.465716408642862,1.2867353573254983,50.45395590142672,771,1.6106904880762174,1.6106904880762176,30.513618677042803,17,4,219.13399001371747
