date,breakout_15_fixed,breakout_15_regime,breakout_10_fixed,breakout_10_regime,breakout_relvol_regime
2026-01-01,100157.93057805511,100157.93057805511,100236.89586708268,100236.89586708268,100236.89586708268
2026-01-02,100366.23821032833,100366.23821032833,100549.3573154925,100549.3573154925,100549.3573154925
2026-01-05,100199.65152141676,100199.65152141676,100299.24712462942,100299.24712462942,100299.24712462943
2026-01-06,100072.15355206918,100072.15355206918,100107.58696157808,100107.58696157808,100107.5869615781
2026-01-07,100274.26955647688,100274.26955647688,100410.61548071954,100410.61548071954,100410.61548071957
2026-01-08,100334.02470386303,100334.02470386303,100500.26659734664,100500.26659734664,100500.26659734665
2026-01-09,100151.36748446673,100151.36748446673,100226.0653578886,100226.0653578886,100226.06535788861
2026-01-12,100118.1766569157,100118.1766569157,100176.27882819803,100176.27882819803,100176.27882819805
2026-01-13,100274.06511755832,100274.06511755832,100410.3483407212,100292.12455998264,100305.14433591295
2026-01-14,101013.28270816442,101013.28270816442,101519.6021094862,101148.20542833405,101096.1833914519
2026-01-15,100996.48914495442,100996.48914495442,101496.67316552701,101148.20542833405,101094.60939355221
2026-01-16,100771.85598530667,100771.85598530667,101132.99125098051,100750.61091965275,100651.13404710186
2026-01-19,101284.02007827556,101288.9459988403,101874.87564899737,101055.92465894637,100777.27428412857
2026-01-20,99778.95470887815,100014.20102236174,99981.77371007428,99541.50589257904,99371.71412108342
2026-01-21,99483.50134014894,99718.74765363254,99551.98179461123,99188.55439059058,99294.31947083026
2026-01-22,99515.68352322355,99750.92983670713,99546.94022486292,98953.60275244672,98894.72651608575
2026-01-23,98866.74278483058,99226.53595312336,98613.88546372505,98371.34562032505,98473.29533280931
2026-01-27,99330.63835455615,99541.66343843099,99288.56801276776,98707.82029720242,98623.67740757644
2026-01-28,99778.96292350616,100001.64547802856,99936.67046514037,98713.84356388793,98725.77375175006
2026-01-29,99953.3655541139,100102.82791253406,100212.72427158088,98856.35788269303,98792.62122046476
2026-01-30,99586.36991632788,99732.57101858515,99666.89778169984,99019.21676304043,98842.90590587378
2026-02-02,97479.4008962729,97773.28285332336,96576.97684788302,97044.18084756224,96986.62425236416
2026-02-03,97690.00347164625,97885.71362433032,96860.47376273833,96787.0366911029,96637.73485219528
2026-02-04,97720.82800502426,97872.34623990291,96906.72516548699,96833.14053623381,96617.91194269838
2026-02-05,97809.63382852686,97956.58105744343,97038.5691916729,96964.87241565251,96742.30651410014
2026-02-06,97586.1850267832,97751.31198191395,96705.63206372576,96632.23505383052,96437.89766319018
2026-02-09,98430.08126200063,98600.02602820178,97960.64487699025,97886.30383100713,97694.41196366026
2026-02-10,97853.78693450874,98125.26137634003,97102.56251988438,97029.13332512398,96991.52237837117
2026-02-11,98244.0333550645,98324.17238188026,97684.71889846248,97610.36002199506,97285.98341629925
2026-02-12,98563.0830238199,98722.89676292485,97866.86057902417,97792.54504123326,97664.60899567843
2026-02-13,96320.35958900477,96448.57329600811,95467.57520942221,95669.13132213516,95162.38452495338
2026-02-16,97775.82231382534,97889.96846602381,96296.74552657687,96294.00514120676,96229.68300823748
2026-02-17,97548.61996175964,97665.9575241362,96452.75706598267,96252.62295965,96035.18064419451
2026-02-18,98780.34276938236,98827.7598518804,98088.41267057316,97583.29658204611,97519.48448710689
2026-02-19,97287.19415631707,97366.9693786382,96573.6751252694,95925.1336023015,95780.73228473948
2026-02-20,97510.42412119999,97489.66246911706,96785.03036401086,96299.66789836105,96020.42636722929
2026-02-23,98331.18113159503,98237.22759234827,97666.02364750487,97095.26222719805,96683.03031309012
2026-02-24,98276.10572798952,98230.63960655758,97116.95365984467,96919.67357802528,96543.16643324953
2026-02-25,99221.64838233114,99059.4919196323,97978.92541031468,97735.37231864111,97314.63831803284
2026-02-26,99926.87031236908,99602.19383732314,98335.067324884,98262.21402598776,97836.72923937549
2026-02-27,99129.76083527689,98894.6604735372,97104.96515400207,97373.49059550308,96937.67991270329
2026-03-02,97364.79610286832,97312.88273157354,95285.83670627346,94860.42160663594,94746.15696394122
2026-03-04,93389.96708209607,94362.06436520533,91481.65918919153,91764.15958462968,91901.41130945412
2026-03-05,94018.61672472177,94736.48217377867,91723.2490047928,91833.63573528072,92066.59856536449
2026-03-06,93862.3668711189,94706.58993719578,91537.01922119907,91833.63573528072,92053.89020766116
2026-03-09,93614.54575096788,94721.53605548723,91149.92859688861,91833.63573528072,92060.24438651283
2026-03-10,94582.6004709851,95696.29262256085,91884.5395632027,92573.75695014183,93000.76193637043
2026-03-11,94941.98071017032,96062.35686622983,92758.73334682532,93454.5079800443,93782.66201791997
2026-03-12,94675.25541152191,95798.38150551941,93216.29516903829,93915.50193093711,93998.58853067196
2026-03-13,93441.61598522642,94559.42255404964,92739.92470755836,93444.89501930083,93159.77961693311
2026-03-16,92522.03769329903,93628.52200204725,91328.17430453449,92064.57271329849,91884.1047012758
2026-03-17,92258.23550379835,93361.61976668148,90947.48345005797,91681.02633212291,91498.40072421779
2026-03-18,92445.14462460118,93550.71597964493,91217.57301723644,91961.41341570282,91782.29507964899
2026-03-19,92442.7666440533,93548.27647811398,91209.14203198522,91970.90955239146,91796.88082209884
2026-03-20,92555.79732834295,93662.63672576519,91372.82166630295,92135.81693242567,91962.63387292082
2026-03-23,92329.46338441271,93433.629622189,91040.33334254511,91800.83464466933,91626.61730142916
2026-03-24,92616.0884660568,93723.63449326792,91459.00712622548,92222.64886146871,92050.07309934877
2026-03-25,92675.85875803945,93784.1085690834,91545.8729412981,92310.16624894257,92137.9941688386
2026-03-27,92608.5725616588,93716.03009052352,91448.08405491557,92211.64385721664,92039.01733350028
2026-03-30,92436.42064690749,93541.85111968173,91197.89092560096,91959.57405250447,91785.7848335812
2026-04-01,92490.46411944882,93596.53094384496,91276.43379591219,92038.70606558221,91865.28185036268
2026-04-02,92366.6292946925,93471.2379875535,91096.46122709897,91857.38353926594,91683.12295718171
2026-04-06,92238.8576092415,93341.9618147806,90910.76710997595,91670.29654783802,91495.1730097625
2026-04-07,92273.40994215272,93376.91878768394,90960.67845629792,91720.56716694713,91545.79189666624
2026-04-08,92433.64269660837,93539.06383823845,91196.22261004437,92002.49509988485,91830.08322505128
2026-04-09,92453.67957461414,93559.32325949016,91223.12612253442,92048.68976888084,91878.23801038766
2026-04-10,93182.42200006277,94296.7776832549,92301.76132946958,92538.08959401594,92435.26522731289
2026-04-13,92643.82713823681,93751.76688528882,91507.6727040741,92082.46839123638,92019.91075368033
2026-04-15,92957.86947097162,94069.59875133316,91978.38266612911,92391.71677452137,92212.55843888748
2026-04-16,93268.64874225968,94384.12035977459,92442.71345663027,92793.50343231001,92581.15801680756
2026-04-17,94319.75706491723,95447.7988699568,94000.91367584249,93442.10926654853,93332.5320163753
2026-04-20,93980.32329587259,95104.30549581838,93494.91451197003,92556.7986559225,92649.17797105543
2026-04-21,94912.72838819839,96047.86166690874,94882.99767508887,94080.45461423157,93947.2597994041
2026-04-22,95845.02028191439,96991.30319155417,96266.48088322069,95408.72986875763,95296.54879557274
2026-04-23,95697.98717631186,96842.51173755081,96048.47925095992,95090.68090465202,95107.36645389695
2026-04-24,94840.70533896121,95974.9777391353,94778.63070940043,94424.19226905488,94443.94823180977
2026-04-27,95665.57839319692,96809.71562018886,96002.58403421215,95301.11291313023,95401.64778063311
2026-04-28,95679.98607202838,96805.48164190297,96025.54535384728,95289.10397556487,95288.2426569063
2026-04-29,96071.83796516995,97172.00559043174,96610.5273594314,95734.19350423862,95754.67105140297
2026-04-30,96461.39757193446,97672.43629346404,97188.13061719964,96667.34593420083,96687.43112887946
2026-05-01,95039.15327613203,96233.18267250744,95080.38232365702,94550.12580351153,94613.06925051662
2026-05-04,96544.15886991011,97721.00035979979,97318.50879041376,96872.77046556312,96839.7233038246
2026-05-05,96932.22981472808,98243.2497880428,97892.72301689631,97597.24518500459,97442.58703199851
2026-05-06,96981.45007872395,98161.29434650295,97960.56963861297,97142.46260684257,96898.21233650364
2026-05-07,98195.39998743802,99345.37303144086,99702.17553133189,97987.72241243834,97963.6576157557
2026-05-08,99072.35429756358,99866.0986010994,100942.42078986009,99209.39823882843,99087.45241865831
2026-05-11,97806.25827524588,99374.16515058416,99621.43593342992,98636.39693622582,98659.4300561731
2026-05-12,95106.42107798596,97498.06441494671,95990.89532767869,96873.21506870247,96670.7491796026
2026-05-13,95353.98592962892,97936.30231817393,96360.43481855585,97526.98606613473,97263.5855392981
2026-05-14,96507.27923348823,98521.90047927064,98000.77148041899,98283.51803801986,97923.29009012046
2026-05-15,96034.0032294838,98314.02785552008,97276.64396082379,97974.45176796912,97575.15401922565
2026-05-18,96387.93837498923,98684.0963847999,97863.14323764035,98561.87138853603,98202.30812395974
2026-05-19,96263.10356121299,98285.91275347964,96949.84293559384,97955.95037736814,97588.59469985116
2026-05-20,96478.39705882793,98371.89189354662,97312.7827532039,98063.36519802856,97620.97604247706
2026-05-21,96304.15485586238,98018.50501539523,97140.13708848457,97564.00923908601,97213.68835003642
2026-05-22,96877.17515412474,98193.25294339072,98007.68304409756,97803.18090148985,97454.16623499052
2026-05-25,98004.25130455993,98816.63405496848,99475.33520770642,98649.49990389787,98218.94970452835
2026-05-26,100679.5821899309,100671.58169936205,103052.29909006541,101433.21750761237,100970.38031869367
2026-05-27,101637.47099225805,101100.89194523417,104908.41600379022,102060.06585230325,101618.93825414957
2026-05-28,101587.54154406124,101067.27568856077,104908.41600379022,102009.16307631707,101570.52323286893
2026-05-29,103177.95458481989,102314.10533215922,106772.29610045774,103885.2591936017,103395.2577077442
2026-06-01,101755.59270037783,101429.16435362745,104673.59206644486,102628.81911427583,102181.3156595614
2026-06-02,102368.17706016486,102436.30838807828,105554.05209794428,104152.85552539499,103699.94613365218
2026-06-03,101649.7098113998,102318.91299195826,104505.10572514594,103995.89916572123,103601.20960371959
2026-06-04,102753.10358112541,102977.49635463211,106785.69734694835,104874.7320084236,104299.2935427148
2026-06-05,101049.74786454684,102140.12974935138,104833.9766445581,103655.63386238352,103165.5163337997
2026-06-08,98164.56393945271,100804.2592330781,101424.59984914157,101765.92136027392,101486.11104982883
2026-06-09,99136.49470776325,100720.94665894705,102969.49375028512,101646.89331572063,101403.30450918527
2026-06-10,98035.77696469327,100447.90735990362,101545.61197361175,101422.75316187661,101185.64080598479
2026-06-11,97909.1043459218,100902.63954078994,101141.74815051643,102132.58529467745,101893.40603749346
2026-06-12,98880.49555055877,101337.02240309234,102014.32005964004,102788.95281664353,102547.05793779998
2026-06-15,99409.52032893925,101517.87997008866,102676.84957641261,103061.37149145122,102818.59391801864
2026-06-16,100653.66035170353,102182.40236303826,104571.00209504287,104057.20717557236,103812.29107328676
2026-06-17,101714.58266213335,103104.03869199638,106219.73513872136,105431.12477628561,105183.45214144391
2026-06-18,101678.45836581558,102899.62721166998,106537.15105459333,105111.65238430943,104865.6458230859
2026-06-19,102421.1064962275,103426.6093128803,107532.93495040927,105914.71296879194,105476.85060963714
2026-06-22,101205.21061551284,102787.59151100961,105251.73305883049,105102.45336253295,104927.07118031538
2026-06-23,100760.55657253334,102190.36746532258,104707.3108285863,104310.86846581651,104399.14892800509
2026-06-24,102141.531896573,104097.46917491444,106159.88672879996,106424.15659807243,107400.57295523725
2026-06-25,102932.62494616676,104591.23885844275,107433.05381321415,106922.26625810015,108238.6979615076
2026-06-26,102916.70836455538,104574.98470475394,107408.39975504615,106897.51987117741,108214.00986866422
2026-06-29,105688.52648498488,107108.9209475889,110161.48254660114,109830.02467156407,111699.99953592592
2026-06-30,107460.6148666394,108901.72990751354,112147.43213191953,112148.27368943409,114344.22864885542
2026-07-01,105108.43321216163,107213.5527518346,109253.65312193483,110269.07324853493,112165.9035265624
2026-07-02,105128.79871704802,107307.34899827234,109462.29484151311,110385.64986506199,112285.7062974968
2026-07-03,104462.51730483174,106895.75595310748,108315.12689291302,109758.14804771573,111511.77514215773
2026-07-06,105116.94656589048,107482.80160606024,108710.74079973662,109974.21888991418,112370.9790900768
2026-07-07,105007.07700265173,107633.89829149345,109074.98389676718,110606.60442968644,112997.92451865293
2026-07-08,104023.71731829524,107023.57572964276,107925.6426518974,110174.34869724416,112435.31445779753
2026-07-09,104942.74506189601,107339.2972079441,109027.25138424478,110683.88462966825,112693.19830724318
2026-07-10,104059.33290114084,106390.00607375635,107879.68911684038,109561.19578250931,111388.6473307632
2026-07-13,104857.90740171613,107168.9304489809,108470.89682951267,109960.05108464921,112516.265783798
2026-07-14,103417.58812930087,105783.28787445798,106867.64313228436,108788.69620507737,110644.61180676629
2026-07-15,103466.57564388588,105575.59584829214,106737.04085482423,108173.92059472585,110093.08513190677
2026-07-16,102807.2000932694,105149.8785320002,105613.70618795654,107488.93939860864,109563.51355746281
2026-07-17,100925.45239691294,103714.3203087223,103851.52900286377,105875.91364121408,107777.22491474188
2026-07-20,102142.07805217862,104857.97366458441,105513.82892688931,107720.75851166071,109551.21056218937
2026-07-21,103642.30672518635,106187.85705213537,107587.64653116385,108302.5874233529,110609.53934149137
2026-07-22,102754.11258508792,105738.71738356372,106602.7741333779,107741.8725343454,110417.67551960202
2026-07-23,101625.97848546006,104818.69771010501,105130.3242166475,106666.13837732984,109098.73309625447
2026-07-24,100524.38213888425,103786.45500077846,104289.1414007794,105593.7108396868,107445.54406794164
2026-07-27,100491.60314003935,103601.38347892686,104561.46145671286,105642.96002384901,107155.15077788127
2026-07-28,99767.97272007156,102830.1856962021,103443.86611635811,104504.68997490194,105978.47731545787
2026-07-29,100546.60660061907,103454.6904160085,104649.78759343331,105399.82171528888,106913.93095392679
2026-07-30,99967.5761856229,102894.12668930338,103749.38237712714,104535.21450653838,106039.18613024025
2026-07-31,100049.30590571594,102909.66858652419,103874.58596970781,104479.98451012591,106015.04079568213
2026-08-03,100089.5927483681,103085.9893880008,103924.78581884882,104545.76629058862,106169.2204388757
2026-08-04,99684.78323670896,102837.27105532808,103309.69156522714,104405.79687470067,105924.2796265
2026-08-05,99646.73692089159,102659.90321245647,103258.98844128051,104271.21346415413,105728.90213152775
2026-08-06,99780.53117357053,102789.75277568994,103466.43362857462,104475.8523137476,105934.81009001711
2026-08-07,99470.99851581197,102417.23978254844,102989.69373904847,103976.27848421728,105397.95671693618
2026-08-10,99292.57056277274,102182.80994487935,102720.96832208641,103778.07052134909,105130.48852621595
2026-08-11,98909.94177559158,101973.0245337789,102120.17397076248,103348.36487949247,104740.29008957552
2026-08-12,98540.87918217061,101738.10905099305,101535.09662191106,102826.10976198071,104281.83371485159
2026-08-13,98409.61267371874,101572.63686989006,101336.42812459602,102678.43967351259,104088.63020614977
2026-08-14,97894.33585479768,101042.36609735516,100544.55985614928,102021.28260896486,103357.49614199126
2026-08-17,98136.23307832427,101291.11765383727,100916.12442445164,102321.04643558545,103696.7827835222
2026-08-18,97988.35511658576,101138.79390781156,100687.71081641952,102092.40558531137,103463.19090562017
2026-08-19,97634.54688053648,100775.87696256985,100146.00260278958,101637.13865216574,102956.08532771186
2026-08-20,97443.12103180145,100578.30443381544,99852.95281250581,101363.01798893683,102668.11394342773
2026-08-21,97418.2805669137,100552.66473946553,99814.73102813866,101324.21818074636,102628.81456967865
2026-08-24,97418.2805669137,100552.66473946553,99814.73102813866,101324.21818074636,102628.81456967865
