Model,CAGR,MaxDD,PF,WinRate,Trades,AvgTrade,Exposure
NIFTY 50 B&H,10.465406191489969,-38.4398524527421,,,0,,100.0
"GFS Baseline (Fixed 20D, 15 slots)",6.7561710199202984,-39.16581854185293,1.239042616681253,51.21436114044351,947,1.1181354573846296,60.98591333633442
GFS -5% -> EMA21 Trailing (15 slots),1.5582899640037118,-38.44116214267041,1.063849771445915,40.28732042473454,1601,0.19395330364927008,47.94951290885421
