Ranking Method,Positions,Trades,>50% Count,>50% Capture %,>100% Count,>100% Capture %,>200% Count,>200% Capture %,>300% Count,>500% Count,Max Winner %
Monthly RSI,2,29,1,0.8264462809917356,1,1.36986301369863,0,0.0,0,0,116.56542038707481
Monthly RSI,3,42,3,2.479338842975207,2,2.73972602739726,0,0.0,0,0,153.79361058112357
Monthly RSI,5,60,8,6.6115702479338845,4,5.47945205479452,2,5.714285714285714,1,1,595.1899626129455
Monthly RSI,7,78,10,8.264462809917356,6,8.21917808219178,2,5.714285714285714,1,1,595.1899626129455
Monthly RSI,10,105,18,14.87603305785124,11,15.068493150684931,3,8.571428571428571,2,1,595.1899626129455
Monthly RSI,15,144,26,21.487603305785125,17,23.28767123287671,7,20.0,6,3,1465.8324884313088
Weekly RSI,2,28,2,1.6528925619834711,1,1.36986301369863,0,0.0,0,0,125.48034401088421
Weekly RSI,3,36,5,4.132231404958678,3,4.10958904109589,1,2.857142857142857,0,0,266.0918054390815
Weekly RSI,5,56,10,8.264462809917356,5,6.8493150684931505,1,2.857142857142857,0,0,266.0918054390815
Weekly RSI,7,69,13,10.743801652892563,8,10.95890410958904,2,5.714285714285714,1,0,366.11100043384005
Weekly RSI,10,93,18,14.87603305785124,12,16.43835616438356,5,14.285714285714285,4,1,595.1899626129455
Weekly RSI,15,137,24,19.834710743801654,15,20.54794520547945,8,22.857142857142858,7,3,1465.8324884313088
3M Return,2,27,2,1.6528925619834711,1,1.36986301369863,1,2.857142857142857,1,1,595.1899626129455
3M Return,3,32,5,4.132231404958678,4,5.47945205479452,2,5.714285714285714,2,1,595.1899626129455
3M Return,5,49,10,8.264462809917356,6,8.21917808219178,4,11.428571428571429,3,1,595.1899626129455
3M Return,7,71,13,10.743801652892563,8,10.95890410958904,4,11.428571428571429,3,1,595.1899626129455
3M Return,10,94,18,14.87603305785124,12,16.43835616438356,5,14.285714285714285,4,1,595.1899626129455
3M Return,15,139,27,22.31404958677686,18,24.65753424657534,8,22.857142857142858,7,3,1465.8324884313088
6M Return,2,28,1,0.8264462809917356,1,1.36986301369863,1,2.857142857142857,1,1,595.1899626129455
6M Return,3,35,4,3.3057851239669422,3,4.10958904109589,2,5.714285714285714,1,1,595.1899626129455
6M Return,5,57,8,6.6115702479338845,4,5.47945205479452,2,5.714285714285714,1,1,595.1899626129455
6M Return,7,76,12,9.917355371900827,6,8.21917808219178,3,8.571428571428571,2,1,595.1899626129455
6M Return,10,103,17,14.049586776859504,10,13.698630136986301,4,11.428571428571429,3,1,595.1899626129455
6M Return,15,137,25,20.66115702479339,16,21.91780821917808,8,22.857142857142858,7,3,1465.8324884313088
12M Return,2,30,1,0.8264462809917356,0,0.0,0,0.0,0,0,63.287140883023426
12M Return,3,41,4,3.3057851239669422,1,1.36986301369863,0,0.0,0,0,153.79361058112357
12M Return,5,60,8,6.6115702479338845,3,4.10958904109589,1,2.857142857142857,0,0,266.0918054390815
12M Return,7,71,12,9.917355371900827,7,9.58904109589041,3,8.571428571428571,2,1,595.1899626129455
12M Return,10,102,16,13.223140495867769,9,12.32876712328767,4,11.428571428571429,3,1,595.1899626129455
12M Return,15,142,25,20.66115702479339,16,21.91780821917808,8,22.857142857142858,7,3,1465.8324884313088
Relative Volume,2,25,2,1.6528925619834711,1,1.36986301369863,0,0.0,0,0,149.27744773745647
Relative Volume,3,34,4,3.3057851239669422,3,4.10958904109589,1,2.857142857142857,0,0,266.0918054390815
Relative Volume,5,51,8,6.6115702479338845,5,6.8493150684931505,2,5.714285714285714,1,0,410.0092232845442
Relative Volume,7,78,10,8.264462809917356,6,8.21917808219178,3,8.571428571428571,2,1,595.1899626129455
Relative Volume,10,105,15,12.396694214876034,8,10.95890410958904,3,8.571428571428571,2,1,595.1899626129455
Relative Volume,15,139,23,19.00826446280992,15,20.54794520547945,7,20.0,6,3,1465.8324884313088
Composite Momentum,2,29,1,0.8264462809917356,1,1.36986301369863,0,0.0,0,0,116.56542038707481
Composite Momentum,3,37,4,3.3057851239669422,3,4.10958904109589,1,2.857142857142857,0,0,266.0918054390815
Composite Momentum,5,61,8,6.6115702479338845,4,5.47945205479452,1,2.857142857142857,0,0,266.0918054390815
Composite Momentum,7,76,12,9.917355371900827,8,10.95890410958904,2,5.714285714285714,1,1,595.1899626129455
Composite Momentum,10,103,19,15.702479338842975,12,16.43835616438356,3,8.571428571428571,2,1,595.1899626129455
Composite Momentum,15,140,27,22.31404958677686,18,24.65753424657534,7,20.0,6,3,1465.8324884313088
