System,CAGR,MaxDD,ProfitFactor,WinRate,Trades,AvgTrade,MedianTrade,AvgWin,AvgLoss,Expectancy,AvgHoldDays,Turnover,AvgExposure,W50,W100,MaxWinner
SYSTEM A: Fixed 60D,17.68981912919376,-34.42072123904947,1.8560527968749667,51.11607142857143,448,5.478000442508958,0.6361055891161141,23.235625602564788,-13.09047518147636,5.478000442508959,60.03794642857143,105.6089803554724,82.80283334232213,24,3,301.6231536796733
SYSTEM B: Fixed 90D,16.141438275467944,-31.98295285934186,1.9836647308067656,55.095541401273884,314,7.4240123780971174,2.9905069597609844,27.17336384255023,-16.80746140452976,7.424012378097114,88.98726114649682,74.02057998129092,85.44946631793228,21,8,231.91049241538195
SYSTEM C: Fixed 120D,28.20717536531092,-36.94407438905811,3.2843372136692186,57.85123966942148,242,15.471363738781182,5.31090402587007,38.45062941608981,-16.068804837916932,15.471363738781182,116.46694214876032,57.04770813844715,86.45916174688087,31,13,485.20763963187574
SYSTEM D: -10% Stop + 90D Max Hold,13.810795245730167,-30.47715880448873,1.513462212033441,32.00723327305606,553,3.6317438912598976,-10.448877805486267,33.44492098147517,-10.402650643229737,3.631743891259899,46.51537070524412,130.36108512628624,81.70991112974073,31,11,231.91049241538195
SYSTEM E: -10% Stop + EMA21 after +10%,6.752408042879465,-30.462568547106617,1.251056916552571,47.20982142857143,896,1.3134366969652473,-2.085195740869982,13.86378025748447,-9.910232068573087,1.3134366969652458,25.373883928571427,211.2179607109448,71.33785912806687,16,4,219.13399001371747
SYSTEM F: -10% Stop + EMA21 after +20%,10.077317246815864,-25.795794803562224,1.388815305542725,37.091503267973856,612,2.575117566653206,-10.448877805486266,24.798406118226826,-10.527964254664228,2.575117566653206,40.650326797385624,144.2694106641721,79.33844132878379,16,7,219.13399001371747
SYSTEM G: -12% Stop + EMA21 after +10%,6.476113157017238,-33.16703918180244,1.2666418179208137,50.58977719528178,763,1.5077466066189857,0.5870564001829828,14.15764940625031,-11.44414326249956,1.5077466066189844,31.06422018348624,179.86529466791393,73.90243014536173,16,3,219.13399001371747
SYSTEM H: -10% Stop + Profit Lock + EMA21 after +10%,5.641577276491971,-31.2823456251039,1.1966049588697478,46.78492239467849,902,1.0247552026915525,-2.4887780548628293,13.331240064980758,-9.794696072071043,1.0247552026915505,25.033259423503328,212.63236669784845,70.8235445741749,14,4,219.13399001371747
SYSTEM I: -10% Stop + EMA21 only after +20%,10.077317246815864,-25.795794803562224,1.388815305542725,37.091503267973856,612,2.575117566653206,-10.448877805486266,24.798406118226826,-10.527964254664228,2.575117566653206,40.650326797385624,144.2694106641721,79.33844132878379,16,7,219.13399001371747
