date,equity,cash,invested,regime,open_positions,peak,drawdown_pct
2018-01-01,10000000.0,10000000.0,0.0,NEUTRAL,0,10000000.0,0.0
2018-01-02,10000000.0,10000000.0,0.0,BEAR,0,10000000.0,0.0
2018-01-03,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-04,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-05,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-08,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-09,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-10,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-11,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-12,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-15,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-16,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-17,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-18,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-19,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-22,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-23,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-24,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-25,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-29,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-30,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-01-31,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-02-01,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-02-02,10000000.0,10000000.0,0.0,BULL,0,10000000.0,0.0
2018-02-05,10000000.0,10000000.0,0.0,NEUTRAL,0,10000000.0,0.0
2018-02-06,10000000.0,10000000.0,0.0,BEAR,0,10000000.0,0.0
2018-02-07,10000000.0,10000000.0,0.0,BEAR,0,10000000.0,0.0
2018-02-08,10000000.0,10000000.0,0.0,NEUTRAL,0,10000000.0,0.0
2018-02-09,10000000.0,10000000.0,0.0,BEAR,0,10000000.0,0.0
2018-02-12,10000000.0,10000000.0,0.0,NEUTRAL,0,10000000.0,0.0
2018-02-14,10000000.0,10000000.0,0.0,BEAR,0,10000000.0,0.0
