Metric,5th Percentile,25th Percentile,Median (50th),75th Percentile,95th Percentile,Mean,Std
Ending Capital (₹),212937973.02644756,444049119.7748858,752739063.175746,1254312505.6984017,2644434492.3242073,997446236.5729601,898590098.3594445
Maximum Drawdown (%),-26.111829300195364,-21.146207286555622,-18.343489331887568,-16.14473391650884,-13.600530328397555,-18.928339850666028,3.8716836700187556
Longest Losing Streak,7.0,9.0,9.0,11.0,13.0,9.6604,1.6532004839099217
Worst 20-Trade Sum (%),-188.07167105216354,-158.45985045122615,-142.01515670573218,-128.0113701347165,-110.36803869461738,-144.72262771302417,23.84832692338918
