Sector,Signals,Win Rate (%),Mean Return (%),Median Return (%),Profit Factor
Finance,217,54.83870967741935,2.082624934296247,1.0943231736882808,1.561784954066026
Automobile & Ancillaries,211,53.08056872037915,2.863680070101285,1.0754775960476077,1.881760783733408
Healthcare,210,54.761904761904766,3.9358760263449426,1.2353069825821963,2.2572237305504714
Capital Goods,204,64.2156862745098,5.918824797512968,3.9779159796787282,2.9932860898372033
Chemicals,185,43.78378378378379,0.8704556933786894,-1.8116070800514865,1.2161420805623941
Metals & Mining,179,50.83798882681564,3.1969280285884616,0.06463255464952178,1.7189536843366557
Software & IT Services,166,50.0,1.2951969646795067,-0.012630317799830693,1.2630322180761004
Textiles,102,50.0,-1.5117350054079726,-0.1500488109088661,0.6869374910804443
Infrastructure,92,66.30434782608695,5.6658552847052555,4.179032422062937,3.0483472261055202
Agri,88,36.36363636363637,-0.7227847970214021,-2.85994622425812,0.8713312762042936
Construction Materials,82,65.85365853658537,4.680049270666613,3.2590349186034557,3.220687298002108
Banks,76,65.78947368421053,2.2841262530750814,3.036570576693938,2.0799597515399277
Electricals,71,54.929577464788736,2.997803537006704,1.6885111928297212,1.7907397430862046
FMCG,68,55.88235294117647,2.317736342420912,1.568366743826386,1.7145404371672295
Real Estate,65,63.07692307692307,4.486759074107662,4.290215361162188,2.456725170766641
Power,64,60.9375,3.239461060112184,4.499886698039701,1.9972030253609407
Consumer Durables,64,48.4375,1.0296634166465655,-1.1835120957759717,1.2236352509471888
Miscellaneous,50,57.99999999999999,3.466966902966708,2.1485988518687327,2.031647788488274
Plastic Products,46,56.52173913043478,1.0519949163081528,1.010255999487045,1.2543325258378046
Hospitality,45,51.11111111111111,0.757728238519324,0.9069452045906907,1.176020706581074
Logistics,44,72.72727272727273,3.2722402296604227,3.102029725793889,2.243930532901784
Diversified,37,72.97297297297297,5.093240915683605,4.450174097624427,4.024394245883858
Diamond  &  Jewellery,28,57.14285714285714,2.079366731047555,0.5401498833683414,1.4727964556565516
Paper,28,64.28571428571429,4.479980285790075,3.5120431324623977,3.95655289975263
Trading,27,74.07407407407408,9.863374968057405,4.26700888933293,3.3758976569266954
Aviation,27,51.85185185185185,4.471723467321764,3.132649577713821,3.1642588446974247
Media & Entertainment,23,47.82608695652174,-1.918694465251975,-1.404427562508125,0.5164358230412324
ETF,22,59.09090909090909,0.4598689295092702,1.1821060605150275,1.1545177365792822
Oil & Gas,22,59.09090909090909,4.219647772638209,3.503077537591423,2.821691580264067
Telecom,21,47.61904761904761,-1.3540044725083815,-1.3496944996964468,0.7719034674456324
CONSUMER GOODS,19,42.10526315789473,-2.8144025584572323,-2.4959058222836523,0.5164914603157389
Containers & Packaging,18,61.111111111111114,3.5950519187211887,2.5948460664755397,2.5622598347046432
Insurance,15,40.0,-0.7963863936940432,-1.8170172204805022,0.714259795125694
Alcohol,14,64.28571428571429,7.609513004556467,1.6449173031311883,4.306011045229961
Ship Building,13,46.15384615384615,6.174417728191123,-0.6854138018403518,3.548197410142158
Footwear,13,69.23076923076923,4.875191517485913,1.7230385923492988,4.763319101032083
Retailing,12,66.66666666666666,0.4082284891793702,3.1965456821027773,1.0972135189354246
Unclassified,10,40.0,1.8955309101134445,-2.2398366535707392,1.4347958510062309
