Catastrophic_Stop,CAGR,MaxDD,ProfitFactor,WinRate,Trades,StoppedOutCount,KilledWinnersCount,AvgTrade,MedianTrade,Expectancy,AvgHoldDays,W50,W100,W200,MaxWinner
No Catastrophic Stop,28.344520378092476,-33.97786809840312,5.850500888169324,41.95804195804196,143,0,0,43.28806794908087,-4.145489215643961,43.28806794908088,164.97202797202797,25,17,10,1465.8324884313088
-10%,24.535516817984536,-28.4725735757267,3.7187154511213953,26.637554585152838,229,145,13,20.858572721865876,-10.448877805486266,20.858572721865883,99.78602620087337,26,16,9,1465.8324884313088
-15%,24.705123728567614,-28.841504404256145,4.75386745918068,33.33333333333333,174,75,8,32.066491886516864,-10.669557519135683,32.06649188651686,136.3505747126437,28,17,10,1465.8324884313088
-20%,16.818286588094477,-32.52716030929071,3.1912482975283414,38.46153846153847,169,51,6,20.6510957790844,-5.242788746788117,20.651095779084407,142.58579881656806,24,15,8,570.6357886149458
-25%,13.685886470130537,-32.602916226973385,2.836418092494397,39.24050632911392,158,38,1,18.606889926415604,-4.990632613510682,18.606889926415597,152.26582278481013,22,13,6,570.6357886149458
-30%,25.04978808993943,-33.23751072472772,4.000892270749741,39.735099337748345,151,23,0,30.175067877179494,-4.440797590903421,30.17506787717948,157.53642384105962,23,14,7,1465.8324884313088
