ticker,entry_date,exit_date,return_pct,holding_days,allocated_capital,exit_reason
GARFIBRES,2024-11-22,2024-11-29,-3.483790523690764,5,459199.3662494323,INITIAL_STOP_LOSS
ARCHIDPLY,2024-04-08,2024-05-08,8.977556109725702,19,446893.7899628389,EMA21_TRAILING_EXIT
KINGFA,2026-04-15,2026-06-10,15.146654521824635,39,400428.3436346253,EMA21_TRAILING_EXIT
BIL,2024-09-12,2024-10-28,16.701918498618053,31,755985.2937060893,EMA21_TRAILING_EXIT
FORTIS,2019-10-10,2019-10-14,-3.483790523690758,2,63904.935620869896,INITIAL_STOP_LOSS
DEEPAKNTR,2020-08-13,2020-08-14,-3.4837905236907662,1,98806.23955917568,INITIAL_STOP_LOSS
RITES,2024-07-15,2024-07-16,-3.483790523690761,1,695170.1529706994,INITIAL_STOP_LOSS
BAJAJELEC,2021-04-13,2021-05-17,5.520220920476905,21,132458.06605686652,EMA21_TRAILING_EXIT
SPECIALITY,2023-01-20,2023-01-23,-3.483790523690743,1,371048.5172541017,INITIAL_STOP_LOSS
LALPATHLAB,2019-09-05,2019-10-10,5.826290454705438,22,57014.58782071787,EMA21_TRAILING_EXIT
RSYSTEMS,2020-02-10,2020-02-14,-3.4837905236907503,4,84961.14502625565,INITIAL_STOP_LOSS
INDOTECH,2024-11-27,2024-11-28,-3.483790523690769,1,422748.5193863389,INITIAL_STOP_LOSS
FORCEMOT,2024-04-01,2024-05-14,19.90396187801862,28,29160.199050446226,EMA21_TRAILING_EXIT
ANDHRSUGAR,2022-01-27,2022-02-15,-5.841103885505372,13,91545.13521201661,EMA21_TRAILING_EXIT
BANKINDIA,2026-02-23,2026-03-04,-3.483790523690774,6,380940.5929177948,INITIAL_STOP_LOSS
BLBLIMITED,2024-02-13,2024-03-12,19.26703101148693,19,456022.7810125225,EMA21_TRAILING_EXIT
GMMPFAUDLR,2018-05-11,2018-06-04,2.1643232134954173,16,65553.4692735415,EMA21_TRAILING_EXIT
TCI,2021-05-25,2021-07-05,29.52926523469651,29,103388.20813749828,EMA21_TRAILING_EXIT
IPCALAB,2020-07-30,2020-09-01,5.727065557500898,23,105252.95767505957,EMA21_TRAILING_EXIT
GILLETTE,2018-09-05,2018-09-06,-3.4837905236907676,1,67275.94493095156,INITIAL_STOP_LOSS
FORCEMOT,2025-05-12,2025-08-04,62.11101463466767,60,533384.7738006287,EMA21_TRAILING_EXIT
CUB,2018-07-13,2018-07-16,-3.4837905236907662,1,90703.39348798795,INITIAL_STOP_LOSS
WELENT,2022-11-21,2022-12-19,13.31878882436438,20,379819.9472920497,EMA21_TRAILING_EXIT
ARVSMART,2021-10-19,2021-10-20,-3.4837905236907574,1,120550.64799284618,INITIAL_STOP_LOSS
BUTTERFLY,2022-10-03,2022-10-04,-3.483790523690761,1,275377.35167152045,INITIAL_STOP_LOSS
AXISCADES,2022-10-21,2022-11-24,42.9440158568702,22,132307.15148010067,EMA21_TRAILING_EXIT
PAISALO,2019-05-27,2019-05-28,-3.4837905236907494,1,86064.57773511272,INITIAL_STOP_LOSS
APOLLOPIPE,2020-01-13,2020-01-14,-3.4837905236907574,1,63069.943374204646,INITIAL_STOP_LOSS
PNBGILTS,2024-06-21,2024-07-22,6.991985491227408,20,244452.42626046325,EMA21_TRAILING_EXIT
CHOLAFIN,2018-04-06,2018-05-10,6.180604395078115,23,56938.77709006851,EMA21_TRAILING_EXIT
JSWSTEEL,2025-11-11,2025-11-21,-3.4837905236907516,8,806232.274621779,INITIAL_STOP_LOSS
JSWENERGY,2022-02-16,2022-02-25,-5.091109584026531,7,176484.98557731757,EMA21_TRAILING_EXIT
FORTIS,2025-06-16,2025-07-11,1.926181081853175,19,93747.84334474357,EMA21_TRAILING_EXIT
SOMICONVEY,2024-12-20,2024-12-23,-4.914488986952027,1,253829.6825255257,INITIAL_STOP_LOSS
GHCL,2022-04-28,2022-05-10,-4.421256990472255,7,163196.2984469113,EMA21_TRAILING_EXIT
KAMDHENU,2023-01-04,2023-01-05,-3.4837905236907725,1,306182.7814790433,INITIAL_STOP_LOSS
HEG,2018-07-26,2018-08-08,-2.1056111190831497,9,28371.313762874037,EMA21_TRAILING_EXIT
DBSTOCKBRO,2024-05-13,2024-05-23,-3.55397560527856,7,443374.0714154284,EMA21_TRAILING_EXIT
ZOTA,2025-10-03,2025-11-03,4.978376176106854,20,558983.0607545477,EMA21_TRAILING_EXIT
TIINDIA,2021-03-16,2021-03-17,-3.627556577652323,1,80565.28025808863,INITIAL_STOP_LOSS
SAIL,2026-05-19,2026-06-08,-2.8981867573802202,14,899370.4119259457,EMA21_TRAILING_EXIT
MANGLMCEM,2024-02-27,2024-02-28,-3.4837905236907654,1,281111.2079818671,INITIAL_STOP_LOSS
BERGEPAINT,2018-05-25,2018-06-04,-3.4837905236907765,6,66132.8169261765,INITIAL_STOP_LOSS
WELCORP,2026-05-14,2026-05-15,-3.483790523690769,1,72695.83769400771,INITIAL_STOP_LOSS
CENTURYPLY,2021-04-19,2021-04-20,-3.736248336919152,1,120933.5077086321,INITIAL_STOP_LOSS
ARMANFIN,2022-11-22,2022-11-23,-3.6744925417575875,1,457244.593898549,INITIAL_STOP_LOSS
GOKULAGRO,2022-12-15,2022-12-22,-5.245952991361742,5,276890.6280799238,EMA21_TRAILING_EXIT
THEMISMED,2022-12-07,2023-01-12,15.597035005661336,26,221502.14606250974,EMA21_TRAILING_EXIT
HERCULES,2024-03-21,2024-04-01,-3.4837905236907787,5,434487.9180382936,INITIAL_STOP_LOSS
GODFRYPHLP,2025-05-13,2025-05-27,-4.620464345109505,10,384588.8029826891,EMA21_TRAILING_EXIT
