Cash Reserve Buffer (%),Allocation Model,CAGR (%),Max Drawdown (%),Profit Factor,Trades Taken,Avg Capital Deployed (%),Avg Cash Pct (%),Signals Rejected (Cap Limit),Ending Equity (₹)
0.0,Model A: Equal Weight (Baseline),25.065070112781452,-29.40254888977836,1.6283521018020861,1970,73.34972601783807,26.650273982161934,23,6911703.152997473
0.0,Model B1: Linear Rank Weighted,28.869929236843394,-29.10174189853309,1.6771288214547082,1956,72.20949801867461,27.79050198132539,43,8955373.332495973
0.0,Model B2: Inverse Rank Weighted,26.84522027547849,-30.131479151724943,1.6371558307997254,1948,71.2456254842244,28.754374515775595,46,7809781.67418422
0.0,Model C: Relative Volume Weighted,29.068178905690555,-28.14215183431616,1.7579359016042926,1952,70.66015044218099,29.339849557819008,34,9075153.087639283
0.0,Model D: Composite Tech+Fund Weighted,25.411840094480787,-28.871048875834543,1.647475285417483,1951,73.32390760349755,26.676092396502455,60,7079112.904347306
10.0,Model A: Equal Weight (Baseline),24.904119354817066,-26.110619087802146,1.6712483558318352,1953,67.82017587756907,32.17982412243093,63,6835197.894944668
10.0,Model B1: Linear Rank Weighted,26.566472433276832,-27.688720839216458,1.7089316842013147,1932,66.92695319521177,33.073046804788234,66,7662680.633711364
10.0,Model B2: Inverse Rank Weighted,26.23344184120331,-27.658296080839357,1.7047936497426674,1931,66.50311184694087,33.49688815305913,62,7490149.764894235
10.0,Model C: Relative Volume Weighted,27.33098792090378,-26.646705527435017,1.7185643670940913,1973,66.43017560898922,33.56982439101078,27,8072107.615153326
10.0,Model D: Composite Tech+Fund Weighted,24.44318028677348,-28.404478306306164,1.6722937806132978,1948,67.7933608995362,32.2066391004638,54,6620224.808492431
20.0,Model A: Equal Weight (Baseline),22.766857036346266,-25.049554040659928,1.7111951699322976,1917,61.67945776126565,38.32054223873435,116,5887941.052061117
20.0,Model B1: Linear Rank Weighted,23.514842316965346,-26.111808978454714,1.6699056009812658,1931,61.04313345103003,38.95686654896997,124,6205329.13388954
20.0,Model B2: Inverse Rank Weighted,23.191401853344008,-26.030552474290715,1.6554032734741,1939,60.8563508610658,39.1436491389342,103,6066275.74105346
20.0,Model C: Relative Volume Weighted,24.563676071716365,-25.163767477025416,1.6952687005532234,1961,60.960047784892204,39.039952215107796,94,6675836.411579056
20.0,Model D: Composite Tech+Fund Weighted,21.549629465194965,-26.897582875752352,1.7147941465711545,1925,61.67587864335092,38.32412135664908,121,5402057.174357233
