Fold,Train Period,Test Period (OOS),Selected Best Model on Train,Train Sharpe,OOS Selected CAGR (%),OOS Selected MaxDD (%),OOS Selected PF,OOS Selected WinRate (%),OOS Selected Trades,OOS Benchmark A CAGR (%),OOS Benchmark A MaxDD (%),Outperformance Delta (Selected - Base)
Fold 1,2018-01-01 to 2020-12-31,2021-01-01 to 2021-12-31,Model B1: Linear Rank,1.149000762918187,121.90220837992266,-9.900390913554906,2.59763506519301,31.906614785992215,272,122.24040161803211,-11.268003879080695,-0.33819323810945434
Fold 2,2019-01-01 to 2021-12-31,2022-01-01 to 2022-12-31,Model B1: Linear Rank,2.818688067686149,5.014964281313161,-24.127317700190552,0.9539745745970478,18.83116883116883,314,6.30649473816467,-24.601991102162813,-1.2915304568515085
Fold 3,2020-01-01 to 2022-12-31,2023-01-01 to 2023-12-31,Model B1: Linear Rank,2.1082917817847115,62.860475921743884,-8.705607728782063,2.0902119589459307,33.80952380952381,225,59.29191821154085,-9.042949734252389,3.568557710203031
Fold 4,2021-01-01 to 2023-12-31,2024-01-01 to 2024-12-31,Model B1: Linear Rank,2.0965329109603106,-2.6879409536516796,-24.599870553760443,0.8479434759878135,22.465753424657535,377,-4.7012844681512895,-25.852108360528923,2.01334351449961
Fold 5,2022-01-01 to 2024-12-31,2025-01-01 to 2025-12-31,Model C: Relative Volume,0.8130871884244484,44.58543934341521,-14.45148652520149,1.661151728519265,28.313253012048197,181,42.75374750886027,-14.529688666607523,1.8316918345549382
Fold 6,2023-01-01 to 2025-12-31,2026-01-01 to 2026-08-31,Model D: Hybrid Tech+Fund,1.3152524982502067,-5.714592967549004,-8.877374510913075,0.9224115509944577,25.833333333333336,120,-3.08605034300502,-9.55553419036635,-2.628542624543984
