EMA9_Distance_Bucket,Sample_Count,Avg_20D_Return %,Median_20D_Return %,Avg_60D_Return %,Median_60D_Return %,Avg_120D_Return %,Median_120D_Return %,Avg_180D_Return %,Median_180D_Return %,Median_MFE_180D %,Median_MAE_180D %
0–10%,304,1.8696778769269553,1.1210928437944845,7.225424236727684,3.106851385700099,12.896951235243604,8.276015258860733,20.73109216724087,11.10895477672687,26.11968866457652,-11.914016781445758
10–20%,922,2.7230975817917984,1.5274602228143175,8.657022901048505,3.970919678480152,15.344238840116542,7.584995806336997,23.03098879665626,12.534204689961548,33.5248921623581,-15.021026850027496
20–30%,704,3.484563087296955,1.0845631544493974,10.16082389919863,4.866474657046727,16.85615474838969,8.641872781521679,23.310640883690688,10.765595413735486,42.57186848814426,-16.867925468281648
30–50%,493,0.36395500127129865,-0.5860773513994046,6.428064305694796,3.5127836230987812,17.3266947971497,6.381156320176368,27.791314732488935,11.56469504240658,45.386728612439406,-19.132645843173798
>50%,94,-1.6862413458763434,-2.575956449799827,6.140850735111406,1.122034006321414,11.850775868832185,0.7538231309751392,20.11125704381641,6.2622469224546045,44.75708418283466,-26.551259099673995
