Fold,Model,Train_Period,Test_Period,Train_CAGR,Train_MaxDD,Train_PF,Test_Return,Test_MaxDD,Test_PF,Test_WinRate,Test_Trades
Fold 1,Baseline GFS,2018-2020,2021-2021,4.2515222174221545,-21.851081599813394,1.198128577317013,5.8709341865492055,-19.810740935483338,1.1052938924483797,37.53943217665615,317
Fold 1,Full Adaptive,2018-2020,2021-2021,3.5877059284382007,-21.34417086053481,1.2003189797267375,2.9496034585713176,-17.992550929943775,1.033886810795787,37.37024221453287,289
Fold 2,Baseline GFS,2018-2021,2022-2022,6.178017802812685,-21.851081599813394,1.201315423098041,-18.849475695963296,-27.02408330033572,0.6427454490499809,32.06751054852321,237
Fold 2,Full Adaptive,2018-2021,2022-2022,3.262657339659536,-21.34417086053481,1.1121737406809913,-12.219815374445544,-20.56989685207431,0.6938343696284992,32.94117647058823,170
Fold 3,Baseline GFS,2018-2022,2023-2023,1.263907781924134,-38.44116214267041,1.0554354246873192,34.412178601148355,-6.6004076286118885,2.1578559673821434,49.71098265895954,173
Fold 3,Full Adaptive,2018-2022,2023-2023,0.6008050029199241,-31.984896853061212,1.0292148499810363,15.17967784565927,-5.6799574686637335,1.5928788752916752,44.89795918367347,147
Fold 4,Baseline GFS,2018-2023,2024-2024,6.023907558934094,-38.44116214267041,1.191364335344312,-5.2078238958023135,-14.056840264990674,0.9072425339146539,42.21453287197232,289
Fold 4,Full Adaptive,2018-2023,2024-2024,2.7473753465529382,-31.984896853061212,1.1014311419223146,-3.187869624857931,-14.948048629319866,0.9606640746177956,43.145161290322584,248
Fold 5,Baseline GFS,2018-2024,2025-2025,4.8786142997638615,-38.44116214267041,1.14677069459434,-12.095312952063466,-14.299981268970589,0.5602366667066428,36.92307692307693,130
Fold 5,Full Adaptive,2018-2024,2025-2025,2.566901974282243,-31.984896853061212,1.0876416740237826,-7.514008880220854,-10.166916131460786,0.6595334646670034,40.54054054054054,111
Fold 6,Baseline GFS,2018-2025,2026-2026,2.5561524896702714,-38.44116214267041,1.0905420093298004,-2.5599455976510535,-9.187407622548047,0.8690889658431262,39.25233644859813,107
Fold 6,Full Adaptive,2018-2025,2026-2026,1.5125998084242642,-31.984896853061212,1.0584036302284123,-1.2535968216632842,-6.204374565965091,0.8878222137297741,41.66666666666667,60
