Ranking_Method,Positions,Cost_Bps,CAGR,MaxDD,ProfitFactor,WinRate,AnnualTurnover,EndingCapital
Composite Momentum,3,25.0,8.666672399374997,-41.21353281486977,2.122660928399935,32.432432432432435,145.36950420954165,2024166.2156008151
Composite Momentum,3,50.0,8.038894831663889,-41.815992129446414,2.03834215122499,32.432432432432435,145.36950420954165,1927072.759458928
Composite Momentum,3,100.0,6.799921557090194,-43.00125001067889,1.8840075607750673,32.432432432432435,145.36950420954165,1747428.5604066285
Composite Momentum,5,25.0,11.00463234640272,-33.73187522498648,2.1773968536514765,34.42622950819672,143.7979420018709,2424820.9375831983
Composite Momentum,5,50.0,10.36435093625354,-34.399356567698334,2.0854737348099883,34.42622950819672,143.7979420018709,2308687.1853161277
Composite Momentum,5,100.0,9.101571128358742,-35.71249091748236,1.9165813502091693,32.78688524590164,143.7979420018709,2093934.286160581
Composite Momentum,7,25.0,15.375621867349064,-37.66806081017399,3.48160549457931,39.473684210526315,127.97006548175867,3364988.0706869964
Composite Momentum,7,50.0,14.778822130050507,-37.792702890817544,3.3449302358283592,39.473684210526315,127.97006548175867,3220140.376607357
Composite Momentum,7,100.0,13.598826358348216,-38.03912066762111,3.0924804125231837,38.15789473684211,127.97006548175867,2949841.8201445714
Composite Momentum,10,25.0,22.037964376338294,-45.95920026253947,3.5955586145836533,42.71844660194174,121.40318054256313,5417939.869886179
Composite Momentum,10,50.0,21.402804739281468,-46.016181112332646,3.465903061757068,41.74757281553398,121.40318054256313,5183309.6984281605
Composite Momentum,10,100.0,20.156289806425143,-46.12835866855831,3.2247780256804295,40.77669902912621,121.40318054256313,4748752.276824266
Composite Momentum,15,25.0,27.90914864576386,-39.256094632813635,4.9387946888015115,42.142857142857146,110.00935453695043,8071733.595219182
Composite Momentum,15,50.0,27.327387412108628,-39.35657203679354,4.910574281873833,41.007194244604314,109.22357343311506,7765512.308146369
Composite Momentum,15,100.0,26.173194866040905,-39.55856431516385,4.591257105602514,40.28776978417266,109.22357343311506,7188159.386583123
Monthly RSI,3,25.0,-1.1843869467542234,-56.1698846190996,1.1894693394399014,26.190476190476193,165.01403180542565,903856.4745918956
Monthly RSI,3,50.0,-1.8980878789550681,-57.02213048295545,1.1377102649306434,26.190476190476193,165.01403180542565,849944.5995068413
Monthly RSI,3,100.0,-3.3059844289606066,-58.675240509335055,1.0432814029255537,26.190476190476193,165.01403180542565,751845.0083469313
Monthly RSI,5,25.0,16.690728256142194,-51.2370040856685,3.0066261257027596,33.33333333333333,141.44059869036482,3704630.5860398896
Monthly RSI,5,50.0,16.01170257305169,-51.250321883450056,2.884288445780935,33.33333333333333,141.44059869036482,3525668.423685281
Monthly RSI,5,100.0,14.670938868448502,-51.27544785007628,2.6619887818551726,33.33333333333333,141.44059869036482,3194551.739033299
Monthly RSI,7,25.0,17.06128709051493,-48.81633922757925,3.0689239652234486,38.46153846153847,131.3376987839102,3805634.549267304
Monthly RSI,7,50.0,16.432356649838265,-48.86241850356372,2.9420248138402236,37.17948717948718,131.3376987839102,3635612.2522834064
Monthly RSI,7,100.0,15.190392486805715,-48.953483251495946,2.7089369316100798,35.8974358974359,131.3376987839102,3319428.604759576
Monthly RSI,10,25.0,17.02669270087651,-44.087736715407324,3.3387603305948947,40.0,123.76052385406922,3796103.375497765
Monthly RSI,10,50.0,16.41693911951867,-44.15824883046451,3.2144922525821102,39.04761904761905,123.76052385406922,3631529.8983670603
Monthly RSI,10,100.0,15.234819965036639,-44.29798161226163,2.984364018521435,38.095238095238095,123.76052385406922,3330306.196876488
Monthly RSI,15,25.0,25.506520906536245,-37.17462667147593,5.031272273662217,41.66666666666667,113.15247895229187,6872224.543179146
Monthly RSI,15,50.0,24.965073191989262,-37.27300999752735,4.857800173408755,40.27777777777778,113.15247895229187,6624714.694702117
Monthly RSI,15,100.0,23.894538942975572,-37.466779550241206,4.534693301706703,39.58333333333333,113.15247895229187,6158378.4529575445
6M Return,3,25.0,17.137488176686944,-53.809189607709285,3.7423699629807365,37.142857142857146,137.51169317118803,3826703.3688795017
6M Return,3,50.0,16.478682500439803,-53.817705622966706,3.608234934684998,37.142857142857146,137.51169317118803,3647903.079730495
6M Return,3,100.0,15.177156335558806,-53.83416448861915,3.361679347216486,37.142857142857146,137.51169317118803,3316193.940425154
6M Return,5,25.0,20.700856563691605,-52.281538664770345,3.2959873212174298,40.35087719298245,134.36856875584658,4934475.5710165035
6M Return,5,50.0,20.016389296761727,-52.30629741036045,3.1666705831302777,38.59649122807017,134.36856875584658,4702046.7906259205
6M Return,5,100.0,18.67224734006545,-52.354490119886854,2.9301649111424464,38.59649122807017,134.36856875584658,4273539.993478222
6M Return,7,25.0,18.71116382145239,-47.4441509202114,3.4099141593390874,40.78947368421053,127.97006548175867,4285444.525439428
6M Return,7,50.0,18.072350596300723,-47.51219933434467,3.276382058954343,39.473684210526315,127.97006548175867,4093686.393189811
6M Return,7,100.0,16.80826156202788,-47.650214054918905,3.0294825079134164,38.15789473684211,127.97006548175867,3736407.669876509
6M Return,10,25.0,21.309798998085338,-44.12960822435396,3.3590601001158675,41.74757281553398,121.40318054256313,5149716.557405091
6M Return,10,50.0,20.71644294692461,-44.17908418449602,3.2384732526303472,40.77669902912621,121.40318054256313,4939884.272714842
6M Return,10,100.0,19.54312694906084,-44.27685296377113,3.014137290564426,39.80582524271845,121.40318054256313,4547038.695483334
6M Return,15,25.0,27.799441323953932,-38.17346449464335,5.082521092216581,41.605839416058394,107.65201122544435,8013185.275045397
6M Return,15,50.0,27.241384546483083,-38.23886444137638,4.913353547474268,40.14598540145985,107.65201122544435,7721123.766700423
6M Return,15,100.0,26.136818503185832,-38.36880384239835,4.597132210631863,39.416058394160586,107.65201122544435,7170595.98910879
