ticker,entry_date,exit_date,return_pct,pnl_usd,holding_days
SMCI,2023-01-13,2024-09-03,447.1548249902044,775056.8854195225,410
SFM,2023-11-03,2025-09-02,232.28385788175947,451745.2060520262,456
SNAP,2020-08-05,2021-11-01,148.25873502873256,202750.52958812407,313
BLDP,2020-03-02,2021-05-03,101.59044113907842,108548.16184410614,295
SHOP,2020-03-02,2022-02-01,101.11251946987522,108037.50830115663,485
PBT,2022-03-17,2023-09-01,71.43584436536298,115743.00921933186,367
VIST,2023-11-03,2025-04-01,69.19253308911902,134565.50705954267,351
ADBE,2020-03-02,2022-01-03,56.334624360972754,60192.86710439878,465
FRO,2023-04-06,2024-11-01,55.141061001025406,87275.3411813052,396
TNK,2023-04-06,2024-09-03,51.83052704426101,69420.88077431053,353
BIO,2020-06-26,2022-02-01,40.714710574870864,48258.18197141353,403
ALNY,2024-09-10,2026-02-02,32.09182085415503,90058.99133694002,349
LLY,2021-12-02,2023-03-01,28.633167677312706,55151.83595996313,311
FLUT,2020-07-15,2021-06-01,28.38879870129872,37767.03336596568,221
KDP,2018-09-06,2020-03-02,26.8986168169424,30659.789980070436,372
DINO,2018-02-01,2018-12-03,26.041523475430907,24687.37917300512,211
OLLI,2024-09-03,2026-01-02,24.814716825846958,69943.1203313157,334
F,2021-05-03,2022-05-02,24.52715525280223,41751.74027275205,252
PCAR,2023-09-05,2024-08-01,22.695754391322183,43319.059432643524,228
FE,2019-04-08,2020-03-02,20.801740577818954,22412.13334445542,226
AES,2018-09-06,2019-09-03,19.180517275881996,15742.97419090425,248
GLDI,2025-05-16,2026-07-01,16.763977406072826,16448.78852650289,281
EXR,2019-02-25,2019-12-02,14.469922576142668,15343.828355878037,195
INTC,2018-01-12,2018-08-01,14.0749323855673,14405.735018345444,138
CF,2018-01-19,2018-12-03,11.396044239961887,11813.176721557344,220
KTB,2024-03-01,2025-03-03,9.668113357007892,26146.50115668112,250
ESAB,2024-05-03,2025-09-02,9.66570923957036,1360.7387769496254,332
CBOE,2025-09-02,2026-07-01,7.104954144111714,24843.89110656245,208
BGR,2022-03-17,2022-10-03,5.458343000749063,8843.810133002327,137
CABA,2023-12-01,2024-04-01,4.783975169566772,853.9829549616771,81
OMCL,2021-08-02,2022-02-01,3.640760822962139,7078.550927307984,127
CIZN,2020-07-13,2020-08-03,3.306977817020335,4255.543155971608,15
CMI,2020-12-09,2021-08-02,3.0773905704263824,3708.281949133811,161
MS-PK,2019-09-04,2020-03-02,2.468890735437607,2753.539328950489,123
BSX,2019-03-22,2020-03-02,2.395543435929022,2562.168739537942,237
DUKB,2020-06-15,2021-03-01,1.8733658648588607,2176.885324918122,178
EXTR,2023-01-27,2023-11-01,1.7950660220293977,1223.3355508890186,192
LAUR,2023-11-06,2024-02-01,1.6527275745236627,2196.1232667901463,59
GE,2025-12-03,2026-04-01,1.5131511245387657,3887.9911983242546,81
LYV,2025-01-06,2025-12-01,1.2130143924315269,3695.7881285304975,226
PGR,2023-01-23,2023-06-01,0.8200195773618383,1383.9881481347688,90
CMCL,2020-06-24,2020-12-01,0.38546964758292895,457.4013588938309,111
FIX,2018-01-11,2019-01-02,-0.08879664575295249,-89.72368362091193,244
ALGN,2018-01-03,2018-11-01,-0.30771564218506475,-306.5976444277553,210
GHC,2019-03-22,2019-10-01,-0.37278609307382865,-398.71574018770815,133
TAK,2025-05-12,2025-08-01,-0.4107924079054222,-1283.9555806322655,56
GWRE,2018-06-11,2018-11-01,-0.5229956026539554,-591.9199160076862,101
MWA,2025-05-09,2025-12-01,-1.0949446240149394,-3402.9538025094316,141
CHD,2023-06-01,2023-10-02,-1.102138868360634,-1993.1017895919085,84
