ticker,entry_date,exit_date,return_pct,pnl_usd,holding_days
NEU,2025-08-01,2026-01-02,-1.2096797625892215,-3757.8694929954763,106
PAR,2019-04-12,2019-09-03,-1.362869469708346,-740.1432543228084,98
BKT,2019-12-02,2020-04-01,-1.8240791725262329,-2000.2601000779605,83
APTV,2018-03-05,2018-09-04,-1.9686458794648847,-1966.0334000692537,127
RPT,2020-01-06,2020-03-02,-2.1513816240389874,-284.1708661126356,38
GMED,2018-05-07,2018-12-03,-2.6144803525974405,-2364.115077217345,146
BCS,2021-05-04,2022-03-01,-2.689310823867731,-1194.3786436762673,208
CMT,2023-06-01,2023-12-01,-2.8431556084296457,-523.4269791810458,127
GLDI,2022-03-17,2022-06-01,-2.958400271369517,-4793.310038197322,52
TTE,2023-02-06,2023-06-01,-3.3509742895315977,-2578.641460337905,80
INTA,2023-05-02,2023-09-01,-3.4672242111441243,-5317.815823978469,85
AVD,2022-08-12,2022-09-01,-3.961252440625576,-6334.879360643863,14
HII,2018-01-05,2018-06-01,-4.114184597858599,-4134.524397566033,101
INTU,2018-08-01,2019-01-02,-4.77722640936854,-5278.599770455144,105
AON,2019-03-07,2020-04-01,-4.7911652377163865,-4992.690427520643,270
HPI,2019-09-09,2019-12-02,-4.968332347145386,-5458.21151944759,59
MGRC,2023-01-25,2023-05-01,-5.046381261342421,-9769.764643783554,66
CQP,2022-03-18,2022-07-01,-5.225157181978119,-8417.48574703826,72
CCEP,2023-06-01,2023-11-01,-5.388781516229479,-9745.042473361333,106
GLO,2021-06-01,2022-01-03,-5.960617343795114,-10160.513209635907,150
LHX,2021-11-01,2021-12-01,-6.092468478437183,-11926.192143773842,21
APPF,2020-07-20,2021-04-01,-6.582259787229644,-7616.294685334152,177
ARE,2022-01-07,2022-02-01,-6.751270771114622,-12450.621733111491,16
JCI,2019-10-04,2020-02-03,-7.031820318357362,-7599.490261252487,82
CUBE,2018-07-20,2018-10-01,-7.414471868339327,-2444.644166635217,50
HRL,2019-04-08,2019-05-01,-7.443508107538589,-8019.756598376986,16
BSTZ,2021-03-01,2022-02-01,-7.647568300661568,-9035.004632363027,234
TCBX,2025-01-06,2025-05-01,-8.223783778257435,-12494.82221758632,79
LVS,2018-03-05,2018-09-04,-8.305624538134404,-8294.602610219354,127
CUZ,2019-03-27,2019-08-01,-8.466676596761179,-9103.163640675324,88
EXLS,2018-01-04,2018-03-01,-9.073467155943025,-9088.610550841442,38
CNR,2023-11-02,2024-03-01,-9.38280335609758,-17968.752504162057,81
ALL,2018-01-08,2018-03-01,-9.3835236565127,-9455.793512230726,36
TTGT,2019-12-04,2020-03-02,-9.843861222039566,-10794.332481039972,59
LYV,2018-03-05,2018-05-01,-9.901020848465865,-9887.88175969823,40
ABBV,2026-01-07,2026-05-01,-10.217434701401128,-32607.172733105857,79
INTU,2019-05-01,2020-04-01,-10.218963771816838,-10170.180890697105,232
BRBS,2022-02-07,2022-03-01,-10.752866885996744,-17442.122247482937,15
TKO,2023-09-05,2023-10-02,-11.98525072738291,-22876.07539378152,19
DHI,2018-02-01,2018-03-01,-11.994113477738043,-12312.306264556024,19
NHC,2024-09-11,2025-01-02,-12.133731136587244,-34309.04220107858,78
EQIX,2021-08-02,2022-02-01,-12.21561019880539,-1062.2430088194185,127
CMCL,2023-05-01,2023-06-01,-12.3074087653739,-19131.78434347336,22
GNRC,2018-01-04,2018-03-01,-13.61412620467669,-13636.847848539068,38
EHC,2018-10-01,2018-11-01,-13.855721614980956,-4221.230817181013,23
ACNT,2022-04-04,2022-07-01,-13.956872489646022,-19942.02311813132,61
DY,2018-03-05,2018-06-01,-15.238312245928373,-9183.526506597102,62
IVT,2022-02-09,2022-10-03,-15.531072515364611,-25182.75573305516,162
SLP,2019-09-11,2020-01-02,-15.648978748330483,-1055.803794259143,78
RYAM,2026-04-09,2026-07-01,-15.779960784930077,-59593.98959818717,57
JXN,2023-03-06,2023-05-01,-16.142890124958477,-13272.8718991935,39
CALX,2023-01-13,2023-02-01,-16.501948889939914,-28602.954491811997,12
FENC,2023-01-26,2023-04-03,-16.545506065692418,-30867.957682551594,46
CCB,2022-02-01,2022-05-02,-17.431633999036734,-29064.205670512445,62
MLYS,2026-01-02,2026-03-02,-18.05819370749877,-62623.488742638976,39
UPLD,2019-08-01,2019-09-03,-18.414119585587375,-18085.935578725166,22
TH,2023-02-02,2023-05-01,-19.304963943500937,-31618.68892490289,60
TSBK,2023-03-06,2023-04-03,-19.395590594789795,-32254.12686907541,20
THCH,2022-08-19,2022-09-01,-20.3507996868503,-32109.43467625722,9
EPC,2022-02-03,2022-03-01,-21.11478044529214,-34728.019724122496,17
NTAP,2024-08-01,2025-03-03,-21.330785331529256,-49854.24992017214,145
PCVX,2024-11-01,2025-01-02,-22.5150817691945,-61971.8948616058,41
SYNA,2022-01-07,2022-04-01,-22.74184352887963,-41940.26589825876,58
ULTA,2024-04-01,2024-05-01,-24.14008026517111,-4506.353702043261,22
CRUS,2020-02-04,2020-07-01,-24.462982927975652,-24210.572695255516,103
TRLV,2021-04-01,2021-08-02,-26.473458915375215,-28558.814568506456,84
LOT,2024-02-01,2024-03-01,-27.715231049923883,-37361.50743575409,20
ASUR,2023-05-02,2023-10-02,-36.27917229760156,-28938.394129944063,105
BNR,2026-03-02,2026-04-01,-36.55447662535798,-111883.7665751805,22
BAER,2023-01-13,2023-02-01,-40.315566603192906,-69879.2805961079,12
