Allocation Model,Worst Single Day (%),Worst Day Date,Worst Single Trade (%),Worst Single Stock,Worst 10-Trade Sequence (%),Worst 20-Trade Sequence (%),Monthly Return Mean (%),Monthly Return Std (%),Positive Months (%),Drawdown Duration (Days),Drawdown Recovery (Days)
Model A: Equal Weight (Baseline),-9.17523225766147,2024-06-04,-31.188566924054463,ASALCBR,-69.00775461838855,-81.51093935569324,1.9578161024251677,5.786616175231141,65.38461538461539,424,179
Model B1: Linear Rank Weighted,-9.062432675760412,2024-06-04,-31.188566924054463,ASALCBR,-69.00775461838855,-81.51093935569324,2.1913870635512116,6.027470344318669,63.46153846153846,424,177
Model B2: Inverse Rank Weighted,-9.553997569302696,2024-06-04,-31.188566924054463,ASALCBR,-69.00775461838855,-81.51093935569324,2.0566258844963015,5.903099611948173,61.53846153846154,424,184
Model C: Relative Volume Weighted,-5.820361474497082,2024-06-04,-31.188566924054463,ASALCBR,-69.00775461838855,-81.51093935569324,2.2156266497142023,5.892385779198354,61.53846153846154,194,163
Model D: Composite Tech+Fund Weighted,-8.019567553243279,2024-06-04,-31.188566924054463,ASALCBR,-69.00775461838855,-81.51093935569324,1.9792201990933915,5.530579928472698,58.65384615384615,194,179
