Strategy,Cost_Bps,CAGR,MaxDD,ProfitFactor,WinRate,AvgTrade,EndingCapital
GFS Baseline,0.0,7.981340912794366,-33.758014690259635,1.2524904947896025,42.098688319800125,0.6961786334921128,1918380.465033993
Full Adaptive Model,0.0,6.048373953628428,-27.943940921410356,1.220426547266101,42.31354642313546,0.619489106228766,1645808.466080652
GFS Baseline,25.0,1.5582899640037118,-38.44116214267041,1.063849771445915,40.28732042473454,0.19395330364927008,1140181.8764400836
Full Adaptive Model,25.0,0.8588810476966913,-31.984896853061212,1.0395447774549278,40.51789794364052,0.12209230271911353,1075254.5367528596
GFS Baseline,50.0,-4.465929330351326,-47.353449631555776,0.9100701104330654,38.08630393996248,-0.29871960879792125,678672.6621683079
Full Adaptive Model,50.0,-4.061035774879751,-40.356064043045905,0.8881934770848112,37.852246763137856,-0.3772759801907443,703466.6438768789
GFS Baseline,100.0,-15.425626736340236,-76.6858404023971,0.6724606126396401,32.29036295369212,-1.2873231562357272,241370.74954958181
Full Adaptive Model,100.0,-13.186480408850986,-70.59427492021679,0.6574054169062236,32.31707317073171,-1.3653673985865395,301277.9832158176
GFS Baseline,150.0,-25.111182876093185,-91.5012604825591,0.5015023671140176,27.52808988764045,-2.2903432924993496,86007.75945229181
Full Adaptive Model,150.0,-21.315707536167107,-87.11675334282958,0.49644819912514365,27.349121466768526,-2.3344375367753307,130828.07293093922
