Configuration,Catastrophic_Stop,Activation_Threshold,CAGR,MaxDD,ProfitFactor,WinRate,Trades,AvgTrade,MedianTrade,Expectancy,AvgHoldDays,W50,W100,MaxWinner
Stop -7% / Act +5%,-7%,+5%,3.4586104329841216,-32.057188953206115,1.1437593384290399,46.580273578113754,1389,0.49416950072224236,-0.6666202029611044,0.4941695007222435,12.05471562275018,17,2,219.13399001371747
Stop -7% / Act +10%,-7%,+10%,7.421591730590116,-31.251723319129244,1.2386809050781993,39.43789664551224,1103,1.051984376771952,-7.463840399002482,1.0519843767719523,18.104261106074343,20,4,219.13399001371747
Stop -7% / Act +15%,-7%,+15%,9.650640034285619,-25.23556464171126,1.3157925094565865,33.547695605573416,933,1.5760175945752397,-7.463840399002485,1.57601759457524,23.533762057877812,23,4,219.13399001371747
Stop -7% / Act +20%,-7%,+20%,9.025767603330447,-28.062512827128483,1.3416550940117986,29.161451814768462,799,1.8285097603395477,-7.4638403990024855,1.828509760339549,28.330413016270338,21,4,219.13399001371747
Stop -8% / Act +5%,-8%,+5%,3.112012183362234,-39.14882846845719,1.1303924414198834,48.59315589353612,1315,0.4701114847905017,-0.2729588979415994,0.47011148479050124,13.324714828897338,16,2,219.13399001371747
Stop -8% / Act +10%,-8%,+10%,8.97377531751211,-31.08032303420974,1.28905414998044,43.154761904761905,1008,1.3437288215552394,-8.458852867830398,1.3437288215552385,20.759920634920636,19,4,219.13399001371747
Stop -8% / Act +15%,-8%,+15%,11.543414524315065,-23.742928588970997,1.399658079595593,36.95652173913043,828,2.119209763742177,-8.458852867830403,2.1192097637421767,27.657004830917874,23,6,219.13399001371747
Stop -8% / Act +20%,-8%,+20%,13.314434681080357,-22.388095396424696,1.4700778918784385,32.95615275813296,707,2.686534530391765,-8.458852867830405,2.686534530391765,33.162659123055164,22,7,219.13399001371747
Stop -10% / Act +5%,-10%,+5%,3.459448497013673,-37.19589025898077,1.1542352561693205,52.27837613918807,1207,0.596464340941325,0.4096361821023676,0.5964643409413233,15.645401822700912,16,2,219.13399001371747
Stop -10% / Act +10%,-10%,+10%,6.752408042879465,-30.462568547106617,1.251056916552571,47.20982142857143,896,1.3134366969652473,-2.085195740869982,1.3134366969652458,25.373883928571427,16,4,219.13399001371747
Stop -10% / Act +15%,-10%,+15%,9.825143836347916,-31.096360687735995,1.3463652874417862,41.28686327077748,746,2.10313825941814,-10.448877805486262,2.1031382594181416,32.57640750670241,20,6,219.13399001371747
Stop -10% / Act +20%,-10%,+20%,10.077317246815864,-25.795794803562224,1.388815305542725,37.091503267973856,612,2.575117566653206,-10.448877805486266,2.575117566653206,40.650326797385624,16,7,219.13399001371747
Stop -12% / Act +5%,-12%,+5%,4.901203440120727,-33.697668473757226,1.1944545415450027,55.1948051948052,1078,0.7760010105398405,0.7981294902602019,0.7760010105398414,18.79499072356215,16,2,219.13399001371747
Stop -12% / Act +10%,-12%,+10%,6.476113157017238,-33.16703918180244,1.2666418179208137,50.58977719528178,763,1.5077466066189857,0.5870564001829828,1.5077466066189844,31.06422018348624,16,3,219.13399001371747
Stop -12% / Act +15%,-12%,+15%,10.91883121617876,-28.764337554092993,1.3946220284505482,46.83954619124797,617,2.5795369706514912,-12.438902743142117,2.579536970651491,39.73095623987034,18,4,219.13399001371747
Stop -12% / Act +20%,-12%,+20%,13.373870156217826,-26.36661988075188,1.5276923537090799,42.911877394636015,522,3.809000948729952,-12.438902743142126,3.809000948729955,48.83524904214559,21,6,219.13399001371747
