symbol,entry_date,exit_date,return_pct,pnl_inr,holding_days,exit_reason
GRAVITA,2022-04-04,2025-03-03,376.21555021515564,7486511.834292003,720,MONTHLY_EMA_BREAK
INGERRAND,2021-12-31,2025-02-01,249.6700011473711,5430297.914642513,763,MONTHLY_EMA_BREAK
KEI,2022-02-02,2025-02-01,266.0918054390815,5301610.505974937,741,MONTHLY_EMA_BREAK
ELECON,2022-10-06,2024-11-01,238.2253931927598,4118556.3527802713,511,MONTHLY_EMA_BREAK
NORBTEAEXP,2025-05-02,2026-05-04,58.65405209771981,3257394.1888089026,247,MONTHLY_EMA_BREAK
BEL,2022-10-06,2025-03-03,145.86896571042945,2935012.140551589,594,MONTHLY_EMA_BREAK
NITCO,2024-04-01,2025-03-03,63.287140883023426,2701963.833202684,229,MONTHLY_EMA_BREAK
MAZDOCK,2023-01-23,2024-04-01,144.817189415118,2547527.565450051,290,MONTHLY_EMA_BREAK
JSL,2023-04-24,2024-11-01,153.2955498537628,2134769.5092705647,377,MONTHLY_EMA_BREAK
ADANIGREEN,2020-07-27,2021-08-02,153.79361058112357,1945506.7593599227,254,MONTHLY_EMA_BREAK
TIINDIA,2021-02-01,2024-12-02,366.11100043384005,1937193.845915437,946,MONTHLY_EMA_BREAK
GPIL,2021-02-01,2021-12-01,114.79825788451362,1870661.8610162477,205,MONTHLY_EMA_BREAK
DIVISLAB,2019-05-13,2022-02-01,149.5696633799108,1558733.8870522305,676,MONTHLY_EMA_BREAK
BSOFT,2020-11-02,2022-03-02,125.48034401088421,1316915.7707618445,330,MONTHLY_EMA_BREAK
IPCALAB,2019-05-20,2021-02-01,101.67655002641571,1090475.5566871164,423,MONTHLY_EMA_BREAK
MUTHOOTFIN,2025-08-18,2026-04-01,16.52305964180358,1040462.2385499107,153,MONTHLY_EMA_BREAK
LALPATHLAB,2020-09-02,2022-02-01,66.35595526671175,979299.4339676573,352,MONTHLY_EMA_BREAK
AIAENG,2023-04-24,2024-11-01,38.20858069023332,884619.7954195228,377,MONTHLY_EMA_BREAK
WIPRO,2021-03-02,2022-02-01,37.704841990823105,515745.3368734011,227,MONTHLY_EMA_BREAK
HCG,2025-05-29,2026-02-02,6.568548652687244,391616.1288730406,170,MONTHLY_EMA_BREAK
PRESTIGE,2019-05-17,2020-03-02,19.28889523811831,202956.5965428185,195,MONTHLY_EMA_BREAK
DRREDDY,2020-07-09,2021-03-01,13.99038696878033,170573.0226915683,163,MONTHLY_EMA_BREAK
MAHLOG,2021-05-06,2022-02-01,11.613322262653014,160521.71674052742,185,MONTHLY_EMA_BREAK
SRF,2025-04-09,2025-09-01,2.823882514397943,149490.2141099508,97,MONTHLY_EMA_BREAK
DMART,2019-11-20,2020-08-03,11.807835180866173,130751.71118961659,174,MONTHLY_EMA_BREAK
FORCEMOT,2025-09-10,2026-07-01,1.6773266396611148,96412.27590536134,200,MONTHLY_EMA_BREAK
MUTHOOTFIN,2019-05-13,2020-04-01,7.76564345384207,80929.32305077826,220,MONTHLY_EMA_BREAK
PGHH,2021-04-01,2022-05-02,12.942466402561207,65551.4947641897,267,MONTHLY_EMA_BREAK
ACCURACY,2022-02-03,2022-08-01,0.526611669574658,10494.035190253431,122,MONTHLY_EMA_BREAK
ADANIPORTS,2025-06-23,2026-04-01,0.2580762459211638,8033.258185700408,192,MONTHLY_EMA_BREAK
ADANIPOWER,2024-04-01,2024-11-01,8.22145694545843,2358.2172477798463,146,MONTHLY_EMA_BREAK
GSS,2022-08-01,2023-03-01,-0.9630936188987123,-17340.590186002293,145,MONTHLY_EMA_BREAK
ATUL,2019-11-18,2020-04-01,-1.6418441032809872,-18188.531097114752,94,MONTHLY_EMA_BREAK
LUMAXIND,2026-01-01,2026-04-01,-7.820720637051437,-43428.394211555984,60,MONTHLY_EMA_BREAK
ASIANPAINT,2019-04-12,2019-07-01,-4.482871344549491,-47960.40723502566,51,MONTHLY_EMA_BREAK
GOODLUCK,2025-11-10,2026-01-01,-8.007325699714386,-48431.71382116683,37,MONTHLY_EMA_BREAK
COROMANDEL,2020-08-20,2021-05-03,-4.145489215643961,-58645.88755709799,173,MONTHLY_EMA_BREAK
PIDILITIND,2019-09-23,2020-04-01,-5.630959909431715,-61648.21335003589,130,MONTHLY_EMA_BREAK
BATAINDIA,2019-05-10,2020-04-01,-8.997016477098855,-93757.22277687218,221,MONTHLY_EMA_BREAK
ITI,2020-09-11,2021-04-01,-16.884654333912792,-103096.77993689367,138,MONTHLY_EMA_BREAK
TATACHEM,2021-11-01,2022-07-01,-12.400034330599603,-109447.51551904753,166,MONTHLY_EMA_BREAK
SUVEN,2019-05-17,2019-08-01,-11.645551069484382,-122533.78852187184,53,MONTHLY_EMA_BREAK
HAVELLS,2019-05-10,2019-08-01,-12.74023090374252,-132764.97493490748,58,MONTHLY_EMA_BREAK
ASAHIINDIA,2022-08-12,2023-01-02,-7.434622619398187,-138305.5066754586,96,MONTHLY_EMA_BREAK
GMMPFAUDLR,2020-07-21,2020-11-02,-14.13629361088716,-173131.78744728825,73,MONTHLY_EMA_BREAK
ADANIENT,2022-10-06,2023-02-01,-8.866597124266667,-178403.74803755683,81,MONTHLY_EMA_BREAK
WELENT,2023-02-16,2023-03-01,-10.006153632224711,-185470.44375171428,9,MONTHLY_EMA_BREAK
VADILALIND,2019-11-21,2020-04-01,-39.54788738336506,-205609.46834771108,91,MONTHLY_EMA_BREAK
APLLTD,2020-09-04,2021-08-02,-14.645412666567081,-213673.74827797813,225,MONTHLY_EMA_BREAK
CANTABIL,2019-05-03,2019-11-01,-21.321959074737713,-225204.1620091335,122,MONTHLY_EMA_BREAK
SEAMECLTD,2019-05-13,2019-09-03,-23.702837436599115,-247018.11247560554,77,MONTHLY_EMA_BREAK
SAGCEM,2021-11-01,2022-02-01,-13.618052870443584,-296820.1832005869,63,MONTHLY_EMA_BREAK
EQ30,2019-11-14,2020-04-01,-27.00570336711625,-300586.25600198057,96,MONTHLY_EMA_BREAK
RAMANEWS,2025-05-09,2025-11-03,-6.276242422871499,-354816.3641940609,122,MONTHLY_EMA_BREAK
LAURUSLABS,2021-08-02,2021-11-01,-20.27635127161358,-480744.0513706784,62,MONTHLY_EMA_BREAK
BANARISUG,2025-06-09,2025-10-01,-8.191687018534285,-484471.6090950347,80,MONTHLY_EMA_BREAK
