Monthly Thresh,Weekly Thresh,Daily Cross Thresh,Total Signals,Evaluated Trades,Win Rate (%),Mean Return (%),Median Return (%)
60,60,40,2923,2895,54.0587219343696,2.3868648251403473,0.9235527190703823
55,60,40,3162,3127,54.141349536296765,2.4213517238664104,0.9404424702090377
65,60,40,2580,2564,53.744149765990635,2.2792954529744995,0.8963363636087724
60,55,40,6592,6531,52.15127851783801,1.9607626782558747,0.44993116933731225
60,65,40,1174,1161,55.900086132644276,2.6568493784543787,1.4126956323228619
60,60,35,866,860,54.88372093023256,2.751601743708097,1.395199281501513
60,60,45,7441,7376,51.64045553145337,2.2659143702893965,0.3842306810706074
55,55,35,2488,2468,54.37601296596435,2.1159697692687787,0.967847823186168
65,65,45,2948,2918,52.43317340644277,2.3404626026667725,0.6107170200083014
