Strategy,Rejected Count,Rejected %,Rejected Would-Be Wins,Rejected Would-Be Losses,Rejected Win Rate (%),Rejected Avg Return (%),Rejected Winners > 50%,Rejected Winners > 100%,Rejected BLISSGVS?
1. Technical Only (Baseline),0,0.0,0,0,0.0,0.0,0,0,NO
2. Technical + ROE > 15%,2866,59.73322217590663,857,2009,29.902302861130497,2.2261732372170684,46,11,YES (Missed +109.8%)
3. Technical + ROE > 20%,3747,78.09503959983326,1133,2614,30.237523352014943,2.134625350111011,55,13,YES (Missed +109.8%)
4. Technical + ROCE > 15%,2494,51.97999166319299,738,1756,29.591018444266236,2.0621816790148935,42,10,YES (Missed +109.8%)
5. Technical + ROCE > 20%,3176,66.194247603168,956,2220,30.100755667506295,2.26876462508366,55,13,YES (Missed +109.8%)
6. Technical + Profit CAGR 3Y > 15%,2400,50.02084201750729,746,1654,31.083333333333336,2.247995339122379,32,7,YES (Missed +109.8%)
7. Technical + Profit CAGR 3Y > 25%,3044,63.443101292205085,946,2098,31.077529566360052,2.2144385994391924,41,9,YES (Missed +109.8%)
8. Technical + Sales CAGR 3Y > 10%,2426,50.56273447269696,718,1708,29.59604286892003,2.048877207634376,39,8,YES (Missed +109.8%)
9. Technical + Sales CAGR 3Y > 15%,3204,66.77782409337225,975,2229,30.430711610486895,2.3312812933945275,52,11,YES (Missed +109.8%)
10. Technical + Interest Coverage > 3,1441,30.03334722801167,435,1006,30.18736988202637,2.334167729408139,28,6,NO
11. Technical + P/E < 50,1992,41.51729887453106,597,1395,29.96987951807229,1.49471512061814,27,2,NO
12. Technical + PEG < 1.5,2951,61.50479366402668,905,2046,30.667570315147408,1.9141137168214877,36,7,YES (Missed +109.8%)
13. Combo A (ROCE>20 & ROE>20),3831,79.84576907044601,1159,2672,30.25319759853824,2.1856899269027306,59,14,YES (Missed +109.8%)
14. Combo B (Combo A + Profit>25),4249,88.5577323884952,1300,2949,30.595434219816426,2.2156589867137453,63,15,YES (Missed +109.8%)
15. Combo C (Combo A + Sales>15),4342,90.49604001667362,1327,3015,30.561953017042836,2.2592638514579413,66,16,YES (Missed +109.8%)
16. Combo D (Combo A + Both Growth),4437,92.47603167986661,1360,3077,30.65134099616858,2.262869062479776,67,16,YES (Missed +109.8%)
17. Combo E (Combo A + IntCov>3 + PE<50),4110,85.66069195498123,1245,2865,30.29197080291971,2.1775850888239456,66,14,YES (Missed +109.8%)
18. Combo F (Full Fundamental Screen),4429,92.30929553980826,1354,3075,30.57123504177015,2.253492632881151,70,16,YES (Missed +109.8%)
