Threshold_Set,Total_Signals,Trades_Taken,CAGR,MaxDD,ProfitFactor,WinRate,AvgTrade,MedianTrade,AvgWin,AvgLoss,Expectancy,Winners_GT_50pct,Winners_GT_100pct,AvgExposure
SET A: 60/60 (Symmetric),2923,649,14.845226065375638,-31.720263989809666,1.5143757002568428,38.674884437596305,3.2520455118047904,-9.609446418928712,24.756017365729768,-10.309504576977043,3.2520455118047895,30,3,78.31245626323297
SET B: 65/65 (Symmetric),1084,469,10.9302628261303,-26.2101885547401,1.5227131437148511,37.73987206823028,3.3962740620641663,-9.792308296501947,26.215429691434327,-10.435885343410211,3.396274062064168,20,5,58.721093436445685
SET C: 70/70 (Symmetric),393,232,9.389775166352997,-14.636454552639902,1.963130889667811,41.810344827586206,5.475393848344588,-4.6364969909388005,26.692887689917175,-9.769768393377936,5.47539384834459,11,2,29.37753644254893
Asym 70/60 (Monthly 70 / Weekly 60),2091,591,11.45542967470261,-33.42329935157055,1.447786780913992,36.37901861252115,2.8993551945756093,-10.448877805486257,25.76818219361001,-10.177234711787143,2.8993551945756124,24,3,71.905459974156
Asym 60/70 (Monthly 60 / Weekly 70),442,258,10.550794087419902,-14.636454552639902,2.006758820910179,42.248062015503876,5.559723411763467,-4.246804686469669,26.23107757449673,-9.562273928759524,5.559723411763469,14,2,32.9833328436098
Asym 70/65 (Monthly 70 / Weekly 65),957,429,8.468271781173776,-29.776105186580704,1.4312174973301128,36.36363636363637,2.8559799328210085,-10.448877805486259,26.06736348190638,-10.407667809513491,2.8559799328210076,17,3,53.34932896025833
Asym 65/70 (Monthly 65 / Weekly 70),423,247,8.690309625272462,-14.636454552639902,1.846173282505512,41.29554655870445,4.800509854646702,-4.75961713736565,25.36280601894271,-9.664001929892562,4.800509854646697,11,2,31.227437928750675
