Capacity (Slots),Ranking Method,Trades Taken,Ending Capital (₹),Total Return (%),CAGR (%),Max Drawdown (%)
1,Method A: Ingestion Order,86,289587.50827883504,-71.0412491721165,-13.348115064499588,-80.873420149189
1,Method B: Daily RSI Value,86,337590.3013239971,-66.24096986760028,-11.797964404549655,-83.05523100517577
1,Method C: Weekly RSI Value,86,144603.26272202824,-85.53967372779718,-20.033007633748966,-90.66949256400228
1,Method D: Monthly RSI Value,86,145753.2077056096,-85.42467922943904,-19.95974688780603,-88.73115766415364
1,Method E: Daily RSI Delta,86,83673.38129855716,-91.63266187014429,-24.933940148075063,-95.30665512687916
5,Method A: Ingestion Order,390,671421.6251634599,-32.85783748365401,-4.500860245296812,-58.91972854625842
5,Method B: Daily RSI Value,390,1006314.919144851,0.631491914485104,0.07280178926531988,-47.80331924072537
5,Method C: Weekly RSI Value,391,988285.3928903135,-1.1714607109686475,-0.13613573372922572,-51.46773928582636
5,Method D: Monthly RSI Value,390,818640.9351875521,-18.13590648124479,-2.286852951520535,-54.74396334637959
5,Method E: Daily RSI Delta,391,785083.0171666616,-21.491698283333843,-2.7585306685142807,-56.87589126574096
10,Method A: Ingestion Order,700,1262550.0394311417,26.25500394311417,2.731833786631177,-41.0190520965799
10,Method B: Daily RSI Value,700,1360367.03715167,36.03670371516701,3.6219050250670293,-40.1350695549954
10,Method C: Weekly RSI Value,700,1431422.2443409895,43.14222443409895,4.233623073902759,-42.82774598727995
10,Method D: Monthly RSI Value,698,1400971.8254683546,40.09718254683546,3.974838507814793,-42.41981253802425
10,Method E: Daily RSI Delta,700,1182976.1035837953,18.297610358379526,1.96157339050671,-45.33665806948572
15,Method A: Ingestion Order,947,1687472.0053636678,68.74720053636678,6.235612089515663,-36.08706660494638
15,Method B: Daily RSI Value,951,1645564.9771613453,64.55649771613453,5.927206329000678,-37.06389510213526
15,Method C: Weekly RSI Value,946,1743877.8780192928,74.38778780192928,6.64019554565205,-36.231567968444054
15,Method D: Monthly RSI Value,947,1685485.858347083,68.54858583470829,6.221149203107945,-35.48195488483286
15,Method E: Daily RSI Delta,951,1572464.3272240646,57.24643272240646,5.372213770249146,-39.86949745198836
20,Method A: Ingestion Order,1138,1482557.4201185412,48.255742011854124,4.657442621462726,-38.54501126231874
20,Method B: Daily RSI Value,1143,1583698.4064672627,58.36984064672627,5.4589695952196315,-37.65548487631582
20,Method C: Weekly RSI Value,1139,1527250.8036005185,52.72508036005185,5.017412490905038,-37.15081751522645
20,Method D: Monthly RSI Value,1140,1669151.3326469255,66.91513326469256,6.101628032971029,-35.14434528985976
20,Method E: Daily RSI Delta,1142,1539618.3504535265,53.96183504535264,5.115376907768288,-37.14668625474051
30,Method A: Ingestion Order,1426,1596762.248262275,59.6762248262275,5.5591740399007605,-29.715794579919617
30,Method B: Daily RSI Value,1429,1635855.5410447617,63.58555410447616,5.854761691760069,-29.256631807830274
30,Method C: Weekly RSI Value,1425,1598890.9283633062,59.889092836330626,5.575433051516998,-29.343137896681483
30,Method D: Monthly RSI Value,1427,1583615.2893796915,58.36152893796914,5.458329719939337,-29.568855450942173
30,Method E: Daily RSI Delta,1429,1691164.87664973,69.116487664973,6.262463166884746,-28.753781119213674
