Ranking Method,Positions,CAGR,CAGR_Median,CAGR_5th,CAGR_95th,Max DD,Profit Factor,Win Rate,Trades,>50% Winners,>100% Winners,Maximum Winner
Random Selection (Mean),2,6.193091964702086,5.861026372107981,-5.666550647971705,19.280197193505554,-52.73723771241369,2.1391105150598695,35.12777726519565,25.94,2.6,1.78,247.9594998398212
Random Selection (Mean),3,13.866063210234447,13.246441112776452,1.8494618082242982,26.589574769982896,-43.945234279335054,3.0002165170693718,35.65757577491131,35.86,5.18,2.94,346.2280875451545
Random Selection (Mean),5,17.14924147100754,16.207745286960716,9.08075036511741,25.368104677293548,-37.60048556021431,3.6737107552704167,38.21707659759389,53.76,9.04,5.18,444.96489978359
Random Selection (Mean),7,19.852098423286325,19.37798940054456,14.601931204254065,25.399820310139805,-38.298154576306594,4.1710767377626174,40.06805539016492,71.52,12.44,7.7,553.2435801756022
Random Selection (Mean),10,22.96562615745786,23.637102495492268,17.242225296753134,27.915111544165278,-37.66275866418112,4.215359907036941,41.72101818873714,98.1,18.38,11.58,589.0297122381373
Random Selection (Mean),15,24.340465863201793,23.91163181082998,19.253927274246323,30.53063308263125,-34.78219770202824,4.582438988661438,41.22966722089267,142.28,24.56,15.92,1186.7357966894726
