Ranking Method,IS CAGR (%),IS MaxDD (%),IS Profit Factor,IS Win Rate (%),IS Trades,OOS CAGR (%),OOS MaxDD (%),OOS Profit Factor,OOS Win Rate (%),OOS Trades,CAGR Delta (OOS - IS)
A. Highest Monthly RSI,22.661315330900567,-26.39611645350499,1.7568431512516323,28.26086956521739,786,19.01171130753081,-31.475752896791644,1.4719667212469691,27.639751552795033,644,-3.6496040233697578
B. Strongest Breakout (Entry/Res),18.051879269248094,-27.356418144508073,1.498259095566023,26.513317191283292,831,21.101292539147366,-22.012947350496294,1.5177122562923466,28.66043613707165,642,3.049413269899272
C. Highest Relative Volume,25.69641006386334,-20.408585697771382,1.897117161359105,28.02547770700637,790,20.629673346484466,-24.476323636362892,1.5171922144696197,28.930817610062892,636,-5.066736717378873
D. Distance Above Monthly EMA9,14.777855492248237,-27.86407970407983,1.4614618944724234,25.564803804994057,844,15.78719878973731,-35.77203541686708,1.3301659467590994,25.0,688,1.0093432974890728
E. Distance Above Daily EMA21,19.06133831139418,-28.67917204521942,1.5273501802895544,25.930372148859544,839,21.98943962918378,-23.484085799820605,1.53562012788538,27.11864406779661,649,2.9281013177896007
F. Combined Quantitative Tech Score,17.26371322576208,-30.55804033668475,1.5128424107906386,26.065773447015832,824,15.633591233607502,-34.20739899301698,1.3409554529703382,25.96439169139466,674,-1.6301219921545762
G. Market Cap (Large-Cap Bias),17.675778012019137,-23.725049453237784,1.5516057901106188,28.333333333333332,784,17.723063922462746,-26.955314980965994,1.4854272591367257,29.48073701842546,597,0.04728591044360897
H. Profit Growth (3Y CAGR),20.196367841544504,-27.13153096366553,1.7415705131821217,27.15894868585732,804,23.25389724172091,-20.942220169525825,1.635659557923145,28.502415458937197,621,3.0575294001764064
I. Revenue Growth (3Y CAGR),22.226349535272938,-26.397347771419255,1.8483748535186675,28.62694300518135,778,18.50341912405593,-27.300623257990686,1.4560011281457936,28.217054263565895,645,-3.722930411217007
J. ROE (High Quality Bias),21.141351618703407,-23.42148032683149,1.6685447604868877,28.09278350515464,781,16.09864251593711,-26.81369008147476,1.403307376842509,27.12680577849117,623,-5.042709102766295
K. ROCE (High Efficiency Bias),18.238608616116725,-23.685793451106775,1.6580005822841912,28.886010362694304,776,19.94876448312035,-27.03664470248875,1.5445866089566243,28.995057660626028,607,1.7101558670036248
L. Interest Coverage (Solvency),17.95115070626054,-22.69569724320652,1.6695445516563228,27.963917525773198,780,20.444540319918737,-30.665240608547357,1.5472975374783526,28.708133971291865,627,2.493389613658195
M. P/E Valuation (Lower P/E),20.150944027166595,-28.048025285757,1.6763892149983535,25.644171779141107,819,15.972425192974725,-30.941214942764173,1.3956835828176177,27.830188679245282,636,-4.17851883419187
N. Hybrid (50% Tech + 50% Fund),19.572091074826268,-23.217533097052506,1.707441029292127,27.72785622593068,784,15.026369859666344,-28.532595134612464,1.3279857289040868,25.45731707317073,656,-4.545721215159924
