symbol,sector,entry_date,exit_date,sim_entry_price,raw_entry_price,sim_exit_price,raw_exit_price,return_pct,holding_days,exit_reason,max_favorable_pct,max_adverse_pct,gap_down,strategy
ASIANPAINT,Chemicals,2019-04-12,2019-10-15,1344.512536347503,1341.1596372543672,1697.0177454119025,1701.2709227186992,26.21806785245852,121,FIXED_120D,28.06472673515464,-9.555049354110855,False,Fixed 120D Benchmark
CANTABIL,Retailing,2019-05-03,2019-10-31,51.560024114415064,51.43144550066341,40.95647614851278,41.0591239584088,-20.565444155674406,121,FIXED_120D,5.683325775553897,-39.19406773630343,False,Fixed 120D Benchmark
BATAINDIA,Footwear,2019-05-10,2019-11-07,1216.081754671056,1213.0491318414524,1523.207658585835,1527.0252216399347,25.255366486265146,121,FIXED_120D,33.930884027304494,-7.680725540166175,False,Fixed 120D Benchmark
HAVELLS,Capital Goods,2019-05-10,2019-11-07,699.9479012919053,698.2023953036462,662.4494250352162,664.1096992834248,-5.357323907604767,121,FIXED_120D,9.775500906199168,-14.76016876196049,False,Fixed 120D Benchmark
DIVISLAB,Healthcare,2019-05-13,2019-11-08,1572.154170032027,1568.23358606686,1639.4440179024975,1643.5529001528796,4.280104912936101,121,FIXED_120D,8.780303909226445,-10.361190837705278,False,Fixed 120D Benchmark
MUTHOOTFIN,Finance,2019-05-13,2019-11-08,510.7882130162825,509.5144269489102,608.143752833129,609.6679226397283,19.05986421298706,121,FIXED_120D,25.902255945924583,-4.914153537638584,False,Fixed 120D Benchmark
SEAMECLTD,Logistics,2019-05-13,2019-11-08,422.88563520968705,421.83105756577265,459.64097664529476,460.792959042902,8.691555913783318,121,FIXED_120D,19.402271681038304,-33.60396015842854,False,Fixed 120D Benchmark
PRESTIGE,Real Estate,2019-05-15,2019-11-13,240.9058474878859,240.30508477594603,302.4648075405765,303.2228647023323,25.55311989916979,121,FIXED_120D,33.1677175367313,-1.904749301945811,False,Fixed 120D Benchmark
SUVEN,Healthcare,2019-05-17,2019-11-15,11.868521718978881,11.838924407958984,15.011306891441347,15.048929214477539,26.48000523466083,121,FIXED_120D,31.33215917625986,-14.26329376836433,False,Fixed 120D Benchmark
IPCALAB,Healthcare,2019-05-20,2019-11-18,452.97806425965035,451.84844315177094,542.0816371590595,543.4402377534431,19.67061540718102,121,FIXED_120D,26.83950349227095,-8.891073617474412,False,Fixed 120D Benchmark
PGHH,FMCG,2019-06-20,2019-12-18,9539.985583434533,9516.195095695295,10259.334374741069,10285.046992221623,7.5403551191485185,121,FIXED_120D,20.855986948756872,-7.9964401460070595,False,Fixed 120D Benchmark
BALRAMCHIN,Agri,2019-06-21,2019-12-19,132.36865832561384,132.03856192081182,164.68457418793662,165.09731748164072,24.413570607347864,121,FIXED_120D,28.35612397747803,-22.3049610018313,False,Fixed 120D Benchmark
HEIDELBERG,Cement & Cement Products,2019-06-24,2019-12-20,149.15823068456285,148.78626502200785,140.4233004248148,140.7752385211176,-5.856150357683254,121,FIXED_120D,11.52318956670157,-6.361061050007569,False,Fixed 120D Benchmark
TRIVENI,Agri,2019-06-24,2019-12-20,62.88908817157098,62.73225752775161,61.882206965217904,62.03730021575729,-1.6010427812312267,121,FIXED_120D,5.465314316746228,-29.246670463181374,False,Fixed 120D Benchmark
HONAUT,Consumer Durables,2019-06-27,2019-12-26,24167.253847446424,24106.986381492694,25959.74175520848,26024.80376462003,7.4170111303376585,121,FIXED_120D,20.360839549972958,-10.398235196716264,False,Fixed 120D Benchmark
EQ30,Unclassified,2019-11-14,2020-05-13,348.4690061187744,347.6000061035156,275.31,276.0,-20.994408350290534,121,FIXED_120D,1.3693841094552077,-31.53049602389151,False,Fixed 120D Benchmark
ATUL,Chemicals,2019-11-18,2020-05-15,3957.15917721823,3947.290949843621,4509.778135846251,4521.080837941103,13.965042442808581,121,FIXED_120D,34.56406167011081,-27.4858203171447,False,Fixed 120D Benchmark
DMART,Retailing,2019-11-20,2020-05-19,1845.6025,1841.0,2336.0950762939456,2341.949951171875,26.57628477930354,121,FIXED_120D,39.05486148832156,-7.658881042911461,False,Fixed 120D Benchmark
