date,cash_fno_10_slot,cash_fno_15_slot,hybrid_10_slot,cash_broad_10_slot
2018-01-01,10000000.0,10000000.0,10002380.952380951,10000000.0
2018-01-02,10000000.0,10000000.0,10004762.471655328,10000000.0
2018-01-03,10000000.0,10000000.0,10007144.557958104,10000000.0
2018-01-04,10000000.0,10000000.0,10009527.211424284,10000000.0
2018-01-05,10000000.0,10000000.0,10011910.432188908,10000000.0
2018-01-08,10000000.0,10000000.0,10014294.220387047,10000000.0
2018-01-09,10000000.0,10000000.0,10016678.576153805,10000000.0
2018-01-10,10000000.0,10000000.0,10019063.499624318,10000000.0
2018-01-11,10000000.0,10000000.0,10021448.990933752,10000000.0
2018-01-12,10000000.0,10000000.0,10023835.050217308,10000000.0
2018-01-15,10000000.0,10000000.0,10026221.677610217,10000000.0
2018-01-16,10000000.0,10000000.0,10028608.873247743,10000000.0
2018-01-17,10000000.0,10000000.0,10030996.637265183,10000000.0
2018-01-18,10000000.0,10000000.0,10033384.969797865,10000000.0
2018-01-19,10000000.0,10000000.0,10035773.87098115,10000000.0
2018-01-22,10000000.0,10000000.0,10038163.340950431,10000000.0
2018-01-23,10000000.0,10000000.0,10040553.379841134,10000000.0
2018-01-24,10000000.0,10000000.0,10042943.987788714,10000000.0
2018-01-25,10000000.0,10000000.0,10045335.164928664,10000000.0
2018-01-29,10000000.0,10000000.0,10047726.911396503,10000000.0
2018-01-30,10000000.0,10000000.0,10050119.227327788,10000000.0
2018-01-31,10000000.0,10000000.0,10052512.112858104,10000000.0
2018-02-01,10000000.0,10000000.0,10054905.56812307,10000000.0
2018-02-02,10000000.0,10000000.0,10057299.593258338,10000000.0
2018-02-05,10000000.0,10000000.0,10059694.18839959,10000000.0
2018-02-06,10000000.0,10000000.0,10062089.353682542,10000000.0
2018-02-07,10000000.0,10000000.0,10064485.089242943,10000000.0
2018-02-08,10000000.0,10000000.0,10066881.395216571,10000000.0
2018-02-09,10000000.0,10000000.0,10069278.271739243,10000000.0
2018-02-12,10000000.0,10000000.0,10071675.7189468,10000000.0
2018-02-14,10000000.0,10000000.0,10074073.73697512,10000000.0
2018-02-15,10000000.0,10000000.0,10076472.325960115,10000000.0
2018-02-16,10000000.0,10000000.0,10078871.486037724,10000000.0
2018-02-19,10000000.0,10000000.0,10081271.217343923,10000000.0
2018-02-20,10000000.0,10000000.0,10083671.520014718,10000000.0
2018-02-21,10000000.0,10000000.0,10086072.39418615,10000000.0
2018-02-22,10000000.0,10000000.0,10088473.839994289,10000000.0
2018-02-23,10000000.0,10000000.0,10090875.85757524,10000000.0
2018-02-26,10000000.0,10000000.0,10093278.44706514,10000000.0
2018-02-27,10000000.0,10000000.0,10095681.608600155,10000000.0
2018-02-28,10000000.0,10000000.0,10098085.342316488,10000000.0
2018-03-01,10000000.0,10000000.0,10100489.648350373,10000000.0
2018-03-05,10000000.0,10000000.0,10102894.526838075,10000000.0
2018-03-06,10000000.0,10000000.0,10105299.977915894,10000000.0
2018-03-07,10000000.0,10000000.0,10107706.00172016,10000000.0
