Strategy,CAGR,MaxDD,ProfitFactor,WinRate,Trades,AvgTrade,MedianTrade,Expectancy,AvgHoldDays,Turnover,W50,W100,W200,MaxWinner
Weekly RSI < 55,20.68981383248767,-28.936517849327593,2.4386019873477554,30.916844349680172,469,7.378746993226245,-3.2594904783869705,7.378746993226246,41.695095948827294,110.55940130963518,30,12,4,1465.8324884313088
Weekly RSI < 50,19.789333972022693,-38.35136332455313,3.1280708383582887,34.34343434343434,297,14.85336396997252,-3.8429595605726794,14.853363969972516,75.86868686868686,70.0130963517306,30,12,7,1465.8324884313088
Weekly RSI < 45,14.263538152625376,-34.1529876931957,2.613106135254407,36.55913978494624,186,13.148349450642367,-5.544455073177371,13.148349450642371,129.82258064516128,43.8465855940131,28,12,4,247.7221368193343
Weekly RSI < 40,14.824217595454602,-37.19734369353542,3.0270076196748383,42.27642276422765,123,19.68833895557233,-5.692077599994066,19.688338955572338,202.3089430894309,28.99532273152479,19,8,2,762.4546583152915
