Test_Label,Sector_Filter,Sector_Cap,CAGR,MaxDD,ProfitFactor,WinRate,NumTrades,AvgTrade,AvgExposure
No Sector Preference,none,None,-0.16133726321977404,-38.80874712609923,1.0097096137798294,40.382165605095544,1570,0.03002697374836653,48.3563539865695
Sector Momentum Ranking,none,None,1.1471929552903548,-39.02975995189787,1.0488612294027506,40.76354679802955,1624,0.14673303316524502,47.87274116839777
Top 2 Sectors Only,top2,None,1.701042299037847,-5.563873314683973,3.3959691183092167,37.5,32,6.953739821602226,1.5758568177862387
Top 3 Sectors Only,top3,None,1.714410499028629,-5.552552938755045,2.3875517671361703,40.74074074074074,54,4.181382344265931,2.1323281117814967
Top 5 Sectors Only,top5,None,2.1031258429960564,-4.429520998120852,1.7549071391838909,44.3609022556391,133,2.0935947215508985,4.709634950080429
Sector Cap 20%,none,0.2,-0.15760592917613003,-37.72339306756744,1.008897967766016,40.22020725388601,1544,0.02760362606779859,47.78039331310827
Sector Cap 25%,none,0.25,-0.04325215485833089,-38.21554326426164,1.0118067694757478,40.447284345047926,1565,0.03645737627847814,48.376343225079275
Sector Cap 33%,none,0.33,-0.11923468092144285,-38.80874712609923,1.0108492527324793,40.40790312300829,1569,0.03353484018246149,48.35110736937263
Top 3 Sectors + 25% Cap,top3,0.25,1.8037800014386374,-5.552552938754971,2.5597604419818736,42.30769230769231,52,4.55273610602026,2.129114959754029
