Strategy,Total Trades,Rejected %,Win Rate (%),Avg Return (%),Median Return (%),Avg Win (%),Avg Loss (%),Profit Factor,Ending Equity (INR),Total Return (%),CAGR (%),Max Drawdown (%),Avg Exposure (%),Portfolio Trades Taken,Avg Holding Days,Max Cons Wins,Max Cons Losses,Expectancy (%)
1. Technical Only (Baseline),4798,0.0,30.596081700708627,2.3520335378208586,-2.9999999999999996,15.49852708187984,-3.443477730250789,1.984152140886025,4277918.052638473,327.79180526384727,18.31249597417095,-17.6930541552251,43.00720677138688,1335,12.730304293455607,10,32,2.352033537820858
2. Technical + ROE > 15%,1932,59.73322217590663,31.62525879917184,2.5387393460664396,-2.999999999999999,15.214821271883123,-3.324308387978976,2.1169175446321566,3373559.3059791876,237.35593059791876,15.105832338966362,-10.278031397756703,37.92774814898208,1104,12.590062111801242,8,27,2.5387393460664387
3. Technical + ROE > 20%,1051,78.09503959983326,31.874405328258803,3.127131995812103,-2.9999999999999987,16.98955958740864,-3.358780355004715,2.3666405493789506,3409941.2492150394,240.99412492150395,15.248770658861389,-10.347199906203587,28.68440307508631,786,13.101807802093244,7,25,3.127131995812101
4. Technical + ROCE > 15%,2304,51.97999166319299,31.68402777777778,2.665788110677663,-2.999999999999999,15.640738066922685,-3.3518189211259375,2.164187213892804,3702306.839511239,270.23068395112386,16.350853854934442,-10.546379220995448,36.95909504333151,1189,12.467447916666666,8,36,2.6657881106776626
5. Technical + ROCE > 20%,1622,66.194247603168,31.56596794081381,2.5150804347711313,-2.999999999999999,15.288089798225915,-3.3766139743179204,2.08842456858859,3525298.4544735523,252.52984544735523,15.693239535227965,-9.459654534298192,34.15515719801439,1003,12.588779284833539,7,26,2.5150804347711326
6. Technical + Profit CAGR 3Y > 15%,2398,50.02084201750729,30.108423686405338,2.456158507327261,-2.9999999999999996,16.110812777007798,-3.4260970909480073,2.025727239140605,3743643.4639628185,274.36434639628186,16.500413190165,-16.82800113725871,38.38898918170691,1220,11.44954128440367,9,38,2.45615850732726
7. Technical + Profit CAGR 3Y > 25%,1754,63.443101292205085,29.760547320410492,2.5908242974752445,-3.0,16.954498402720546,-3.495083075039405,2.055356865009796,3644989.187287884,264.49891872878834,16.141011596252277,-20.16852029386359,35.67832078186042,1044,11.264538198403649,8,35,2.5908242974752436
8. Technical + Sales CAGR 3Y > 10%,2372,50.56273447269696,31.618887015177066,2.6620914033488554,-2.999999999999999,15.75842954501042,-3.393552003707972,2.147181907373358,3997465.863679227,299.7465863679227,17.387987447366605,-18.266603731679613,37.32718282417924,1177,12.035413153456998,9,41,2.662091403348856
9. Technical + Sales CAGR 3Y > 15%,1594,66.77782409337225,30.92848180677541,2.39374633025622,-2.999999999999999,15.473735337535517,-3.463142480451041,2.0007112080881795,3267264.919921547,226.72649199215473,14.68026887229259,-15.059655499021776,32.341255716330295,958,11.71267252195734,7,43,2.39374633025622
10. Technical + Interest Coverage > 3,3357,30.03334722801167,30.77152219243372,2.359702477327182,-2.9999999999999996,15.31303821448293,-3.397954930797554,2.0031245326652574,4409468.918322099,340.94689183220993,18.727808601979046,-15.279845502168163,41.19844960370146,1330,11.890080428954423,8,43,2.359702477327182
11. Technical + P/E < 50,2806,41.51729887453106,31.04062722736992,2.9606501761201516,-2.9999999999999996,17.152123548598464,-3.4273463651866236,2.2526674607289343,4317865.60079816,331.786560079816,18.439792797614828,-21.8058526109281,42.28496098939101,1274,12.09016393442623,10,34,2.960650176120151
12. Technical + PEG < 1.5,1847,61.50479366402668,30.481862479696805,3.051709440240536,-2.9999999999999996,17.894737811793696,-3.456565460993445,2.2699898991697145,4028359.9237684654,302.83599237684655,17.49259188931469,-19.690842484629314,35.90669967591854,1087,11.719545208446128,7,26,3.0517094402405336
13. Combo A (ROCE>20 & ROE>20),967,79.84576907044601,31.954498448810753,3.0110432311273203,-2.9999999999999987,16.560851835186803,-3.352012785064748,2.320115423053367,3116528.945172229,211.65289451722288,14.05528755904555,-10.116150129586945,27.76125628128405,741,13.118924508790073,10,25,3.0110432311273194
14. Combo B (Combo A + Profit>25),549,88.5577323884952,30.601092896174865,3.407507977992303,-2.9999999999999996,19.177966702350666,-3.54639508156729,2.3845133065988273,2886071.514260143,188.6071514260143,13.04604104060929,-7.193668200078325,18.73346872522104,506,12.17304189435337,8,18,3.407507977992303
15. Combo C (Combo A + Sales>15),456,90.49604001667362,30.92105263157895,3.2353799812151274,-2.999999999999999,18.323049003617836,-3.518148057384182,2.3312679315078992,2410669.3234596965,141.06693234596966,10.716289233223764,-8.78123427856892,16.594792074672625,420,12.385964912280702,6,21,3.2353799812151265
16. Combo D (Combo A + Both Growth),361,92.47603167986661,29.916897506925206,3.4479415075947757,-3.0,19.966624611656194,-3.603512149474922,2.3652763893159716,2276769.002082282,127.67690020822822,9.986686465881146,-8.766042030471905,13.671574787294038,344,11.97229916897507,5,16,3.4479415075947744
17. Combo E (Combo A + IntCov>3 + PE<50),688,85.66069195498123,32.412790697674424,3.3941601735436975,-2.999999999999999,17.623796908689524,-3.429945185461722,2.464133369912897,2908285.017330225,190.8285017330225,13.14636567862275,-8.355318843472826,23.45632664033085,584,13.238372093023257,8,19,3.3941601735436975
18. Combo F (Full Fundamental Screen),369,92.30929553980826,30.89430894308943,3.5347914456202245,-2.999999999999999,19.441257625514286,-3.576334611273594,2.430249600973291,2260025.3362746495,126.00253362746494,9.892799834568077,-6.9647358859531705,15.682326184715944,358,12.577235772357724,8,14,3.5347914456202227
