ticker,entry_date,exit_date,return_pct,pnl_usd,holding_days,exit_reason
SMCI,2023-01-13,2024-09-03,447.1548249902044,660611.5760708636,410,MONTHLY_EMA_BREAK
SFM,2023-11-03,2025-10-01,156.83453248866513,250557.20790177863,477,MONTHLY_EMA_BREAK
SNAP,2020-08-05,2021-11-01,148.25873502873256,194968.81581560403,313,MONTHLY_EMA_BREAK
PBT,2022-03-17,2023-09-01,71.43584436536298,104805.8470626706,367,MONTHLY_EMA_BREAK
HYFT,2020-07-09,2021-06-01,48.634471049863265,58273.57001830014,225,MONTHLY_EMA_BREAK
OLLI,2024-09-03,2026-01-02,24.814716825846958,53571.23514463081,334,MONTHLY_EMA_BREAK
VIST,2023-11-03,2025-05-01,58.064232348173995,53478.66627196656,372,MONTHLY_EMA_BREAK
TDW,2023-05-05,2024-10-01,69.39922751410637,48642.022434327984,353,MONTHLY_EMA_BREAK
BIO,2020-06-26,2022-02-01,40.714710574870864,45690.44346057792,403,MONTHLY_EMA_BREAK
KOF,2023-01-05,2024-07-01,30.681147327062273,42154.52945161766,372,MONTHLY_EMA_BREAK
CROX,2018-05-09,2019-06-03,23.68617548467716,24583.371066000553,267,MONTHLY_EMA_BREAK
RMBS,2023-04-27,2024-05-01,17.27468503094958,23562.68967244506,254,MONTHLY_EMA_BREAK
FLUT,2020-07-15,2021-08-02,16.433566433566448,20445.690726194534,264,MONTHLY_EMA_BREAK
EXR,2019-02-25,2020-03-02,16.357064336476864,17789.463685811163,256,MONTHLY_EMA_BREAK
ANET,2021-09-03,2022-06-01,11.772265558354764,17406.40787977136,186,MONTHLY_EMA_BREAK
RDVT,2019-08-30,2020-08-03,15.709303009807012,17120.013936525134,232,MONTHLY_EMA_BREAK
MOS,2021-11-04,2023-01-03,11.014496489408906,16845.806219567574,291,MONTHLY_EMA_BREAK
PRTS,2020-11-16,2021-12-01,12.458676470816489,14061.670858819729,262,MONTHLY_EMA_BREAK
BTCT,2020-03-23,2020-05-01,12.724665791851782,12066.304808685438,28,MONTHLY_EMA_BREAK
FFC,2019-06-24,2020-03-02,10.069667392572402,11056.610006158826,173,MONTHLY_EMA_BREAK
AEYE,2020-08-07,2021-06-01,29.087775510317147,10881.96819795522,204,MONTHLY_EMA_BREAK
KTB,2024-03-01,2025-03-03,9.668113357007892,10575.423839388332,250,MONTHLY_EMA_BREAK
EZPW,2025-05-09,2025-08-07,2.7592325214090323,6839.677379613,61,DEAD_MONEY_EVICTION
EMO,2026-04-10,2026-07-08,2.4538902622531227,6428.377329613139,60,DEAD_MONEY_EVICTION
NEU,2025-08-01,2025-12-22,2.446039325573595,5978.571151697904,99,DEAD_MONEY_EVICTION
KR,2025-05-16,2025-08-13,1.9455065909985236,4906.411473483998,60,DEAD_MONEY_EVICTION
UTG,2025-09-10,2025-12-04,1.745460946078042,4374.740119644511,60,DEAD_MONEY_EVICTION
PPC,2024-12-11,2025-03-12,2.0361683175806737,4327.101394570725,60,DEAD_MONEY_EVICTION
OMCL,2021-08-02,2022-01-20,2.8085336171336572,4060.310068157717,119,DEAD_MONEY_EVICTION
FOUR,2023-04-21,2023-07-21,2.78521893467871,4017.2448642343966,62,DEAD_MONEY_EVICTION
AAP,2021-06-01,2021-09-03,2.778028989895348,4004.5542696197163,67,DEAD_MONEY_EVICTION
AEYE,2024-07-01,2024-12-11,2.0857009551341124,3737.3953359548036,114,DEAD_MONEY_EVICTION
