Ranking Method,Positions,Max Single Stock Exp %,Max Sector Exp %,Min Positions,Avg Positions,Max Positions,Worst 1D Loss %,Worst 5D Loss %,Worst 20D Loss %,Max DD Duration (Days),Max Losing Streak
Monthly RSI,2,71.36486492506472,100.0,0,1.5748362956033677,2,-14.718695856710129,-22.154121093431222,-40.10131904083097,1612,7
Monthly RSI,3,64.52191619976458,75.92003029956483,0,2.3479887745556596,3,-16.091415272022225,-21.667862046631157,-39.23155741470927,1303,10
Monthly RSI,5,77.40224976911323,77.40224976911323,0,3.931244153414406,5,-12.49068056647179,-16.819126541723083,-44.90708025224129,462,10
Monthly RSI,7,73.35427167175806,75.52934271585119,0,5.435921421889616,7,-12.203869570251168,-16.089398892646123,-42.840045265354945,424,8
Monthly RSI,10,65.89001785676763,72.6181481262073,0,7.502806361085126,10,-10.351669284757515,-15.275773737935062,-38.71519217955377,397,7
Monthly RSI,15,54.94893250142178,62.15498204932112,0,11.186155285313378,15,-10.881197180469727,-16.441094903127418,-32.71460744400344,284,10
Weekly RSI,2,72.02634226563156,100.0,0,1.5757717492984098,2,-12.138388761132845,-22.154121093431222,-40.10131904083097,1145,6
Weekly RSI,3,69.19063816819796,70.05133935133976,0,2.362020579981291,3,-12.69316327235408,-21.667862046631157,-39.23155741470927,608,6
Weekly RSI,5,48.97720315249991,59.77604429532063,0,3.8512628624883067,5,-12.49068056647179,-16.597437228068223,-29.781740907129382,598,9
Weekly RSI,7,36.84760934507932,61.51418893435697,0,5.345650140318054,7,-12.203869570251168,-16.089398892646123,-29.737646378802662,573,7
Weekly RSI,10,42.1128395927205,68.34908849270207,0,7.306828811973808,10,-9.834663086763939,-16.736359051223914,-31.953924078035534,221,8
Weekly RSI,15,50.68097358430145,58.572040522426626,0,10.847053320860617,15,-10.859688840123328,-16.511867111548295,-32.6610871017892,333,12
3M Return,2,94.73051195256186,100.0,0,1.5832553788587465,2,-12.138388761132845,-22.154121093431222,-54.91522945684313,878,5
3M Return,3,89.40020403891589,89.40020403891589,0,2.3283442469597757,3,-12.69316327235408,-21.667862046631157,-51.78580535898677,579,6
3M Return,5,56.257416168240795,61.43896923491151,0,3.974275023386342,5,-12.49068056647179,-16.597437228068223,-29.781740907129382,271,9
3M Return,7,46.667463920819586,63.724124127001836,0,5.341908325537886,7,-12.203869570251168,-16.089398892646123,-29.737646378802662,320,7
3M Return,10,62.738977236239144,72.571395466783,0,7.278297474275023,10,-9.834663086763939,-16.736359051223914,-35.25462806583338,245,9
3M Return,15,52.19221191643905,62.26880037632133,0,10.735734331150608,15,-10.877651468633488,-16.511867111548295,-32.6610871017892,202,12
6M Return,2,94.73051195256186,100.0,0,1.5827876520112254,2,-12.138388761132845,-22.154121093431222,-54.91522945684313,878,5
6M Return,3,81.26218854098279,81.26218854098279,0,2.3666978484565013,3,-12.69316327235408,-21.667862046631157,-47.13603869919968,647,6
6M Return,5,78.77703728818474,82.32379254728994,0,3.9172123479887744,5,-12.49068056647179,-17.181883810043384,-45.85898300421894,453,9
6M Return,7,71.88632468069748,77.20144949099169,0,5.4181478016838165,7,-12.203869570251168,-16.089398892646123,-42.07886385191819,424,7
6M Return,10,59.52363881936239,72.571395466783,0,7.340505144995323,10,-9.834663086763939,-16.736359051223914,-39.10194677629206,424,7
6M Return,15,50.61756825307542,62.26880037632133,0,10.74041159962582,15,-10.859688840123328,-16.511867111548295,-33.88152472056035,235,10
12M Return,2,77.08686112037869,100.0,0,1.5706267539756782,2,-12.138388761132845,-22.154121093431222,-40.10131904083097,1612,7
12M Return,3,64.52191619976458,75.92003029956483,0,2.341440598690365,3,-12.69316327235408,-21.667862046631157,-39.23155741470927,1303,10
12M Return,5,48.892689484703716,77.09576811479673,0,3.927970065481759,5,-12.49068056647179,-16.597437228068223,-29.781740907129382,630,10
12M Return,7,36.24260308558302,63.724124127001836,0,5.4911131898971,7,-12.203869570251168,-16.089398892646123,-29.737646378802662,313,6
12M Return,10,55.96565960431141,72.571395466783,0,7.444340505144996,10,-9.83466308676395,-16.736359051223914,-38.09462526217066,361,8
12M Return,15,50.76940615780693,62.26880037632133,0,11.002806361085126,15,-10.859688840123328,-16.511867111548305,-34.65479514530501,297,10
Relative Volume,2,77.83012516164177,77.83012516164177,0,1.6103835360149672,2,-15.332230988619555,-22.154121093431222,-40.10131904083097,1432,6
Relative Volume,3,68.61681438654514,68.61681438654514,0,2.3886810102899907,3,-12.69316327235408,-21.667862046631157,-39.23155741470927,630,6
Relative Volume,5,52.82858650500025,83.37246954963403,0,3.898971000935454,5,-10.666008759756851,-13.708468834196841,-27.862638768310376,463,8
Relative Volume,7,45.781589815102755,61.51418893435697,0,5.471000935453695,7,-12.203869570251168,-16.089398892646123,-29.737646378802662,463,7
Relative Volume,10,61.588206479470806,68.37610354799317,0,7.608512628624883,10,-10.351669284757502,-15.123743311187932,-35.169389797428884,463,7
Relative Volume,15,51.85075358078867,58.512261353525005,0,10.840972871842844,15,-10.881197180469727,-16.441094903127418,-32.5566897712693,266,10
Composite Momentum,2,71.36486492506472,100.0,0,1.5748362956033677,2,-14.718695856710129,-22.154121093431222,-40.10131904083097,1612,7
Composite Momentum,3,64.52191619976458,76.7860498183076,0,2.3587464920486436,3,-12.69316327235408,-21.667862046631157,-39.23155741470927,636,8
Composite Momentum,5,48.892689484703716,77.4606355800146,0,3.962114125350795,5,-12.49068056647179,-16.597437228068223,-29.781740907129382,586,9
Composite Momentum,7,53.986570578086,63.724124127001836,0,5.467726847521048,7,-12.203869570251168,-16.089398892646123,-32.95806743871108,463,7
Composite Momentum,10,60.323289870203546,72.571395466783,0,7.500935453695042,10,-9.834663086763939,-16.736359051223914,-40.00433077893636,424,9
Composite Momentum,15,51.52905041341509,62.26880037632133,0,10.937324602432179,15,-10.859688840123328,-16.511867111548295,-34.649791604649074,258,10
