symbol,sector,status,signal_date,entry_date,raw_entry_price,sim_entry_price,shares,capital_allocated,daily_rsi_entry,weekly_rsi_entry,monthly_rsi_entry,exit_date,raw_exit_price,sim_exit_price,pnl_pct,pnl_inr,holding_days,exit_reason,month_end_checks
LUMAXIND,Automobile & Ancillaries,CLOSED,2026-01-02,2026-01-05,5370.071455650573,5383.496634289699,1.8575287920319106,10000.0,47.95769196779684,61.11961404894178,75.57828292229517,2026-04-01,4853.3203436069425,4841.187042747925,-10.073556804839093,-1007.3556804839093,58,Monthly Close < Monthly EMA9,"[{'date': '2026-01-30', 'm_close': 4820.83154296875, 'm_ema9': 4457.446978109798, 'breached': False}, {'date': '2026-02-27', 'm_close': 5988.54833984375, 'm_ema9': 4763.667250456589, 'breached': False}, {'date': '2026-03-30', 'm_close': 4609.85205078125, 'm_ema9': 4732.904210521521, 'breached': True}]"
IOC,Oil & Gas,CLOSED,2026-01-09,2026-01-12,153.67553378036777,154.0597226148187,65.09553894358315,10028.600673110548,41.358087170161696,67.08835827868558,66.06494123736393,2026-04-01,138.7632466007821,138.41633848428017,-10.154103788470547,-1018.314520878901,53,Monthly Close < Monthly EMA9,"[{'date': '2026-01-30', 'm_close': 159.78341674804688, 'm_ema9': 148.31429210518888, 'breached': False}, {'date': '2026-02-27', 'm_close': 183.50033569335938, 'm_ema9': 155.351500822823, 'breached': False}, {'date': '2026-03-30', 'm_close': 134.20387268066406, 'm_ema9': 151.1219751943912, 'breached': True}]"
CUB,Banks,CLOSED,2026-01-13,2026-01-14,204.33566764293485,204.84650681204218,48.980201090551915,10033.423096350938,48.241934778788035,71.36346673297207,75.84897254622777,2026-04-01,185.75970347730802,185.29530421861477,-9.544318278937848,-957.6218345881944,51,Monthly Close < Monthly EMA9,"[{'date': '2026-01-30', 'm_close': 224.2119598388672, 'm_ema9': 181.32825831495896, 'breached': False}, {'date': '2026-02-27', 'm_close': 210.317138671875, 'm_ema9': 187.12603438634218, 'breached': False}, {'date': '2026-03-30', 'm_close': 178.21786499023438, 'm_ema9': 185.34440050712064, 'breached': True}]"
3MINDIA,Diversified,CLOSED,2026-01-21,2026-01-22,33672.346948746315,33756.52781611818,0.2959030739139512,9988.660345451168,43.483457311030705,60.29231653327754,60.43365044806563,2026-04-01,30123.738082582073,30048.42873737562,-10.984835581851527,-1097.2379157774135,45,Monthly Close < Monthly EMA9,"[{'date': '2026-01-30', 'm_close': 33899.0625, 'm_ema9': 31751.700838078283, 'breached': False}, {'date': '2026-02-27', 'm_close': 36969.59375, 'm_ema9': 32795.279420462626, 'breached': False}, {'date': '2026-03-30', 'm_close': 29690.01953125, 'm_ema9': 32174.227442620104, 'breached': True}]"
BANKBARODA,Banks,CLOSED,2026-02-03,2026-02-04,277.03943550928153,277.7320340980547,36.50951407689871,10139.861608508641,40.974859371141946,62.7829012944939,69.68241122770618,2026-04-01,245.07335376960447,244.46067038518046,-11.979663714675288,-1214.7213218327997,37,Monthly Close < Monthly EMA9,"[{'date': '2026-02-27', 'm_close': 311.86309814453125, 'm_ema9': 272.14241869283074, 'breached': False}, {'date': '2026-03-30', 'm_close': 239.84254455566406, 'm_ema9': 265.68244386539743, 'breached': True}]"
MUTHOOTFIN,Finance,CLOSED,2026-02-06,2026-02-09,3691.1890413528818,3700.417013956264,2.7315318582407717,10107.80696239772,45.86584677269522,70.23849003484014,86.66905126118647,2026-04-01,3251.5068609814093,3243.378093828956,-12.35101120775221,-1248.4163707837008,34,Monthly Close < Monthly EMA9,"[{'date': '2026-02-27', 'm_close': 3325.38232421875, 'm_ema9': 3206.885788107456, 'breached': False}, {'date': '2026-03-30', 'm_close': 3133.60400390625, 'm_ema9': 3192.229431267215, 'breached': True}]"
FEDERALBNK,Banks,ACTIVE,2026-01-16,2026-01-19,270.52580014523227,271.2021146455953,36.83104840207472,9988.65821125694,63.3351425010385,65.22517687103772,76.25208409673095,"CURRENT (Aug 24, 2026)",357.75,357.75,31.912688242680094,3187.6493545852927,149,Still Above Monthly EMA9 (Holding),"[{'date': '2026-01-30', 'm_close': 286.7702941894531, 'm_ema9': 236.5897604444752, 'breached': False}, {'date': '2026-02-27', 'm_close': 298.8291015625, 'm_ema9': 249.03762866808017, 'breached': False}, {'date': '2026-03-30', 'm_close': 258.5168151855469, 'm_ema9': 250.93346597157353, 'breached': False}, {'date': '2026-04-30', 'm_close': 285.9730224609375, 'm_ema9': 257.9413772694463, 'breached': False}, {'date': '2026-05-29', 'm_close': 287.9662170410156, 'm_ema9': 263.9463452237602, 'breached': False}, {'date': '2026-06-30', 'm_close': 328.92626953125, 'm_ema9': 276.94233008525816, 'breached': False}, {'date': '2026-07-31', 'm_close': 357.6282043457031, 'm_ema9': 293.07950493734717, 'breached': False}, {'date': '2026-08-24', 'm_close': 357.75, 'm_ema9': 306.01360394987773, 'breached': False}]"
RBLBANK,Banks,ACTIVE,2026-01-21,2026-01-22,300.07310560617,300.82328837018537,33.204411797930284,9988.660345451168,42.610698073533584,66.49234085133651,66.94603795693388,"CURRENT (Aug 24, 2026)",388.0,388.0,28.979375932669555,2894.651432145783,146,Still Above Monthly EMA9 (Holding),"[{'date': '2026-01-30', 'm_close': 297.9785461425781, 'm_ema9': 279.01363040638626, 'breached': False}, {'date': '2026-02-27', 'm_close': 318.92431640625, 'm_ema9': 286.99576760635904, 'breached': False}, {'date': '2026-03-30', 'm_close': 289.00177001953125, 'm_ema9': 287.3969680889935, 'breached': False}, {'date': '2026-04-30', 'm_close': 335.680908203125, 'm_ema9': 297.05375611181984, 'breached': False}, {'date': '2026-05-29', 'm_close': 344.1091003417969, 'm_ema9': 306.46482495781527, 'breached': False}, {'date': '2026-06-30', 'm_close': 368.09698486328125, 'm_ema9': 318.7912569389085, 'breached': False}, {'date': '2026-07-31', 'm_close': 374.53033447265625, 'm_ema9': 329.93907244565804, 'breached': False}, {'date': '2026-08-24', 'm_close': 388.0, 'm_ema9': 341.55125795652646, 'breached': False}]"
MAHASTEEL,Metals & Mining,ACTIVE,2026-01-21,2026-01-22,815.0999755859375,817.1377255249023,12.223961804033442,9988.660345451168,40.47650010684129,63.076217810992226,93.73527994269573,"CURRENT (Aug 24, 2026)",1175.699951171875,1175.699951171875,43.88026821508506,4383.050950677814,145,Still Above Monthly EMA9 (Holding),"[{'date': '2026-01-30', 'm_close': 761.0999755859375, 'm_ema9': 598.2709974359777, 'breached': False}, {'date': '2026-02-27', 'm_close': 758.4500122070312, 'm_ema9': 630.3068003901884, 'breached': False}, {'date': '2026-03-30', 'm_close': 949.75, 'm_ema9': 694.1954403121508, 'breached': False}, {'date': '2026-04-30', 'm_close': 848.7000122070312, 'm_ema9': 725.096354691127, 'breached': False}, {'date': '2026-05-29', 'm_close': 946.3499755859375, 'm_ema9': 769.3470788700891, 'breached': False}, {'date': '2026-06-30', 'm_close': 799.0999755859375, 'm_ema9': 775.2976582132588, 'breached': False}, {'date': '2026-07-31', 'm_close': 1001.25, 'm_ema9': 820.4881265706072, 'breached': False}, {'date': '2026-08-24', 'm_close': 1175.699951171875, 'm_ema9': 891.5304914908608, 'breached': False}]"
THANGAMAYL,Diamond  &  Jewellery,ACTIVE,2026-02-06,2026-02-09,3299.769965896007,3308.0193908107467,2.9430505876314252,9735.668412021718,48.67757273558184,60.815444899146286,75.82004556846064,"CURRENT (Aug 24, 2026)",5493.5,5493.5,66.06613659098366,6431.979991131517,135,Still Above Monthly EMA9 (Holding),"[{'date': '2026-02-27', 'm_close': 3948.15625, 'm_ema9': 2888.7281634896276, 'breached': False}, {'date': '2026-03-30', 'm_close': 3416.34375, 'm_ema9': 2994.2512807917024, 'breached': False}, {'date': '2026-04-30', 'm_close': 3944.765869140625, 'm_ema9': 3184.354198461487, 'breached': False}, {'date': '2026-05-29', 'm_close': 4193.1708984375, 'm_ema9': 3386.11753845669, 'breached': False}, {'date': '2026-06-30', 'm_close': 6380.35302734375, 'm_ema9': 3984.9646362341023, 'breached': False}, {'date': '2026-07-31', 'm_close': 5226.5, 'm_ema9': 4233.271708987282, 'breached': False}, {'date': '2026-08-24', 'm_close': 5493.5, 'm_ema9': 4485.317367189826, 'breached': False}]"
