Strategy,CAGR,TotalReturn,MaxDD,ProfitFactor,WinRate,AvgTrade,MedianTrade,AvgWinner,AvgLoser,Expectancy,AvgHoldDays,Trades,Turnover,AvgExposure,AvgCash,W50,W100,W200,MaxWinner
GFS 60/60 + 20D,6.7561710199202984,74.13646415680955,-39.16581854185293,1.239042616681253,51.21436114044351,1.1181354573846296,0.33739684303355416,11.31653758175128,-9.587979326853088,1.1181354573846312,20.76451953537487,947,223.24041159962582,60.98591333633442,39.01408666366558,9,2,0,161.21060328851053
GFS 60/60 + 40D,13.70277175847281,197.28204838006639,-37.85897013705453,1.591119149982958,52.317880794701985,3.3919274923427283,0.874918235140014,17.451151534691682,-12.034165554123485,3.391927492342729,40.437086092715234,604,142.38353601496726,75.64513226207775,24.35486773792225,18,2,1,219.13399001371747
GFS 60/60 + 60D,17.68981912919376,298.2518219803133,-34.42072123904947,1.8560527968749667,51.11607142857143,5.478000442508958,0.6361055891161141,23.235625602564788,-13.09047518147636,5.478000442508959,60.03794642857143,448,105.6089803554724,82.80283334232213,17.19716665767787,24,3,2,301.6231536796733
GFS 65/65 + 60D,12.943211448534209,180.8484785970905,-36.694377371093836,1.7224453555658719,50.56818181818182,5.061192813039451,0.3071763925335079,23.862502848192296,-14.172331245910012,5.061192813039453,59.70454545454545,352,82.97848456501403,66.42796116974493,33.57203883025507,16,3,2,301.6231536796733
GFS 70/70 + 60D,10.575981343907737,134.65174671162288,-19.72700824334937,2.173919724418448,52.9126213592233,6.876077791867127,1.7950062509517113,24.06504106198912,-12.439355161156564,6.876077791867122,59.57281553398058,206,48.561272217025255,38.59704905156216,61.40295094843784,11,2,1,202.9472030239885
GFS 70/70 + 90D,12.074202298113068,163.03423376850094,-28.81866529941441,2.251127340852159,55.3072625698324,9.41770804922069,2.011522102544343,30.638084339984285,-16.842507610599256,9.417708049220693,87.84916201117318,179,42.19644527595884,49.350924983278865,50.649075016721135,14,5,1,229.8854083196669
GFS + wide stop (-10%) + EMA21 (fast),3.459448497013673,33.44794940794814,-37.19589025898077,1.1542352561693205,52.27837613918807,0.596464340941325,0.4096361821023676,8.53833268170709,-8.103742122640616,0.5964643409413233,15.645401822700912,1207,284.5313376987839,61.68770226195495,38.31229773804505,16,2,1,219.13399001371747
GFS + wide stop (-10%) + delayed EMA21 (+10%),6.752408042879465,74.08439528374548,-30.462568547106617,1.251056916552571,47.20982142857143,1.3134366969652473,-2.085195740869982,13.86378025748447,-9.910232068573087,1.3134366969652458,25.373883928571427,896,211.2179607109448,71.33785912806687,28.662140871933133,16,4,1,219.13399001371747
GFS + wide stop (-10%) + delayed EMA21 (+20%),10.077317246815864,125.82381535584241,-25.795794803562224,1.388815305542725,37.091503267973856,2.575117566653206,-10.448877805486266,24.798406118226826,-10.527964254664228,2.575117566653206,40.650326797385624,612,144.2694106641721,79.33844132878379,20.661558671216213,16,7,1,219.13399001371747
GFS + wide stop (-10%) + profit protection,5.641577276491971,59.30086036848971,-31.2823456251039,1.1966049588697478,46.78492239467849,1.0247552026915525,-2.4887780548628293,13.331240064980758,-9.794696072071043,1.0247552026915505,25.033259423503328,902,212.63236669784845,70.8235445741749,29.176455425825097,14,4,1,219.13399001371747
GFS + wide stop + EMA21 + regime allocation,8.518774303127508,100.09116333105419,-26.72352260342284,1.3475251885910424,48.837209302325576,1.7861834736686744,-0.5165863435999227,14.18161960121118,-10.045823738985534,1.7861834736686735,26.940406976744185,688,162.18521983161833,60.61371110938601,39.38628889061399,14,3,1,219.13399001371747
GFS + wide stop + EMA21 + regime + sector cap,8.709050744684465,103.08733161574249,-26.72360723504226,1.360742989003356,48.82697947214076,1.8438593265716137,-0.5165863435999227,14.244464641132112,-9.988236861819923,1.8438593265716134,27.09530791788856,682,160.7708138447147,60.48896869774236,39.51103130225764,14,3,1,219.13399001371747
