date,baseline,eviction_at_45_days,eviction_at_60_days,eviction_at_90_days
2018-08-23,10006338.22,10006338.22,10006338.22,10006338.22
2018-08-24,10032539.88,10032539.88,10032539.88,10032539.88
2018-08-27,10134497.89,10134497.89,10134497.89,10134497.89
2018-08-28,10230190.85,10230190.85,10230190.85,10230190.85
2018-08-29,10216140.49,10216140.49,10216140.49,10216140.49
2018-08-30,10246708.85,10246708.85,10246708.85,10246708.85
2018-08-31,10270822.39,10270822.39,10270822.39,10270822.39
2018-09-03,10208166.14,10208166.14,10208166.14,10208166.14
2018-09-04,10227722.5,10227722.5,10227722.5,10227722.5
2018-09-05,10248418.15,10248418.15,10248418.15,10248418.15
2018-09-06,10345629.22,10345629.22,10345629.22,10345629.22
2018-09-07,10287530.15,10287530.15,10287530.15,10287530.15
2018-09-10,10322276.17,10322276.17,10322276.17,10322276.17
2018-09-11,10365755.59,10365755.59,10365755.59,10365755.59
2018-09-12,10359489.82,10359489.82,10359489.82,10359489.82
2018-09-14,10323224.98,10323224.98,10323224.98,10323224.98
2018-09-17,10372970.17,10372970.17,10372970.17,10372970.17
2018-09-18,10428981.13,10428981.13,10428981.13,10428981.13
2018-09-19,10442081.95,10442081.95,10442081.95,10442081.95
2018-09-21,10403918.77,10403918.77,10403918.77,10403918.77
2018-09-24,10383412.88,10383412.88,10383412.88,10383412.88
2018-09-25,10384931.7,10384931.7,10384931.7,10384931.7
2018-09-26,10365375.34,10365375.34,10365375.34,10365375.34
2018-09-27,10347148.76,10347148.76,10347148.76,10347148.76
2018-09-28,10263417.33,10263417.33,10263417.33,10263417.33
2018-10-01,10316200.16,10316200.16,10316200.16,10316200.16
2018-10-03,10630049.27,10630049.27,10630049.27,10630049.27
2018-10-04,10551824.56,10551824.56,10551824.56,10551824.56
2018-10-05,10587519.39,10587519.39,10587519.39,10587519.39
2018-10-08,10532268.2,10532268.2,10532268.2,10532268.2
2018-10-09,10503978.44,10503978.44,10503978.44,10503978.44
2018-10-10,10527901.5,10527901.5,10527901.5,10527901.5
2018-10-11,10620366.33,10620366.33,10620366.33,10620366.33
2018-10-12,10686439.76,10686439.76,10686439.76,10686439.76
2018-10-15,10822953.3,10822953.3,10822953.3,10822953.3
2018-10-16,10744349.06,10744349.06,10744349.06,10744349.06
2018-10-17,10766183.29,10766183.29,10766183.29,10766183.29
2018-10-19,10847256.61,10847256.61,10847256.61,10847256.61
2018-10-22,10768461.88,10768461.88,10768461.88,10768461.88
2018-10-23,10819156.61,10819156.61,10819156.61,10819156.61
2018-10-24,10765614.0,10765614.0,10765614.0,10765614.0
2018-10-25,10772638.82,10772638.82,10772638.82,10772638.82
2018-10-26,10823143.79,10823143.79,10823143.79,10823143.79
2018-10-29,10765614.0,10765614.0,10765614.0,10765614.0
2018-10-30,10724032.93,10724032.93,10724032.93,10724032.93
2018-10-31,10773208.83,10773208.83,10773208.83,10773208.83
2018-11-01,10796372.12,10796372.12,10796372.12,10796372.12
2018-11-02,10710362.82,10710362.82,10710362.82,10710362.82
2018-11-05,10799979.77,10799979.77,10799979.77,10799979.77
