Model,Simulations,CAGR_Mean,CAGR_Median,CAGR_5th_Pct,CAGR_25th_Pct,CAGR_75th_Pct,CAGR_95th_Pct,MaxDD_Mean,MaxDD_Median,MaxDD_95th_Pct,MaxLossStreak_Max,MaxLossStreak_Median,Worst_10_Trade_Sum,Worst_20_Trade_Sum,EndingCapital_Median
Baseline GFS,5000,4.510617573392669,3.9605265842025505,-7.380152507988009,-0.9273255201413061,9.370712063511682,17.96656707548219,-23.37495775537903,-22.18655687178513,-38.47833412029319,27,13.0,-57.27469483386218,-88.72313811373562,1164703.6624504998
Full Adaptive Model,5000,2.331323794583468,1.8851704139001835,-9.677379163020973,-3.038859502011351,7.330815722433975,15.807017836717515,-23.772389513328157,-22.431379261113108,-39.46317860821466,29,12.0,-87.58070126751845,-100.80080077763964,1067350.0576489726
