symbol,company_name,sector,entry_date,exit_date,entry_price,exit_price,shares,return_pct,pnl_inr,holding_days,exit_reason
ASIANPAINT,Asian Paints Limited,Chemicals,2019-04-12,2019-07-01,1344.51,1284.24,744,-4.48,-44828.71,51,MONTHLY_CLOSE_BELOW_EMA9
HAVELLS,Havells India Limited,Capital Goods,2019-05-10,2019-08-01,699.95,610.77,1396,-12.74,-124510.47,58,MONTHLY_CLOSE_BELOW_EMA9
SUVEN,Suven Life Sciences Limited,Healthcare,2019-05-17,2019-08-01,11.87,10.49,83000,-11.65,-114718.75,53,MONTHLY_CLOSE_BELOW_EMA9
SEAMECLTD,Seamec Limited,Logistics,2019-05-13,2019-09-03,422.89,322.65,2303,-23.7,-230860.21,77,MONTHLY_CLOSE_BELOW_EMA9
CANTABIL,Cantabil Retail India Limited,Retailing,2019-05-03,2019-11-01,51.56,40.57,19398,-21.32,-213252.52,122,MONTHLY_CLOSE_BELOW_EMA9
PRESTIGE,Prestige Estates Projects Limited,Real Estate,2019-05-17,2020-03-02,242.71,289.53,4059,19.29,190012.29,195,MONTHLY_CLOSE_BELOW_EMA9
BATAINDIA,Bata India Limited,Footwear,2019-05-10,2020-04-01,1216.08,1106.67,804,-9.0,-87927.98,221,MONTHLY_CLOSE_BELOW_EMA9
MUTHOOTFIN,Muthoot Finance Limited,Finance,2019-05-13,2020-04-01,510.79,550.45,1907,7.77,75635.59,220,MONTHLY_CLOSE_BELOW_EMA9
PIDILITIND,Pidilite Industries Limited,Chemicals,2019-09-23,2020-04-01,694.11,655.02,1445,-5.63,-56461.13,130,MONTHLY_CLOSE_BELOW_EMA9
EQ30,EQ30,Unclassified,2019-11-14,2020-04-01,348.47,254.36,2910,-27.01,-273893.43,96,MONTHLY_CLOSE_BELOW_EMA9
ATUL,Atul Limited,Chemicals,2019-11-18,2020-04-01,3957.16,3892.19,256,-1.64,-16622.96,94,MONTHLY_CLOSE_BELOW_EMA9
VADILALIND,Vadilal Industries Limited,FMCG,2019-11-21,2020-04-01,722.03,436.48,439,-39.55,-125219.76,91,MONTHLY_CLOSE_BELOW_EMA9
DMART,Avenue Supermarts Limited,Retailing,2019-11-20,2020-08-03,1845.6,2063.53,547,11.81,119255.39,174,MONTHLY_CLOSE_BELOW_EMA9
GMMPFAUDLR,GMM Pfaudler Limited,Capital Goods,2020-07-21,2020-11-02,1358.04,1166.06,767,-14.14,-147294.63,73,MONTHLY_CLOSE_BELOW_EMA9
IPCALAB,IPCA Laboratories Limited,Healthcare,2019-05-20,2021-02-01,452.98,913.55,2220,101.68,1022395.47,423,MONTHLY_CLOSE_BELOW_EMA9
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,2020-07-09,2021-03-01,749.12,853.92,1381,13.99,144781.76,163,MONTHLY_CLOSE_BELOW_EMA9
ITI,ITI Limited,Telecom,2020-09-11,2021-04-01,138.8,115.36,2330,-16.88,-54599.68,138,MONTHLY_CLOSE_BELOW_EMA9
COROMANDEL,Coromandel International Limited,Chemicals,2020-08-20,2021-05-03,729.2,698.97,1635,-4.15,-49410.86,173,MONTHLY_CLOSE_BELOW_EMA9
ADANIGREEN,Adani Green Energy Limited,Miscellaneous,2020-07-27,2021-08-02,346.81,880.19,3014,153.79,1607495.28,254,MONTHLY_CLOSE_BELOW_EMA9
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,2020-09-04,2021-08-02,871.74,744.07,1414,-14.65,-180526.01,225,MONTHLY_CLOSE_BELOW_EMA9
LAURUSLABS,Laurus Labs Limited,Healthcare,2021-08-02,2021-11-01,640.83,510.89,3197,-20.28,-415369.09,62,MONTHLY_CLOSE_BELOW_EMA9
RTNPOWER,RattanIndia Power Limited,Power,2021-08-02,2021-11-01,6.77,3.84,244766,-43.25,-716309.05,62,MONTHLY_CLOSE_BELOW_EMA9
GPIL,Godawari Power And Ispat limited,Metals & Mining,2021-02-01,2021-12-01,23.97,51.48,58458,114.8,1608308.99,205,MONTHLY_CLOSE_BELOW_EMA9
DIVISLAB,Divi's Laboratories Limited,Healthcare,2019-05-13,2022-02-01,1572.15,3923.62,620,149.57,1456774.27,676,MONTHLY_CLOSE_BELOW_EMA9
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,2020-09-02,2022-02-01,866.48,1441.45,1439,66.36,827528.17,352,MONTHLY_CLOSE_BELOW_EMA9
WIPRO,Wipro Limited,Software & IT Services,2021-03-02,2022-02-01,192.17,264.63,6139,37.7,444784.34,227,MONTHLY_CLOSE_BELOW_EMA9
