symbol,company_name,sector,entry_date,exit_date,entry_price,exit_price,shares,return_pct,pnl_inr,holding_days,exit_reason
MAHLOG,Mahindra Logistics Limited,Logistics,2021-05-06,2022-02-01,513.41,573.03,2225,11.61,132683.12,185,MONTHLY_CLOSE_BELOW_EMA9
SAGCEM,Sagar Cements Limited,Construction Materials,2021-11-01,2022-02-01,278.93,240.94,6803,-13.62,-258401.34,63,MONTHLY_CLOSE_BELOW_EMA9
BSOFT,BIRLASOFT LIMITED,Software & IT Services,2020-11-02,2022-03-02,166.49,375.39,5374,125.48,1122630.13,330,MONTHLY_CLOSE_BELOW_EMA9
PGHH,Procter & Gamble Hygiene and Health Care Limited,FMCG,2021-04-01,2022-05-02,11629.18,13134.28,23,12.94,34785.34,267,MONTHLY_CLOSE_BELOW_EMA9
TVTODAY,TV Today Network Limited,Media & Entertainment,2022-02-01,2022-06-01,286.27,196.14,6042,-31.48,-544557.1,81,MONTHLY_CLOSE_BELOW_EMA9
CALSOFT,California Software Company Limited,Diversified / Other,2022-02-03,2022-06-01,41.5,23.69,41816,-42.92,-744863.44,79,MONTHLY_CLOSE_BELOW_EMA9
TATACHEM,Tata Chemicals Limited,Chemicals,2021-11-01,2022-07-01,849.94,744.55,795,-12.4,-83783.85,166,MONTHLY_CLOSE_BELOW_EMA9
LPDC,Landmark Property Development Company Limited,Diversified / Other,2022-02-03,2022-07-01,10.08,6.38,172257,-36.64,-635822.15,101,MONTHLY_CLOSE_BELOW_EMA9
ACCURACY,Accuracy Shipping Limited,Logistics,2022-02-03,2022-08-01,20.58,20.69,84313,0.53,9139.4,122,MONTHLY_CLOSE_BELOW_EMA9
ASAHIINDIA,Asahi India Glass Limited,Construction Materials,2022-08-12,2023-01-02,558.73,517.19,2886,-7.43,-119879.99,96,MONTHLY_CLOSE_BELOW_EMA9
ADANIENT,Adani Enterprises Limited,Trading,2022-10-06,2023-02-01,3272.22,2982.09,539,-8.87,-156370.42,81,MONTHLY_CLOSE_BELOW_EMA9
GSS,GSS Infotech Limited,Software & IT Services,2022-08-01,2023-03-01,225.56,223.39,6951,-0.96,-15100.44,145,MONTHLY_CLOSE_BELOW_EMA9
WELENT,Welspun Enterprises Limited,Real Estate,2023-02-16,2023-03-01,134.47,121.02,11952,-10.01,-160820.86,9,MONTHLY_CLOSE_BELOW_EMA9
MAZDOCK,Mazagon Dock Shipbuilders Limited,Ship Building,2023-01-23,2024-04-01,376.23,921.08,3967,144.82,2161506.09,290,MONTHLY_CLOSE_BELOW_EMA9
ELECON,Elecon Engineering Company Limited,Capital Goods,2022-10-06,2024-11-01,170.16,575.53,5807,238.23,2353971.66,511,MONTHLY_CLOSE_BELOW_EMA9
AIAENG,AIA Engineering Limited,Capital Goods,2023-04-24,2024-11-01,2751.12,3802.28,719,38.21,755305.43,377,MONTHLY_CLOSE_BELOW_EMA9
JSL,Jindal Stainless Limited,Metals & Mining,2023-04-24,2024-11-01,264.46,669.86,3866,153.3,1567314.09,377,MONTHLY_CLOSE_BELOW_EMA9
ADANIPOWER,Adani Power Limited,Power,2024-04-01,2024-11-01,109.81,118.84,629,8.22,5682.14,146,MONTHLY_CLOSE_BELOW_EMA9
TIINDIA,Tube Investments of India Limited,Automobile & Ancillaries,2021-02-01,2024-12-02,766.3,3571.81,818,366.11,2295315.82,946,MONTHLY_CLOSE_BELOW_EMA9
INGERRAND,Ingersoll Rand (India) Limited,Capital Goods,2021-12-31,2025-02-01,1044.44,3652.1,1812,249.67,4725450.18,763,MONTHLY_CLOSE_BELOW_EMA9
KEI,KEI Industries Limited,Electricals,2022-02-02,2025-02-01,1104.93,4045.06,1572,266.09,4622444.32,741,MONTHLY_CLOSE_BELOW_EMA9
GRAVITA,Gravita India Limited,Metals & Mining,2022-04-04,2025-03-03,333.82,1589.69,5166,376.22,6487902.13,720,MONTHLY_CLOSE_BELOW_EMA9
BEL,Bharat Electronics Limited,Aviation,2022-10-06,2025-03-03,99.07,243.58,17801,145.87,2572530.54,594,MONTHLY_CLOSE_BELOW_EMA9
NITCO,Nitco Limited,Construction Materials,2024-04-01,2025-03-03,58.85,96.09,60920,63.29,2268823.85,229,MONTHLY_CLOSE_BELOW_EMA9
IPCALAB,IPCA Laboratories Limited,Healthcare,2024-12-06,2025-03-03,1496.97,1340.11,3418,-10.48,-536236.2,60,MONTHLY_CLOSE_BELOW_EMA9
UNICHEMLAB,Unichem Laboratories Limited,Healthcare,2024-12-10,2025-03-03,798.24,613.46,1697,-23.15,-313648.31,58,MONTHLY_CLOSE_BELOW_EMA9
PANACEABIO,Panacea Biotec Limited,Healthcare,2025-06-06,2025-08-01,472.48,399.1,9664,-15.53,-709136.67,40,MONTHLY_CLOSE_BELOW_EMA9
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Finance,2025-06-09,2025-08-01,1621.47,1437.25,2821,-11.36,-519676.49,39,MONTHLY_CLOSE_BELOW_EMA9
SRF,SRF Limited,Diversified,2025-04-09,2025-09-01,2753.51,2831.26,1562,2.82,121419.92,97,MONTHLY_CLOSE_BELOW_EMA9
BANARISUG,Bannari Amman Sugars Limited,Diversified / Other,2025-06-09,2025-10-01,3986.49,3659.93,1147,-8.19,-374704.57,80,MONTHLY_CLOSE_BELOW_EMA9
RAMANEWS,Shree Rama Newsprint Limited,Paper,2025-05-09,2025-11-03,31.08,29.13,140092,-6.28,-273249.29,122,MONTHLY_CLOSE_BELOW_EMA9
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Diversified / Other,2025-08-18,2025-11-03,530.22,458.35,5730,-13.55,-411828.17,52,MONTHLY_CLOSE_BELOW_EMA9
GOODLUCK,Goodluck India Limited,Metals & Mining,2025-11-10,2026-01-01,394.91,363.29,1367,-8.01,-43211.7,37,MONTHLY_CLOSE_BELOW_EMA9
HCG,Healthcare Global Enterprises Limited,Healthcare,2025-05-29,2026-02-02,553.28,589.62,8419,6.57,305968.04,170,MONTHLY_CLOSE_BELOW_EMA9
HDFCAMC,HDFC Asset Management Company Limited,Finance,2025-10-03,2026-02-02,2739.07,2410.02,1533,-12.01,-504502.47,82,MONTHLY_CLOSE_BELOW_EMA9
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Infrastructure,2025-06-23,2026-04-01,1338.71,1342.17,883,0.26,3052.17,192,MONTHLY_CLOSE_BELOW_EMA9
MUTHOOTFIN,Muthoot Finance Limited,Finance,2025-08-18,2026-04-01,2783.46,3243.38,1751,16.52,805208.38,153,MONTHLY_CLOSE_BELOW_EMA9
LUMAXIND,Lumax Industries Limited,Automobile & Ancillaries,2026-01-01,2026-04-01,5251.93,4841.19,95,-7.82,-38825.22,60,MONTHLY_CLOSE_BELOW_EMA9
BANKBARODA,Bank of Baroda,Banks,2026-02-04,2026-04-01,277.73,244.46,27233,-11.98,-906080.68,37,MONTHLY_CLOSE_BELOW_EMA9
NORBTEAEXP,Norben Tea & Exports Limited,Agri,2025-05-02,2026-05-04,40.05,63.54,108977,58.65,2559960.71,247,MONTHLY_CLOSE_BELOW_EMA9
FORCEMOT,FORCE MOTORS LTD,Automobile & Ancillaries,2025-09-10,2026-07-01,18335.72,18643.28,241,1.68,74157.48,200,MONTHLY_CLOSE_BELOW_EMA9
MAHASTEEL,Mahamaya Steel Industries Limited,Metals & Mining,2024-12-09,2026-08-24 (OPEN),211.53,1172.76,24529,454.42,23578486.59,424,CURRENTLY_ACTIVE
CUPID,Cupid Limited,Miscellaneous,2025-06-23,2026-08-24 (OPEN),18.25,285.69,242763,1465.83,64926537.9,293,CURRENTLY_ACTIVE
TFCILTD,Tourism Finance Corporation of India Limited,Finance,2025-11-04,2026-08-24 (OPEN),69.76,129.24,88406,85.26,5258048.65,201,CURRENTLY_ACTIVE
THANGAMAYL,Thangamayil Jewellery Limited,Diamond  &  Jewellery,2026-02-09,2026-08-24 (OPEN),3308.02,5479.77,331,65.65,719241.04,135,CURRENTLY_ACTIVE
HFCL,HFCL Limited,Telecom,2026-08-03,2026-08-24 (OPEN),197.44,237.82,59558,20.45,2405042.31,15,CURRENTLY_ACTIVE
J&KBANK,The Jammu & Kashmir Bank Limited,Banks,2026-08-03,2026-08-24 (OPEN),155.39,145.84,75677,-6.14,-722186.71,15,CURRENTLY_ACTIVE
GAYAPROJ,Gayatri Projects Limited,Infrastructure,2026-08-03,2026-08-24 (OPEN),20.05,22.28,93789,11.14,209539.35,15,CURRENTLY_ACTIVE
