Model,starting_capital,ending_capital,total_return_pct,cagr,max_drawdown,avg_drawdown,max_dd_duration,volatility_ann,sharpe,calmar,worst_day_pct,num_trades,win_rate,avg_trade_ret,median_trade_ret,profit_factor,avg_win,avg_loss,win_loss_ratio,expectancy,avg_holding_days,annual_turnover,avg_exposure_pct,avg_cash_pct,max_positions,avg_positions
Model 0: Baseline GFS (-5% -> EMA21),1000000.0,1140181.8764400836,14.018187644008362,1.5582899640037118,-38.44116214267041,-16.3999450328652,1203,12.144758452388583,-0.36573061979035987,0.04053701493779713,-8.425824238835878,1601,40.28732042473454,0.19395330364927008,-5.473815461346613,1.063849771445915,8.021392291379687,-5.087111703762988,1.5768067930268137,0.19395330364927066,9.267957526545908,377.41066417212346,47.94951290885421,52.05048709114579,15,6.9471468662301215
Model 1: GFS + Momentum Ranking,1000000.0,986394.2936801552,-1.3605706319844817,-0.16133726321977404,-38.80874712609923,-18.251321383169355,1203,11.448875012468566,-0.5381609334113334,0.004157239673199172,-5.564917828086047,1570,40.382165605095544,0.03002697374836653,-5.4738154613466135,1.0097096137798294,7.732438862182616,-5.187205010511583,1.490675391952556,0.030026973748367602,9.530573248407643,370.10289990645464,48.3563539865695,51.6436460134305,15,7.005612722170253
Model 2: GFS + Momentum + Sector Cap 25%,1000000.0,996336.3659895972,-0.36636340104028353,-0.04325215485833089,-38.21554326426164,-17.990828571453868,1203,11.452043805109579,-0.5277007543546073,0.0011317948448159151,-5.564917828086003,1565,40.447284345047926,0.03645737627847814,-5.4738154613466135,1.0118067694757478,7.724360590220278,-5.185047703576843,1.48973761319336,0.03645737627847767,9.559744408945686,368.92422825070156,48.376343225079275,51.623656774920725,15,7.00467726847521
Model 3: GFS + Momentum + Regime (Sch 1),1000000.0,1063643.18328708,6.3643183287079905,0.7298909966500622,-32.9147481655596,-15.13616923819188,1203,10.14341926793612,-0.5195594172084584,0.022175196145470887,-5.605717658033504,1317,40.394836750189825,0.11044791626948315,-5.473815461346613,1.0356894659143383,7.934529508511284,-5.191986997198846,1.5282259976367585,0.1104479162694827,10.015186028853455,310.4621141253508,42.901507905122365,57.098492094877635,15,6.172123479887746
Model 4: Full Adaptive (Mom+Sec+Reg),1000000.0,1075254.5367528596,7.525453675285959,0.8588810476966913,-31.984896853061212,-14.65690973586132,1203,10.144958512722724,-0.5067658922267515,0.026852706502146793,-5.605717658033516,1313,40.51789794364052,0.12209230271911353,-5.473815461346613,1.0395447774549278,7.921281436890796,-5.190543573566846,1.5260986300607118,0.12209230271911364,10.047220106626048,309.51917680074837,42.906174735151296,57.093825264848704,15,6.173058933582787
