Allocation Model,Capacity,IS CAGR (%),IS MaxDD (%),IS Profit Factor,IS Win Rate (%),IS Trades,OOS CAGR (%),OOS MaxDD (%),OOS Profit Factor,OOS Win Rate (%),OOS Trades,CAGR Delta (OOS - IS)
Model A: Equal Weight (Baseline),10,34.86484697592233,-26.925350071762587,1.8652389851037323,28.843710292249046,791,21.13212565380198,-40.02710313774011,1.462834742151841,27.596899224806204,645,-13.732721322120351
Model A: Equal Weight (Baseline),15,30.06794355790454,-20.362901909078428,1.7286562773793201,28.280961182994456,1088,20.855524592649253,-29.136062588117728,1.5004544076577253,28.718535469107554,874,-9.212418965255289
Model A: Equal Weight (Baseline),20,27.67747948141166,-15.692020153915228,1.785197713337153,28.78315132605304,1289,22.743688509951454,-23.699516125869412,1.572477274129411,29.96219281663516,1058,-4.933790971460205
Model B1: Linear Rank Weighted,10,31.457648458153177,-27.106948226640558,1.7206152089008488,27.965043695380775,806,19.525980300697455,-37.73626519700525,1.4346846844020233,27.751937984496124,645,-11.931668157455722
Model B1: Linear Rank Weighted,15,34.71530431558103,-22.653131289480395,1.7423896678350124,28.47866419294991,1084,22.64293281888645,-28.248602121687384,1.5443725528442886,28.883774453394707,869,-12.07237149669458
Model B1: Linear Rank Weighted,20,31.141138745433516,-17.829998336791377,1.7790520850938534,28.626842513576417,1296,22.6408228277009,-23.270672831177368,1.5728542619050614,29.517502365184484,1057,-8.500315917732614
Model B2: Inverse Rank Weighted,10,31.427667027970685,-26.809316640269838,1.7339948905090299,27.97992471769134,801,21.703615445257142,-37.43934705716397,1.484056656359099,27.838258164852252,643,-9.724051582713543
Model B2: Inverse Rank Weighted,15,32.26341552471808,-21.073334326337175,1.716516375423728,28.49162011173184,1079,20.43668996029613,-28.238818520580338,1.5045774593120944,28.850574712643677,870,-11.826725564421949
Model B2: Inverse Rank Weighted,20,30.909209949528794,-17.14790541215309,1.7884534861258967,28.894080996884735,1291,22.375505082469395,-23.417566548855216,1.583671743907951,30.038022813688215,1052,-8.533704867059399
Model C: Relative Volume Weighted,10,36.52234089261923,-20.192499088330894,1.89274061484126,28.121059268600252,798,20.750265046181315,-33.16507874686141,1.5200064385155931,28.976377952755904,635,-15.772075846437918
Model C: Relative Volume Weighted,15,35.77739884767368,-18.094805210309715,1.9004948324727444,28.77094972067039,1079,21.411506646370082,-27.53589427382113,1.585346470143655,29.350348027842227,862,-14.365892201303598
Model C: Relative Volume Weighted,20,30.580402245593707,-16.025168842415987,1.7142987625564179,27.619760479041915,1342,19.933121026450664,-22.031786427303985,1.6099743568943896,29.84790874524715,1052,-10.647281219143043
Model D: Composite Tech+Fund Weighted,10,30.019781806292166,-26.298012460580917,1.7166114969192336,27.63819095477387,800,22.638800170074024,-36.385918703806915,1.5081737776846758,27.850162866449512,614,-7.3809816362181415
Model D: Composite Tech+Fund Weighted,15,29.47361076055892,-24.169614414164872,1.7654598447195269,28.424976700838773,1078,22.26894560902979,-28.59691397105083,1.5124867675469063,28.092485549132952,865,-7.204665151529131
Model D: Composite Tech+Fund Weighted,20,28.02006501330596,-18.01492582424698,1.8090264111526666,28.31926323867997,1310,20.092865014807316,-24.52022415935614,1.5425445466714385,29.01998097050428,1051,-7.927199998498644
