Strategy,Profit_Logic,CAGR,MaxDD,ProfitFactor,WinRate,Trades,AvgTrade,Expectancy,AvgHoldDays,W50,W100,W200,MaxWinner
Monthly EMA9: Static -20% Stop,None,16.818286588094477,-32.52716030929071,3.1912482975283414,38.46153846153847,169,20.6510957790844,20.651095779084407,142.58579881656806,24,15,8,570.6357886149458
Monthly EMA9: Remove Stop after +25% (Sys A),sys_a_25,15.23394282530861,-33.53868851844029,2.9978903029738535,38.095238095238095,168,18.782239107882464,18.78223910788246,140.64880952380952,23,14,6,570.6357886149458
Monthly EMA9: Remove Stop after +50% (Sys B),sys_b_50,16.69127141815516,-32.52716030929071,3.135884525653752,38.46153846153847,169,20.24464346576971,20.244643465769716,142.85798816568047,24,15,7,570.6357886149458
Monthly EMA9: Remove Stop after +100% (Sys C),sys_c_100,16.818142641179335,-32.52716030929071,3.191194058168826,38.46153846153847,169,20.650935597403347,20.650935597403357,142.6094674556213,24,15,8,570.6357886149458
