date,gfs_10_regime,gfs_15_regime,bo_c_relvol,bo_a_equal,nifty_50,breakout_15_regime,breakout_10_regime,breakout_relvol_regime
2026-01-01,100000.0,100000.0,100279.60617018024,100157.93057805514,100000.0,100157.93057805512,100236.89586708268,100236.89586708268
2026-01-02,100000.0,100000.0,100517.90196980676,100366.23821032836,100696.07651702386,100366.23821032832,100549.3573154925,100549.3573154925
2026-01-05,100561.99306216612,100374.6620414441,100345.8056576324,100199.6515214168,100396.80186066608,100199.65152141676,100299.24712462942,100299.24712462944
2026-01-06,100287.84702696436,100191.89801797626,100060.82979290244,100072.1535520692,100122.95479342174,100072.15355206918,100107.58696157808,100107.5869615781
2026-01-07,100293.3670075446,100195.57800502976,100103.30962268297,100274.26955647692,99977.81435379936,100274.26955647688,100410.61548071954,100410.61548071956
2026-01-08,100195.85128094534,100130.56752063024,100100.43657563617,100334.02470386303,98968.50191013185,100334.02470386303,100500.26659734664,100500.26659734664
2026-01-09,100068.89807657548,100045.93205105032,100157.18474120797,100151.36748446674,98228.25578839945,100151.36748446673,100226.0653578886,100226.0653578886
2026-01-12,100340.00736111776,100226.6373507514,100101.1866464125,100118.17665691572,98637.29336909132,100118.1766569157,100176.27882819805,100176.27882819805
2026-01-13,100069.37586241087,100046.25027214004,100210.22845632776,100274.06511755836,98415.66100452124,100274.06511755832,100292.12455998264,100305.14433591296
2026-01-14,100363.80124241498,100242.4408834136,100835.25793923436,101013.28270816446,98160.555952872,101013.28270816442,101148.20542833404,101096.1833914519
2026-01-15,100363.80124241498,100242.4408834136,100818.49397282716,100996.48914495448,98160.555952872,100996.48914495442,101148.20542833404,101094.6093935522
2026-01-16,100269.1763408322,100179.3647468757,100489.10946381914,100771.85598530673,98270.51309498429,100771.85598530668,100750.61091965275,100651.13404710186
2026-01-19,100164.494343811,100109.73797926972,100929.28147660312,101284.0200782756,97854.20728743948,101288.9459988403,101055.92465894636,100777.27428412857
2026-01-20,99514.31074322882,99676.3020214964,99559.22137567303,99778.95470887815,96504.12481211298,100014.20102236174,99541.50589257904,99371.71412108342
2026-01-21,99201.42177445398,99467.48413895666,99408.58967307035,99483.50134014896,96217.28009355918,99718.74765363254,99188.55439059058,99294.31947083026
2026-01-22,99582.03721389757,99721.10549865173,99162.4996504658,99515.68352322358,96723.65813069572,99750.92983670712,98953.60275244672,98894.72651608576
2026-01-23,98055.89253072234,98703.8971173453,98529.37800746884,98866.7427848306,95800.97428601436,99226.53595312336,98371.34562032504,98473.29533280931
2026-01-27,98866.31393812166,99036.4283259714,98923.46316485397,99330.6383545562,96285.74186037028,99541.663438431,98707.82029720242,98623.67740757644
2026-01-28,99508.67689268834,99456.5916982832,99212.42234526704,99795.54866026896,96925.78654838704,100001.64547802856,98713.84356388792,98725.77375175006
2026-01-29,99786.71977914752,99780.40248417182,99261.77144486696,99969.9622230375,97217.03104660824,100102.82791253406,98856.35788269305,98792.62122046476
2026-01-30,100112.051648604,100185.07977919668,99190.83653208514,99602.9692863266,96841.26446530275,99732.57101858516,99019.21676304044,98842.90590587378
2026-02-02,99193.82760000852,99217.75297864,97593.09530927744,97843.27562672668,95953.00198684788,97773.28285332336,97044.18084756224,96986.62425236416
2026-02-03,100963.8309842135,100744.28492261466,97823.76489345988,98052.87246088464,98397.49417234617,97885.71362433032,96787.0366911029,96637.73485219528
2026-02-04,101544.85325314522,101006.56614267793,97877.14843393056,98083.6474404606,98582.79287256607,97872.34623990292,96833.1405362338,96617.91194269838
2026-02-05,101094.20822964764,100478.7964640824,97847.63276101903,98172.7655281534,98073.35964038038,97956.58105744344,96964.87241565251,96742.30651410014
2026-02-06,100279.70238082638,100129.16289946258,97625.9789444114,97948.555780004,98268.0256134406,97751.31198191395,96632.23505383052,96437.89766319018
2026-02-09,102396.44358851104,102075.61551947902,98406.86552883376,98795.59825583945,98931.98149791808,98600.02602820178,97886.30383100711,97694.41196366026
2026-02-10,104792.96284047909,103929.46429821434,97777.37135254825,98217.54394353495,99191.47885932017,98125.26137634004,97029.13332512398,96991.52237837116
2026-02-11,106769.87478765464,105585.66780631304,98268.94781612244,98608.5277406992,99262.9958211804,98324.17238188026,97610.36002199506,97285.98341629923
2026-02-12,106293.20473427196,105177.24008423153,98480.49146772096,98929.05550781828,98702.11728751866,98722.89676292484,97792.54504123326,97664.60899567844
2026-02-13,103323.24940750533,102516.84513240463,96343.03097170572,96677.90100142913,97416.67198275586,96448.57329600812,95669.13132213516,95162.38452495338
2026-02-16,103989.11124206636,102307.3716497362,97025.69677302064,98138.70707605092,98226.14927249755,97889.9684660238,96294.00514120676,96229.68300823748
2026-02-17,104371.39812816554,103114.36502168389,96879.09254011603,97910.6743002078,98389.26979643138,97665.9575241362,96252.62295965,96035.18064419452
2026-02-18,105309.20168022905,104379.00798572012,98141.92968492104,99286.07580298548,98748.58762590728,98827.7598518804,97583.29658204612,97519.48448710688
2026-02-19,104054.05711628028,103965.41467680872,96802.44242681492,97923.40659241508,97352.60999561218,97366.9693786382,95925.1336023015,95780.73228473948
2026-02-20,104651.97897161092,104695.61847576853,97140.73005074744,98150.5422362007,97799.70679091424,97489.66246911706,96299.66789836105,96020.42636722927
2026-02-23,105349.20179782396,105147.58947074242,97758.10436301108,99010.9079660786,98341.84330898093,98237.22759234828,97095.26222719804,96683.03031309012
2026-02-24,105799.95590029328,106127.52801644124,97456.58514863445,98810.79161006933,97239.0224750307,98230.63960655758,96919.67357802528,96543.16643324951
2026-02-25,107521.91925348992,107570.54808224256,98596.076526441,99844.23435619863,97460.27387395894,99059.4919196323,97735.37231864112,97314.63831803284
2026-02-26,107824.55714152729,108214.30418595376,99336.93423154828,100477.71194844838,97514.0124392005,99602.19383732314,98262.21402598776,97836.72923937548
2026-02-27,107265.8753091766,107403.69761937112,98410.2727159346,99660.81016538234,96298.17179817424,98894.6604735372,97373.49059550308,96937.67991270329
2026-03-02,105197.94901572925,104865.31739903554,96339.35921685016,97964.35670586753,95101.25992060675,97312.88273157354,94860.42160663594,94746.15696394122
2026-03-04,100934.21059405684,101277.42174237978,92648.86008825304,94343.43259492311,93628.02843408032,94362.06436520533,91764.15958462968,91901.41130945412
2026-03-05,102000.31386428146,101600.0699773521,93157.83899301042,95098.4176861783,94719.56969706656,94736.48217377868,91833.63573528072,92066.59856536447
2026-03-06,101268.19981409266,100522.4417416334,93119.00691176316,94940.76647702494,93513.09632888062,94706.58993719578,91833.63573528072,92053.89020766116
2026-03-09,98638.75021544711,98838.28602141218,92883.50494260545,94690.31828623547,91897.59284991732,94721.53605548725,91833.63573528072,92060.24438651284
2026-03-10,100922.5364383332,100718.61562500206,93553.05030168852,95665.87988715836,92790.82282154508,95696.29262256084,92573.75695014183,93000.76193637044
2026-03-11,100042.12449627272,100615.15172759512,94058.87880972293,96031.2457094152,91281.0634528903,96062.35686622983,93454.5079800443,93782.66201791997
2026-03-12,100122.6659455278,100893.70865102904,94156.22106252702,95765.95607828464,90410.20587532684,95798.3815055194,93915.50193093711,93998.58853067196
2026-03-13,97866.99618308707,98950.87935379344,93500.4711642424,94525.20569411054,88543.60868882532,94559.42255404964,93444.89501930083,93159.77961693313
2026-03-16,97096.29724899244,97549.37736595736,92560.58989368372,93594.71833553891,89529.21162372487,93628.52200204723,92064.57271329848,91884.1047012758
2026-03-17,96948.17909216208,97215.21404329296,92300.03783319716,93327.89945734412,90188.37929297856,93361.61976668148,91681.02633212291,91498.4007242178
2026-03-18,98577.14746764788,98401.40554130776,92484.07076520694,93516.93883287245,90940.4876390095,93550.71597964493,91961.41341570282,91782.295079649
2026-03-19,96025.71691102802,96463.65490681074,92479.66344119256,93514.50806296406,87973.93806574332,93548.27647811398,91970.90955239146,91796.88082209884
2026-03-20,96724.0549455861,97167.99233462223,92591.38090258474,93628.83228716628,88403.62996015398,93662.6367257652,92135.81693242567,91962.63387292082
2026-03-23,93132.81074127494,94171.79060761204,92367.01276517622,93399.89989057073,86101.79820264892,93433.629622189,91800.83464466932,91626.61730142916
2026-03-24,95173.48412212316,95868.8086673611,92650.81423219336,93689.81144945513,87630.68055254062,93723.63449326792,92222.64886146873,92050.07309934877
2026-03-25,98246.9999282034,98107.63061888408,92709.933912817,93750.26630632266,89137.7582218735,93784.1085690834,92310.16624894257,92137.9941688386
2026-03-27,95816.98741184753,96666.05840332968,92643.38013988984,93682.20946342596,87275.75503281757,93716.03009052352,92211.64385721664,92039.01733350028
2026-03-30,92911.35448456251,94530.46535091275,92473.10213251784,93508.08584748674,85408.5901328106,93541.85111968173,91959.57405250448,91785.7848335812
2026-04-01,95695.09124157036,96822.66641329972,92526.55733125376,93562.74829414266,86739.54962690017,93596.53094384496,92038.7060655822,91865.28185036268
2026-04-02,95361.60360101447,97335.10691627629,92404.07047286922,93437.4951565466,86868.4355324712,93471.2379875535,91857.38353926594,91683.12295718172
2026-04-06,96543.46507823642,97787.934877073,92277.68960729137,93308.2600683542,87844.28275897409,93341.9618147806,91670.29654783802,91495.1730097625
2026-04-07,96895.0415664899,98424.8594682448,92311.73050525226,93343.20645564904,88438.62650980045,93376.91878768394,91720.56716694712,91545.79189666624
2026-04-08,98125.55161799629,99712.09256658194,92471.78781952272,93505.29390278528,91780.1732631739,93539.06383823843,92002.49509988484,91830.08322505128
2026-04-09,98215.1788641076,99331.31205558468,92490.7857945417,93525.55006302377,90930.15674719284,93559.32325949016,92048.68976888084,91878.23801038766
