Strategy,IS Trades (2018-22),IS WinRate (%),IS AvgRet (%),IS ProfitFactor,OOS Trades (2023-26),OOS WinRate (%),OOS AvgRet (%),OOS ProfitFactor
1. Technical Only (Baseline),2363,28.903935674989423,2.5380870187094207,2.037361369535021,2435,32.238193018480494,2.1714814329585703,1.9300424789370203
2. Technical + ROE > 15%,990,31.01010101010101,2.612999228003347,2.1736991923774576,942,32.27176220806794,2.4606955211008996,2.0597036752170257
3. Technical + ROE > 20%,519,34.296724470134876,4.180218198442604,2.97626006259845,532,29.51127819548872,2.0997791026443773,1.854633643485509
4. Technical + ROCE > 15%,1176,30.86734693877551,3.139652953084446,2.385718051765528,1128,32.5354609929078,2.171758806891868,1.9381416414098653
5. Technical + ROCE > 20%,818,31.173594132029343,2.9377555081488382,2.3016785592264615,804,31.965174129353237,2.0850453476778923,1.881422398915086
6. Technical + Profit CAGR 3Y > 15%,1101,27.79291553133515,2.3397465451043504,1.9591974004271466,1297,32.07401696222051,2.55497853077169,2.0841848005302763
7. Technical + Profit CAGR 3Y > 25%,758,26.649076517150394,2.577279645490718,2.0138350216921554,996,32.1285140562249,2.6011323759935885,2.088987988989871
8. Technical + Sales CAGR 3Y > 10%,904,30.641592920353983,3.449130780007522,2.480747636287521,1468,32.22070844686649,2.177429552872401,1.9405137962361925
9. Technical + Sales CAGR 3Y > 15%,520,28.46153846153846,2.631421321778101,2.080002759014847,1074,32.122905027932966,2.2786709153666687,1.9612521063413983
10. Technical + Interest Coverage > 3,1660,29.518072289156628,2.553739545507165,2.074311086125307,1697,31.99764289923394,2.169896034676168,1.9320261185534706
11. Technical + P/E < 50,1452,29.132231404958674,3.112165633163808,2.3038477163008535,1354,33.08714918759232,2.798168312288993,2.1966430838165323
12. Technical + PEG < 1.5,925,28.64864864864865,3.1219649476625113,2.2798149094061584,922,32.32104121475054,2.9812253357228267,2.259828783302023
13. Combo A (ROCE>20 & ROE>20),463,34.34125269978402,4.191553497672838,3.0003937330529964,504,29.761904761904763,1.9265665378523709,1.7859267574148532
14. Combo B (Combo A + Profit>25),242,33.057851239669425,5.3520644349837445,3.3910875591287515,307,28.664495114006517,1.8746654288329254,1.710961524769697
15. Combo C (Combo A + Sales>15),146,34.93150684931507,5.809385448812082,3.745611031276037,310,29.03225806451613,2.023106438411399,1.784642216652626
16. Combo D (Combo A + Both Growth),109,33.94495412844037,6.738299466373919,4.043884929773638,252,28.174603174603174,2.0247311206625276,1.7610937354981102
17. Combo E (Combo A + IntCov>3 + PE<50),349,33.810888252149,4.5504139301744875,3.1211764944233753,339,30.973451327433626,2.2037986364813205,1.8828332006477202
18. Combo F (Full Fundamental Screen),179,29.05027932960894,4.262261372857747,2.831337355894603,190,32.631578947368425,2.849438198380663,2.092928762772978
