Ticker,Breakout Date,Confirmation Date,Entry Date,breakout_volume,avg_vol_20_breakout,rel_volume_breakout,confirm_volume,avg_vol_20_confirm,rel_volume_confirm,Breakout Vol Available Timestamp,Confirm Vol Available Timestamp,Entry Execution Timestamp
SURANAT&P,2024-06-18,2024-06-19,2024-06-20,909315.0,327149.6,2.7795082127564883,1385978.0,367662.7,3.769699781892479,2024-06-18 15:30 IST,2024-06-19 15:30 IST,2024-06-20 09:15 IST
BLS,2023-05-10,2023-05-11,2023-05-12,7185403.0,3024965.6,2.375366847146956,6383948.0,3285711.4,1.9429424020624575,2023-05-10 15:30 IST,2023-05-11 15:30 IST,2023-05-12 09:15 IST
IOB,2023-09-14,2023-09-15,2023-09-18,83298731.0,32667301.9,2.549911567689035,152172830.0,34318050.9,4.43419209451665,2023-09-14 15:30 IST,2023-09-15 15:30 IST,2023-09-18 09:15 IST
APLAPOLLO,2022-04-05,2022-04-08,2022-04-11,711849.0,391309.05,1.8191478065738578,472740.0,427992.45,1.1045521947875483,2022-04-05 15:30 IST,2022-04-08 15:30 IST,2022-04-11 09:15 IST
NBCC,2024-04-05,2024-04-09,2024-04-10,56968839.0,17554663.5,3.245225349947608,31709079.0,19999104.95,1.585524906203365,2024-04-05 15:30 IST,2024-04-09 15:30 IST,2024-04-10 09:15 IST
GLENMARK,2024-07-01,2024-07-03,2024-07-04,677834.0,773918.7,0.8758465197959424,1403050.0,739472.65,1.897365642934867,2024-07-01 15:30 IST,2024-07-03 15:30 IST,2024-07-04 09:15 IST
KSB,2024-02-16,2024-02-19,2024-02-20,370855.0,290581.5,1.2762512410459717,354425.0,298349.0,1.1879543755802768,2024-02-16 15:30 IST,2024-02-19 15:30 IST,2024-02-20 09:15 IST
ASTERDM,2023-08-28,2023-08-30,2023-08-31,1204988.0,459724.65,2.621108091550018,360987.0,494187.7,0.7304653677135226,2023-08-28 15:30 IST,2023-08-30 15:30 IST,2023-08-31 09:15 IST
ADANIPORTS,2024-01-05,2024-01-25,2024-01-29,10622789.0,8180955.3,1.2984778195768898,4305042.0,7875728.25,0.5466214505306224,2024-01-05 15:30 IST,2024-01-25 15:30 IST,2024-01-29 09:15 IST
PIDILITIND,2021-05-19,2021-05-20,2021-05-21,2703574.0,1174667.6,2.3015651406406374,1351508.0,1263655.4,1.0695225929474128,2021-05-19 15:30 IST,2021-05-20 15:30 IST,2021-05-21 09:15 IST
UNIVASTU,2023-10-05,2023-10-06,2023-10-09,3763755.0,78603.0,47.88309606503569,1835223.0,255808.8,7.174198072935724,2023-10-05 15:30 IST,2023-10-06 15:30 IST,2023-10-09 09:15 IST
BDL,2023-12-04,2023-12-05,2023-12-06,2633086.0,1729724.1,1.5222577982234275,2099076.0,1829506.0,1.1473457862395642,2023-12-04 15:30 IST,2023-12-05 15:30 IST,2023-12-06 09:15 IST
CUB,2018-04-25,2018-04-30,2018-05-02,958451.0,1140662.85,0.8402579254685115,237677.0,1023856.05,0.2321390785355031,2018-04-25 15:30 IST,2018-04-30 15:30 IST,2018-05-02 09:15 IST
STEL,2021-08-26,2021-08-27,2021-08-30,447676.0,188269.1,2.377851702695769,194514.0,209233.0,0.9296525882628457,2021-08-26 15:30 IST,2021-08-27 15:30 IST,2021-08-30 09:15 IST
SREEL,2023-12-22,2024-01-08,2024-01-09,595107.0,99723.35,5.967579308156013,61395.0,184440.75,0.3328711252800696,2023-12-22 15:30 IST,2024-01-08 15:30 IST,2024-01-09 09:15 IST
ORIENTLTD,2018-02-15,2018-02-19,2018-02-20,17738.0,4532.75,3.913297666979207,1942.0,5457.6,0.3558340662562298,2018-02-15 15:30 IST,2018-02-19 15:30 IST,2018-02-20 09:15 IST
AURIONPRO,2021-10-29,2021-11-02,2021-11-03,568622.0,123039.6,4.621455206291308,198488.0,153378.6,1.2941049142448815,2021-10-29 15:30 IST,2021-11-02 15:30 IST,2021-11-03 09:15 IST
ARMANFIN,2023-05-18,2023-05-22,2023-05-23,23209.0,4120.5,5.632568863002063,4769.0,5185.3,0.9197153491601258,2023-05-18 15:30 IST,2023-05-22 15:30 IST,2023-05-23 09:15 IST
POWERMECH,2022-08-02,2022-08-03,2022-08-04,122834.0,39131.1,3.1390377474694042,86392.0,44514.6,1.940756515839747,2022-08-02 15:30 IST,2022-08-03 15:30 IST,2022-08-04 09:15 IST
JUBLFOOD,2020-11-13,2020-11-26,2020-11-27,17180645.0,3753151.75,4.577657964402851,5236660.0,5149109.0,1.017003135882344,2020-11-13 15:30 IST,2020-11-26 15:30 IST,2020-11-27 09:15 IST
TATACHEM,2021-02-09,2021-02-15,2021-02-16,19308883.0,5829758.1,3.312124220042681,6137722.0,5659716.75,1.0844574509846274,2021-02-09 15:30 IST,2021-02-15 15:30 IST,2021-02-16 09:15 IST
ORBTEXP,2022-09-08,2022-09-12,2022-09-13,391438.0,150935.6,2.5934106996626376,77845.0,166625.85,0.46718441346285705,2022-09-08 15:30 IST,2022-09-12 15:30 IST,2022-09-13 09:15 IST
GOODYEAR,2022-09-06,2022-09-07,2022-09-08,43674.0,20067.55,2.1763493799691545,16221.0,20839.6,0.7783738651413655,2022-09-06 15:30 IST,2022-09-07 15:30 IST,2022-09-08 09:15 IST
SUNTV,2023-11-13,2023-11-16,2023-11-17,2257421.0,1169725.85,1.929871858435889,724358.0,1156078.5,0.6265647185723114,2023-11-13 15:30 IST,2023-11-16 15:30 IST,2023-11-17 09:15 IST
TRITURBINE,2023-09-07,2023-09-11,2023-09-12,1078425.0,559903.45,1.9260910072977762,1516727.0,622730.4,2.43560776862668,2023-09-07 15:30 IST,2023-09-11 15:30 IST,2023-09-12 09:15 IST
