Exposure_Schedule,Schedule_Key,CAGR,MaxDD,ProfitFactor,WinRate,NumTrades,AvgExposure,AvgCash,Calmar
Fixed (100% all regimes),fixed,-0.16133726321977404,-38.80874712609923,1.0097096137798294,40.382165605095544,1570,48.3563539865695,51.6436460134305,0.004157239673199172
"Schedule 1 (Bull 100%, Neutral 70%, Bear 30%)",sch1,0.7298909966500622,-32.9147481655596,1.0356894659143383,40.394836750189825,1317,42.901507905122365,57.098492094877635,0.022175196145470887
"Schedule 2 (Bull 100%, Neutral 80%, Bear 50%)",sch2,-0.17710120604909063,-35.60248047796372,1.0126851442367446,39.986043265875786,1433,45.01716085053886,54.98283914946114,0.004974406380440488
"Schedule 3 (Bull 100%, Neutral 100%, Bear 50%)",sch3,-0.047678373577764166,-36.98455862950943,1.0120488102989722,40.02695417789757,1484,46.335692718495665,53.664307281504335,0.0012891426948035093
"Schedule 4 (Bull 100%, Neutral 60%, Bear 0%)",sch4,-0.026639228560287886,-33.55329247554767,1.011037122672703,39.846416382252556,1172,38.9691182146477,61.0308817853523,0.0007939378402194514
