date,equity,cash,invested,positions_count,regime,target_exp,peak_equity,drawdown_pct,daily_ret_pct
2026-01-01,100000.0,100000.0,0.0,0,BULL,1.0,100000.0,0.0,0.0
2026-01-02,100000.0,100000.0,0.0,0,BULL,1.0,100000.0,0.0,0.0
2026-01-05,100561.99306216613,90000.0,10561.993062166128,1,BULL,1.0,100561.99306216613,0.0,0.5619930621661329
2026-01-06,100287.84702696437,90000.0,10287.847026964377,1,BULL,1.0,100561.99306216613,-0.27261396363960955,-0.2726139636396119
2026-01-07,100293.3670075446,90000.0,10293.367007544604,1,BULL,1.0,100561.99306216613,-0.26712483160061595,0.005504137085265981
2026-01-08,100195.85128094532,90000.0,10195.851280945331,1,NEUTRAL,0.7,100561.99306216613,-0.3640955892694619,-0.09723048443666116
2026-01-09,100068.89807657545,90000.0,10068.898076575459,1,NEUTRAL,0.7,100561.99306216613,-0.49033931267238823,-0.1267050509046519
2026-01-12,100340.00736111778,79971.39932688946,20368.608034228317,2,NEUTRAL,0.7,100561.99306216613,-0.2207451287397666,0.2709226240653395
2026-01-13,100069.37586241089,79971.39932688946,20097.976535521433,2,NEUTRAL,0.7,100561.99306216613,-0.48986419695432554,-0.2697144497238346
2026-01-14,100363.80124241498,69937.97623053852,30425.82501187646,3,NEUTRAL,0.7,100561.99306216613,-0.19708422010752646,0.2942212614665429
2026-01-15,100363.80124241498,69937.97623053852,30425.82501187646,3,NEUTRAL,0.7,100561.99306216613,-0.19708422010752646,0.0
2026-01-16,100269.17634083223,69937.97623053852,30331.200110293707,3,NEUTRAL,0.7,100561.99306216613,-0.29118030820340673,-0.09428190284881399
2026-01-19,100164.494343811,59949.318019281585,40215.17632452942,4,NEUTRAL,0.7,100561.99306216613,-0.39527728742348894,-0.10440097429881279
2026-01-20,99514.31074322885,59949.318019281585,39564.99272394726,4,NEUTRAL,0.7,100561.99306216613,-1.0418273216697456,-0.649115841737713
2026-01-21,99201.421774454,59949.318019281585,39252.10375517241,4,BEAR,0.3,100561.99306216613,-1.3529677030874405,-0.3144160537695839
2026-01-22,99582.0372138976,29983.336982928082,69598.70023096951,7,NEUTRAL,0.7,100561.99306216613,-0.9744793419744004,0.38367941974559727
2026-01-23,98055.89253072235,29983.336982928082,68072.55554779427,7,BEAR,0.3,100561.99306216613,-2.492095129712216,-1.5325501725749535
2026-01-27,98866.31393812169,29983.336982928082,68882.9769551936,7,NEUTRAL,0.7,100561.99306216613,-1.686202781398929,0.8264892465747797
2026-01-28,99508.67689268837,29983.336982928082,69525.33990976028,7,NEUTRAL,0.7,100561.99306216613,-1.0474296873040492,0.6497288398642276
2026-01-29,99786.71977914755,29983.336982928082,69803.38279621946,7,NEUTRAL,0.7,100561.99306216613,-0.770940650051875,0.279415720459264
2026-01-30,100112.05164860401,29983.336982928082,70128.71466567593,7,NEUTRAL,0.7,100561.99306216613,-0.44742690539553165,0.3260272210335202
2026-02-02,99193.82760000855,29983.336982928082,69210.49061708046,7,BEAR,0.3,100561.99306216613,-1.3605194373104805,-0.9171963150035767
2026-02-03,100963.83098421353,29983.336982928082,70980.49400128545,7,BULL,1.0,100963.83098421353,0.0,1.7843886328717806
2026-02-04,101544.85325314524,19843.47537441944,81701.37787872579,8,BULL,1.0,101544.85325314524,0.0,0.5754756562501573
2026-02-05,101094.20822964763,19843.47537441944,81250.73285522818,8,NEUTRAL,0.7,101544.85325314524,-0.4437891326448385,-0.443789132644834
2026-02-06,100279.70238082638,19843.47537441944,80436.22700640695,8,BULL,1.0,101544.85325314524,-1.245903491696339,-0.8056899233742532
2026-02-09,102396.44358851104,0.0,102396.44358851104,10,BULL,1.0,102396.44358851104,0.0,2.1108371459321207
2026-02-10,104792.9628404791,0.0,104792.9628404791,10,BULL,1.0,104792.9628404791,0.0,2.340432116567137
2026-02-11,106769.87478765463,0.0,106769.87478765463,10,BULL,1.0,106769.87478765463,0.0,1.8864930369273614
2026-02-12,106293.204734272,0.0,106293.204734272,10,BULL,1.0,106769.87478765463,-0.44644620435364407,-0.44644620435364546
2026-02-13,103323.24940750533,0.0,103323.24940750533,10,NEUTRAL,0.7,106769.87478765463,-3.228087873104652,-2.7941158931010013
2026-02-16,103989.11124206638,0.0,103989.11124206638,10,NEUTRAL,0.7,106769.87478765463,-2.6044458243663406,0.644445309627173
2026-02-17,104371.39812816556,0.0,104371.39812816556,10,BULL,1.0,106769.87478765463,-2.246398306881216,0.36762203420441786
2026-02-18,105309.20168022905,0.0,105309.20168022905,10,BULL,1.0,106769.87478765463,-1.3680573385803692,0.8985254283092825
2026-02-19,104054.0571162803,0.0,104054.0571162803,10,NEUTRAL,0.7,106769.87478765463,-2.5436179229165394,-1.1918659945405308
2026-02-20,104651.97897161092,0.0,104651.97897161092,10,NEUTRAL,0.7,106769.87478765463,-1.9836080357458534,0.5746261817186626
2026-02-23,105349.20179782393,0.0,105349.20179782393,10,BULL,1.0,106769.87478765463,-1.3305934774730686,0.6662299490792778
2026-02-24,105799.95590029331,0.0,105799.95590029331,10,NEUTRAL,0.7,106769.87478765463,-0.9084199913976713,0.42786665183702777
2026-02-25,107521.91925348996,0.0,107521.91925348996,10,NEUTRAL,0.7,107521.91925348996,0.0,1.627565284450072
2026-02-26,107824.55714152727,0.0,107824.55714152727,10,NEUTRAL,0.7,107824.55714152727,0.0,0.281466225806315
2026-02-27,107265.87530917663,0.0,107265.87530917663,10,BEAR,0.3,107824.55714152727,-0.5181396957813015,-0.5181396957813056
2026-03-02,105197.94901572926,0.0,105197.94901572926,10,BEAR,0.3,107824.55714152727,-2.436001774948544,-1.9278510406845584
2026-03-04,100934.21059405683,0.0,100934.21059405683,10,BEAR,0.3,107824.55714152727,-6.390331414416458,-4.053062309261291
2026-03-05,102000.31386428147,0.0,102000.31386428147,10,BEAR,0.3,107824.55714152727,-5.401592579324087,1.056235803450578
2026-03-06,101268.19981409264,0.0,101268.19981409264,10,BEAR,0.3,107824.55714152727,-6.080578952741674,-0.717756664124547
2026-03-09,98638.75021544713,0.0,98638.75021544713,10,BEAR,0.3,107824.55714152727,-8.519216001993987,-2.5965205301097805
2026-03-10,100922.53643833322,0.0,100922.53643833322,10,BEAR,0.3,107824.55714152727,-6.40115840599713,2.315303283849235
2026-03-11,100042.12449627274,0.0,100042.12449627274,10,BEAR,0.3,107824.55714152727,-7.217681065955642,-0.872364065679665
2026-03-12,100122.6659455278,0.0,100122.6659455278,10,BEAR,0.3,107824.55714152727,-7.142984307267038,0.08050753586112958
2026-03-13,97866.99618308709,0.0,97866.99618308709,10,BEAR,0.3,107824.55714152727,-9.234965783694514,-2.2529062137317757
2026-03-16,97096.29724899246,0.0,97096.29724899246,10,BEAR,0.3,107824.55714152727,-9.94973703295922,-0.7874962593649282
2026-03-17,96948.17909216208,0.0,96948.17909216208,10,BEAR,0.3,107824.55714152727,-10.087106627379121,-0.15254768825070375
2026-03-18,98577.14746764788,0.0,98577.14746764788,10,BEAR,0.3,107824.55714152727,-8.576348393197216,1.6802464891447322
2026-03-19,96025.71691102804,0.0,96025.71691102804,10,BEAR,0.3,107824.55714152727,-10.942628046236658,-2.588257646080905
2026-03-20,96724.0549455861,0.0,96724.0549455861,10,BEAR,0.3,107824.55714152727,-10.294966647876867,0.7272406361778172
2026-03-23,93132.81074127494,0.0,93132.81074127494,10,BEAR,0.3,107824.55714152727,-13.62560328531504,-3.7128759814003764
2026-03-24,95173.48412212319,0.0,95173.48412212319,10,BEAR,0.3,107824.55714152727,-11.733016443367964,2.1911433410050085
2026-03-25,98246.99992820341,0.0,98246.99992820341,10,BEAR,0.3,107824.55714152727,-8.882537955386773,3.229382463435293
2026-03-27,95816.98741184751,0.0,95816.98741184751,10,BEAR,0.3,107824.55714152727,-11.13621057021267,-2.473370706618716
2026-03-30,92911.35448456254,0.0,92911.35448456254,10,BEAR,0.3,107824.55714152727,-13.830989018012016,-3.032482032435191
2026-04-01,95695.09124157038,53754.6850414741,41940.40620009628,4,BEAR,0.3,107824.55714152727,-11.249261041745918,2.996121165654042
2026-04-02,95361.60360101447,53754.6850414741,41606.91855954038,4,BEAR,0.3,107824.55714152727,-11.558548322303146,-0.3484898088597421
2026-04-06,96543.46507823642,53754.6850414741,42788.78003676233,4,BEAR,0.3,107824.55714152727,-10.46245156238725,1.2393473186197212
