Market Cap Tier,Signals,Win Rate (%),Mean Return (%),Median Return (%),Winners > 25%,Winners > 50%,Winners > 100%
"Large Cap (>₹50,000 Cr)",593,60.53962900505903,2.7787119761398156,2.6278784555915182,13,0,0
Mid Cap (₹15k–50k Cr),441,60.090702947845806,3.261103150384249,2.762713848609378,25,3,0
"Small Cap (<₹15,000 Cr)",1861,50.56421278882321,2.0548366349333373,0.08517616679871348,126,18,2
