Strategy,Cost_Level,Cost_Bps,CAGR,MaxDD,ProfitFactor,WinRate,AvgTrade,Expectancy,EndingCapital
Baseline GFS (-5% stop -> fast EMA21),Gross (0 bps),0.0,7.981340912794366,-33.758014690259635,1.2524904947896025,42.098688319800125,0.6961786334921128,0.6961786334921127,1918380.465033993
Fixed 60D Hold (No stop),Gross (0 bps),0.0,19.720524563597387,-34.295464984887374,1.9704637211675344,52.23214285714286,6.006712224175658,6.006712224175659,4604605.441948675
System E: -10% stop + EMA21 after +10%,Gross (0 bps),0.0,10.396106566997165,-28.23609992881641,1.3645944137394332,48.214285714285715,1.821273472388621,1.8212734723886221,2314329.1691204915
System E + Regime Sch 1 + Sector Cap 25%,Gross (0 bps),0.0,11.560221912795111,-23.803957049972656,1.4822132753989694,49.853372434017594,2.354354862043139,2.354354862043139,2529737.8785394924
Baseline GFS (-5% stop -> fast EMA21),25 bps,25.0,1.5582899640037118,-38.44116214267041,1.063849771445915,40.28732042473454,0.19395330364927008,0.19395330364927066,1140181.8764400836
Fixed 60D Hold (No stop),25 bps,25.0,17.68981912919376,-34.42072123904947,1.8560527968749667,51.11607142857143,5.478000442508958,5.478000442508959,3982518.219803133
System E: -10% stop + EMA21 after +10%,25 bps,25.0,6.752408042879465,-30.462568547106617,1.251056916552571,47.20982142857143,1.3134366969652473,1.3134366969652458,1740843.9528374549
System E + Regime Sch 1 + Sector Cap 25%,25 bps,25.0,8.709050744684465,-26.72360723504226,1.360742989003356,48.82697947214076,1.8438593265716137,1.8438593265716134,2030873.3161574248
Baseline GFS (-5% stop -> fast EMA21),50 bps,50.0,-4.465929330351326,-47.353449631555776,0.9100701104330654,38.08630393996248,-0.29871960879792125,-0.2987196087979198,678672.6621683079
Fixed 60D Hold (No stop),50 bps,50.0,15.692893002904839,-34.54596173731169,1.7488189696415226,50.22321428571429,4.95191906771621,4.951919067716211,3444307.5338980746
System E: -10% stop + EMA21 after +10%,50 bps,50.0,3.2314038313127513,-32.62213484782808,1.1477464509202373,46.763392857142854,0.8081264726633712,0.8081264726633712,1309728.7099633317
System E + Regime Sch 1 + Sector Cap 25%,50 bps,50.0,5.934958947393909,-29.552418779837293,1.2538185849743122,48.31130690161527,1.3538645477953268,1.3538645477953262,1630934.8882274516
Baseline GFS (-5% stop -> fast EMA21),100 bps,100.0,-15.425626736340236,-76.6858404023971,0.6724606126396401,32.29036295369212,-1.2873231562357272,-1.2873231562357272,241370.74954958181
Fixed 60D Hold (No stop),100 bps,100.0,11.80224306787685,-34.796409780241525,1.554270993557695,48.214285714285715,3.9075694078553456,3.9075694078553482,2576679.113224408
System E: -10% stop + EMA21 after +10%,100 bps,100.0,-3.4436529481324696,-46.15804804464682,0.9672787918054849,43.861607142857146,-0.1949893686487792,-0.19498936864878047,742811.474853459
System E + Regime Sch 1 + Sector Cap 25%,100 bps,100.0,0.6274309093423636,-36.262287269705155,1.0594212650090877,45.37444933920705,0.34531820670575464,0.34531820670575364,1054498.9584557917
