Ranking Factor,Cap 10 CAGR (%),Cap 10 MaxDD (%),Cap 10 Profit Factor,Cap 10 WinRate (%),Cap 10 Trades,Cap 10 AvgTrade (%),Cap 10 Total Rej (%),Cap 10 W>50%,Cap 10 W>100%,Cap 10 BLISSGVS,Cap 20 CAGR (%),Cap 20 MaxDD (%),Cap 20 Profit Factor,Cap 20 Trades,Cap 20 W>50%,Cap 20 W>100%
Technical: Relative Volume,32.20940173350408,-34.21246327557845,1.7588305997958178,28.751753155680227,1426,2.1540695745932013,67.78857013779083,25,8,True,25.70933223122951,-21.593837207716465,1.6843791586240071,2400,36,12
Technical: Monthly RSI,29.586552038227577,-37.1736726647376,1.7209294564733246,28.541521284019538,1433,2.047865566024789,67.63044951434381,26,8,True,26.27399288135315,-22.312930833281243,1.7387805860742311,2334,36,11
Technical: Breakout Strength,25.373066820943002,-33.193963462725016,1.575206137480427,27.34638757596219,1481,1.7178546120319174,66.54619381070702,27,6,True,23.746742000143016,-23.321617732222315,1.6586107653274165,2396,37,10
Technical: Proximity to Daily EMA21,28.593868390600964,-34.021465001334015,1.702374904642968,29.653679653679653,1386,1.9150827816859046,68.69211655748813,22,7,True,28.223829229033235,-22.359533674337197,1.845964760587461,2258,37,12
Technical: Distance Above EMA21,27.785635866477442,-35.64112040065856,1.6233672487127302,26.62207357859532,1495,1.8662061292840275,66.22995256381297,28,8,True,24.04465565038496,-24.94513412651077,1.6716497395815992,2424,41,13
Fundamental: Market Cap (Large-Cap Bias),20.755605348025476,-36.52866998921512,1.5210173591820189,28.797696184305256,1389,1.4409519059505067,68.62435057601084,19,4,True,24.22915447792826,-23.49425761410474,1.715898566457445,2284,31,10
Fundamental: Market Cap (Small-Cap Bias),28.98846575443588,-32.87922291020664,1.6222413621902958,27.50830564784053,1505,1.8067720421007247,66.00406595888863,24,8,True,25.267481182523866,-22.471476007271143,1.6798407054229667,2440,38,12
Fundamental: 3Y Profit CAGR,30.480516445165186,-33.18278984103548,1.7206084759167968,27.97494780793319,1437,2.0492251318729413,67.54009487237407,26,8,True,28.757620831602935,-21.647215545211097,1.8059899279676095,2326,41,13
Fundamental: Latest YoY PAT Growth,30.060333942428443,-35.11164571835494,1.664041786029957,27.303523035230352,1476,1.9120594143813159,66.65913711316918,28,9,True,26.590864179624308,-23.55475983597129,1.7118191025285483,2385,39,12
Fundamental: Positive Profit Flag,27.688197845856788,-33.242677471422446,1.643942322103978,27.887323943661972,1420,1.8478977614908947,67.92410210074542,25,8,True,25.663932979245075,-21.66222039030198,1.7082170538148485,2360,35,11
Fundamental: ROE,26.939417770291275,-33.23297804036054,1.6693695994849738,28.43839541547278,1396,1.8907193788135503,68.46622995256382,23,7,True,23.689734649059567,-25.32883231601898,1.6547217749915644,2364,38,10
Fundamental: ROCE,26.014654304727003,-37.22054531118589,1.6301932578271205,28.898426323319025,1398,1.7757456404823118,68.42105263157895,21,4,True,24.394750940544284,-25.52813350088583,1.6860704040774417,2340,34,10
Fundamental: Interest Coverage,25.168894929516306,-38.59318815758635,1.5934079354466568,28.2899366643209,1421,1.6816247062042422,67.901513440253,21,6,True,25.733210226803326,-24.60918461430544,1.7372935859431524,2318,34,10
Fundamental: P/E Valuation (Lower PE),22.456956678412475,-37.02058842525285,1.5120557973851216,26.46657571623465,1466,1.4950579999587796,66.88502371809352,23,7,True,28.56959796161458,-24.076674239118383,1.812800579484873,2336,39,13
Composite: Technical Score (RSI+Vol+Breakout),31.251312813662114,-31.10202015435643,1.7032369907059222,28.39248434237996,1437,2.0469902418858714,67.54009487237407,26,7,True,25.89476102969741,-23.03417934723854,1.689393926488173,2412,38,12
Composite: Fundamental Quality (ROE+ROCE+Growth+Mcap),26.492049782052796,-37.45703488836244,1.6290313239481533,28.437724982001438,1389,1.7712684919709674,68.62435057601084,22,5,True,27.42042984568551,-24.537085325166785,1.795972168549587,2314,39,12
Composite: Hybrid Tech + Fundamental (Model D),27.67245249299357,-35.36615329478756,1.653073245794357,27.934936350777935,1414,1.8535499008731642,68.05963406370003,23,7,True,25.83528206293377,-24.03712183904915,1.735469372739543,2353,38,14
