symbol,sector,entry_date,exit_date,sim_entry_price,raw_entry_price,sim_exit_price,raw_exit_price,return_pct,holding_days,exit_reason,is_loss,ranking_method,capacity
ASIANPAINT,Chemicals,2019-04-12,2019-07-01,1344.512536347503,1341.1596372543672,1284.2397691317053,1287.4584151696292,-4.482871344549491,51,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
CANTABIL,Retailing,2019-05-03,2019-11-01,51.560024114415064,51.43144550066341,40.56641687381459,40.66808709154345,-21.321959074737713,122,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
BAJFINANCE,Finance,2019-07-10,2020-04-01,349.94047214801776,349.06780264141423,211.70952223423575,212.2401225405872,-39.50127547845141,179,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
EQ30,Unclassified,2019-11-14,2020-04-01,348.4690061187744,347.6000061035156,254.3625,255.0,-27.00570336711625,96,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
GMMPFAUDLR,Capital Goods,2020-07-21,2020-11-02,1358.0362759682669,1354.6496518386703,1166.0602806550348,1168.9827374987817,-14.13629361088716,73,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
DRREDDY,Healthcare,2020-07-09,2021-03-01,749.1182193937851,747.2500941583892,853.9227571406125,856.0629144266791,13.99038696878033,163,MONTHLY_CLOSE_LT_M_EMA9,False,Monthly RSI,2
AARTIDRUGS,Healthcare,2020-11-02,2021-09-01,668.0135420626315,666.3476728804304,607.7741016365785,609.2973449990761,-9.017697491588434,206,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
WIPRO,Software & IT Services,2021-03-02,2022-02-01,192.17020747638205,191.69098002631625,264.6276805587888,265.2909078283597,37.704841990823105,227,MONTHLY_CLOSE_LT_M_EMA9,False,Monthly RSI,2
HGS,Software & IT Services,2021-09-01,2022-03-02,1236.735282403351,1233.6511545170583,1175.438619046795,1178.3845804980401,-4.956328506892592,124,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
TVTODAY,Media & Entertainment,2022-02-01,2022-06-01,286.2749893158596,285.5610865993612,196.1444575688313,196.63604768805143,-31.483900134769847,81,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
GREENPANEL,Construction Materials,2022-03-10,2022-07-01,479.94410528485815,478.74723719187847,428.31328601531885,429.38675289756276,-10.757673383423512,77,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
DANGEE,FMCG,2022-06-02,2022-11-01,22.055,22.0,21.496124238967898,21.549999237060547,-2.5340093449653223,103,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
GSS,Software & IT Services,2022-08-01,2023-03-01,225.5625,225.0,223.3901219558716,223.9499969482422,-0.9630936188987123,145,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
AURIONPRO,Software & IT Services,2022-11-03,2023-04-03,195.87060556536548,195.38215018989075,154.25784650188902,154.644457646004,-21.245024971135624,103,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
KAMDHENU,Metals & Mining,2023-03-01,2023-10-03,32.70816192225225,32.626595433668086,28.764907652829432,28.83700015321246,-12.055872411283731,144,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
HILTON,Automobile & Ancillaries,2023-04-03,2024-01-01,105.0620030593872,104.80000305175781,114.7125,115.0,9.18552536558606,183,MONTHLY_CLOSE_LT_M_EMA9,False,Monthly RSI,2
RKFORGE,Automobile & Ancillaries,2024-01-01,2024-06-03,717.5990044846303,715.8094807826736,695.2010819520684,696.943440553452,-3.1212309928785045,101,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
HAL,Aviation,2023-10-03,2025-01-01,1884.779893075923,1880.0796938413198,4081.7814988109317,4092.0115276300066,116.56542038707481,306,MONTHLY_CLOSE_LT_M_EMA9,False,Monthly RSI,2
SHILPAMED,Healthcare,2024-06-03,2025-02-01,249.32040236888795,248.69865572956405,353.53452502958453,354.42057647076143,41.799275819595415,168,MONTHLY_CLOSE_LT_M_EMA9,False,Monthly RSI,2
KITEX,Textiles,2025-01-02,2025-03-03,234.95697539198358,234.3710477725522,156.1883531166635,156.57980262322155,-33.52470048778452,42,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
SIYSIL,Textiles,2025-02-03,2025-03-03,764.5613638544243,762.6547270368322,578.6338522770727,580.0840624331556,-24.31819345932224,19,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
SRF,Diversified,2025-04-09,2025-09-01,2753.50591898726,2746.6393206855464,2831.2616911664536,2838.3575851292767,2.823882514397943,97,MONTHLY_CLOSE_LT_M_EMA9,False,Monthly RSI,2
RALLIS,Fertilisers & Pesticides,2025-09-01,2025-10-01,344.3575500885084,343.4988030808064,299.20681942254464,299.956711200546,-13.111584355957609,22,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
AXISCADES,Aviation,2025-04-15,2026-02-02,810.7217622375488,808.7000122070312,1142.1375,1145.0,40.87909726855753,200,MONTHLY_CLOSE_LT_M_EMA9,False,Monthly RSI,2
HCG,Healthcare,2025-10-01,2026-02-02,641.9508505249023,640.3499755859375,589.6222256469727,591.0999755859375,-8.151500202101492,83,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
BANKBARODA,Banks,2026-02-04,2026-04-01,277.7320340980547,277.03943550928153,244.46067038518046,245.07335376960447,-11.979663714675288,37,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
OIL,Oil & Gas,2026-05-11,2026-07-01,458.1425,457.0,418.00236282348635,419.04998779296875,-8.76149607960703,37,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,2
TITAN,Diamond  &  Jewellery,2026-02-02,2026-08-24,3996.885032503398,3986.9177381580034,5066.302500000001,5079.0,26.756272917532144,140,END_OF_BACKTEST,False,Monthly RSI,2
ARIHANT,Real Estate,2026-07-03,2026-08-24,795.985,794.0,1004.6820121765137,1007.2000122070312,26.21871168131481,35,END_OF_BACKTEST,False,Monthly RSI,2
ASIANPAINT,Chemicals,2019-04-12,2019-07-01,1344.512536347503,1341.1596372543672,1284.2397691317053,1287.4584151696292,-4.482871344549491,51,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,3
CANTABIL,Retailing,2019-05-03,2019-11-01,51.560024114415064,51.43144550066341,40.56641687381459,40.66808709154345,-21.321959074737713,122,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,3
BATAINDIA,Footwear,2019-05-10,2020-04-01,1216.081754671056,1213.0491318414524,1106.6706788283082,1109.4442895521886,-8.997016477098855,221,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,3
BAJFINANCE,Finance,2019-07-10,2020-04-01,349.94047214801776,349.06780264141423,211.70952223423575,212.2401225405872,-39.50127547845141,179,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,3
EQ30,Unclassified,2019-11-14,2020-04-01,348.4690061187744,347.6000061035156,254.3625,255.0,-27.00570336711625,96,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,3
GMMPFAUDLR,Capital Goods,2020-07-21,2020-11-02,1358.0362759682669,1354.6496518386703,1166.0602806550348,1168.9827374987817,-14.13629361088716,73,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,3
DRREDDY,Healthcare,2020-07-09,2021-03-01,749.1182193937851,747.2500941583892,853.9227571406125,856.0629144266791,13.99038696878033,163,MONTHLY_CLOSE_LT_M_EMA9,False,Monthly RSI,3
ADANIGREEN,Miscellaneous,2020-07-27,2021-08-02,346.8148872375488,345.95001220703125,880.1940243530274,882.4000244140625,153.79361058112357,254,MONTHLY_CLOSE_LT_M_EMA9,False,Monthly RSI,3
AARTIDRUGS,Healthcare,2020-11-02,2021-09-01,668.0135420626315,666.3476728804304,607.7741016365785,609.2973449990761,-9.017697491588434,206,MONTHLY_CLOSE_LT_M_EMA9,True,Monthly RSI,3
