Fold,Ranking_Method,Positions,Train_Period,Test_Period,Train_CAGR,Train_PF,Test_Return,Test_MaxDD,Test_PF,Test_WinRate,Test_Trades
Fold 1,Monthly RSI,3,2018-2020,2021-2021,6.210700833201566,2.0793423973119123,44.27201807563985,-19.742044771678046,7.637614842760109,80.0,5
Fold 1,Monthly RSI,5,2018-2020,2021-2021,9.239928140941988,2.1225450507344608,51.66474822373832,-16.976343539842066,5.5364666375970275,55.55555555555556,9
Fold 1,Monthly RSI,7,2018-2020,2021-2021,13.567181036472697,3.0319684459583347,46.70818947373836,-14.245053293234466,6.635614228505641,66.66666666666666,12
Fold 1,Monthly RSI,10,2018-2020,2021-2021,13.865766188818341,3.118028098977032,52.662962479588394,-10.729024892151125,10.097741245752037,75.0,16
Fold 1,Monthly RSI,15,2018-2020,2021-2021,8.370989932381878,2.1333554036704774,56.50240163036063,-10.126057008531314,11.456235299327092,73.91304347826086,23
Fold 1,Weekly RSI,3,2018-2020,2021-2021,8.16783326288033,2.3662797940120246,50.36535275246556,-19.742044771678046,8.270289083956284,80.0,5
Fold 1,Weekly RSI,5,2018-2020,2021-2021,10.66275258301912,2.332840259367803,54.991439756138064,-16.976343539842066,5.554810315008875,55.55555555555556,9
Fold 1,Weekly RSI,7,2018-2020,2021-2021,14.623736327009906,3.2422636545916763,62.42342572254724,-13.970144299646927,8.223663570276162,66.66666666666666,12
Fold 1,Weekly RSI,10,2018-2020,2021-2021,12.987477624815046,2.7783430667938376,54.87723252628764,-11.342913456136596,10.08408383513147,75.0,16
Fold 1,Weekly RSI,15,2018-2020,2021-2021,8.792766884089653,2.2287102766843874,49.36680487883857,-10.601955498677087,9.628959794006898,73.91304347826086,23
Fold 1,3M Return,3,2018-2020,2021-2021,6.210700833201566,2.0793423973119123,44.27201807563985,-19.742044771678046,7.637614842760109,80.0,5
Fold 1,3M Return,5,2018-2020,2021-2021,9.239928140941988,2.1225450507344608,20.533847107374577,-22.58408460665111,2.2342574096603727,60.0,10
Fold 1,3M Return,7,2018-2020,2021-2021,13.567181036472697,3.0319684459583347,43.012359421252576,-15.080096768485443,4.702955491019846,66.66666666666666,12
Fold 1,3M Return,10,2018-2020,2021-2021,12.216848507142664,2.6458460403719273,50.77002042778993,-9.479055198690075,6.916427138261656,70.58823529411765,17
Fold 1,3M Return,15,2018-2020,2021-2021,8.265153549552796,2.1333554036704774,56.07768080476324,-8.81641043678553,9.294550231148191,73.91304347826086,23
Fold 1,6M Return,3,2018-2020,2021-2021,6.210700833201566,2.0793423973119123,44.27201807563985,-19.742044771678046,7.637614842760109,80.0,5
Fold 1,6M Return,5,2018-2020,2021-2021,9.239928140941988,2.1225450507344608,59.41070002561379,-18.196741678430406,9.851296147171805,75.0,8
Fold 1,6M Return,7,2018-2020,2021-2021,13.567181036472697,3.0319684459583347,52.688122621546896,-14.139931884453688,11.676148889770557,83.33333333333334,12
Fold 1,6M Return,10,2018-2020,2021-2021,12.216848507142664,2.6458460403719273,57.18715007006227,-9.827910935722347,17.57905246175887,86.66666666666667,15
Fold 1,6M Return,15,2018-2020,2021-2021,8.265153549552796,2.1333554036704774,59.497435705750505,-8.246252592942096,16.217414163047238,81.81818181818183,22
Fold 1,12M Return,3,2018-2020,2021-2021,6.210700833201566,2.0793423973119123,50.36535275246556,-19.742044771678046,8.270289083956284,80.0,5
Fold 1,12M Return,5,2018-2020,2021-2021,9.239928140941988,2.1225450507344608,55.31004631036418,-16.976343539842066,5.766229912576736,55.55555555555556,9
Fold 1,12M Return,7,2018-2020,2021-2021,13.567181036472697,3.0319684459583347,46.6557866084022,-13.271569663165877,6.595393900139625,69.23076923076923,13
Fold 1,12M Return,10,2018-2020,2021-2021,12.216848507142664,2.6458460403719273,52.13070708022367,-9.49924225109932,8.338848264103675,70.58823529411765,17
Fold 1,12M Return,15,2018-2020,2021-2021,8.265153549552796,2.1333554036704774,56.95568344452994,-10.126057008531314,11.494465091726262,73.91304347826086,23
Fold 1,Relative Volume,3,2018-2020,2021-2021,6.629452416048154,2.139884303130827,52.93147842785358,-19.742044771678046,8.536731303298792,80.0,5
Fold 1,Relative Volume,5,2018-2020,2021-2021,8.999304918261863,3.6786741602521795,28.61008193098162,-19.866332907426557,3.337318440900815,60.0,10
Fold 1,Relative Volume,7,2018-2020,2021-2021,13.791691206378932,3.076339353555838,53.14829812268109,-14.780402257119954,7.1270752969101485,66.66666666666666,12
Fold 1,Relative Volume,10,2018-2020,2021-2021,14.03168925953322,3.1509731755540615,52.11393613466767,-11.80004962181205,9.597276269503267,75.0,16
Fold 1,Relative Volume,15,2018-2020,2021-2021,8.4410339126896,2.1534746554925612,49.606954396097244,-10.85920652511561,9.65639292827458,73.91304347826086,23
Fold 1,Composite Momentum,3,2018-2020,2021-2021,6.210700833201566,2.0793423973119123,50.36535275246556,-19.742044771678046,8.270289083956284,80.0,5
Fold 1,Composite Momentum,5,2018-2020,2021-2021,9.239928140941988,2.1225450507344608,54.991439756138064,-16.976343539842066,5.554810315008875,55.55555555555556,9
Fold 1,Composite Momentum,7,2018-2020,2021-2021,13.567181036472697,3.0319684459583347,45.823275528740794,-13.296984493701247,6.299888172908005,69.23076923076923,13
Fold 1,Composite Momentum,10,2018-2020,2021-2021,12.216848507142664,2.6458460403719273,52.63242015292807,-10.72902489215114,9.727506200863358,75.0,16
Fold 1,Composite Momentum,15,2018-2020,2021-2021,8.265153549552796,2.1333554036704774,56.561844753485616,-10.26494927313067,11.16472587673875,73.91304347826086,23
