Combination,CAGR,MaxDD,ProfitFactor,WinRate,AvgTrade,AnnualTurnover,AvgExposure,Sharpe,Calmar,NumTrades
1. GFS Baseline,1.5582899640037118,-38.44116214267041,1.063849771445915,40.28732042473454,0.19395330364927008,377.41066417212346,47.94951290885421,-0.36573061979035987,0.04053701493779713,1601
2. GFS + Momentum,-0.16133726321977404,-38.80874712609923,1.0097096137798294,40.382165605095544,0.03002697374836653,370.10289990645464,48.3563539865695,-0.5381609334113334,0.004157239673199172,1570
3. GFS + Market Regime,2.479325437639246,-35.68213669154872,1.0934569457766297,40.56254626202813,0.2837947911996492,318.4770813844715,42.338525771677034,-0.3318175013506414,0.06948365954291273,1351
4. GFS + Sector Rotation,1.4413121514989857,-38.16229221709214,1.0620551218457661,40.28732042473454,0.18846938432063867,377.41066417212346,47.90932146416814,-0.3749731028155782,0.03776796590990544,1601
5. GFS + Momentum + Market Regime,0.7298909966500622,-32.9147481655596,1.0356894659143383,40.394836750189825,0.11044791626948315,310.4621141253508,42.901507905122365,-0.5195594172084584,0.022175196145470887,1317
6. GFS + Momentum + Sector Rotation,-0.04325215485833089,-38.21554326426164,1.0118067694757478,40.447284345047926,0.03645737627847814,368.92422825070156,48.376343225079275,-0.5277007543546073,0.0011317948448159151,1565
7. GFS + Momentum + Sector + Regime (Full Adaptive),0.8588810476966913,-31.984896853061212,1.0395447774549278,40.51789794364052,0.12209230271911353,309.51917680074837,42.906174735151296,-0.5067658922267515,0.026852706502146793,1313
