Sector,Total_Signals,Trades_Taken,WinRate,AvgReturn,MedianReturn,ProfitFactor,Cumulative_Return_Contribution
Trading,27,13,46.15384615384615,19.96120637370805,-5.473815461346619,7.410435345214025,259.49568285820465
Construction Materials,82,47,53.191489361702125,2.144564055577447,0.5197640432209811,1.9260507867249848,100.79451061214
Software & IT Services,166,79,36.708860759493675,1.204454295538927,-5.47381546134662,1.3780387826067175,95.15188934757523
Diamond  &  Jewellery,28,16,56.25,5.718372299833689,0.3246182984246222,3.3878344728755594,91.49395679733902
Capital Goods,207,82,46.34146341463415,1.0607858942029995,-2.6019756675185093,1.3834516533797447,86.98444332464597
Diversified,37,18,66.66666666666666,4.00501427116363,2.161114160403339,6.061095694166997,72.09025688094535
Healthcare,213,111,44.14414414414414,0.4928637594992731,-1.7121839778196388,1.178071690560315,54.70787730441931
Infrastructure,93,31,41.935483870967744,1.5361670549122837,-5.473815461346617,1.4833230235285908,47.621178702280794
Manufacturing,9,3,33.33333333333333,15.114254145810472,-1.0852092325951699,7.913034262443314,45.34276243743142
Ship Building,13,6,50.0,5.963930558776035,-2.1615318987234904,3.1790762223865103,35.78358335265621
Metals & Mining,180,74,37.83783783783784,0.3982398264756817,-5.473815461346613,1.129630866507365,29.469747159200445
Real Estate,67,29,48.275862068965516,0.9664176424634426,-1.3170561534584397,1.4127622771205746,28.026111631439836
ETF,22,13,53.84615384615385,2.1283928249138704,2.638580165272107,1.9512104018288314,27.669106723880315
Paper,29,8,62.5,2.8119000411603494,3.464199770726408,2.2638210738488755,22.495200329282795
Consumer Durables,64,34,44.11764705882353,0.5741344860277477,-5.473815461346616,1.1876933121328934,19.520572524943425
FMCG,68,40,45.0,0.36791854893703524,-1.267246339227211,1.1420199913343867,14.716741957481409
Footwear,13,6,83.33333333333334,1.9029937500869167,0.9659306787440409,3.0859239010064377,11.4179625005215
Oil & Gas,22,8,62.5,1.1804417899858324,1.9206151380061898,1.8282107188780192,9.443534319886659
Pharma,3,2,50.0,1.6173901115451264,1.6173901115451264,6.961290924200935,3.2347802230902527
Industrial Manufacturing,3,1,100.0,2.660011163768779,2.660011163768779,99.0,2.660011163768779
Unclassified,10,8,50.0,0.3313931137262628,0.2890336936604714,1.1434343461848304,2.6511449098101023
Construction,6,1,100.0,2.5250296497601785,2.5250296497601785,99.0,2.5250296497601785
Banks,77,37,54.054054054054056,0.042402833681386067,0.9736203918232877,1.0179048218683822,1.5689048462112845
Containers & Packaging,18,11,27.27272727272727,0.06875931828179528,-5.473815461346632,1.0172720588235193,0.756352501099748
Fertilisers & Pesticides,4,2,50.0,-0.11192981246594247,-0.11192981246594247,0.9591035491582296,-0.22385962493188494
Finance,220,100,40.0,-0.012369709309197296,-3.5250284533586056,0.995990784205585,-1.2369709309197296
Cement & Cement Products,5,4,50.0,-1.2356178648688967,-1.2772934077021154,0.5485350671412963,-4.942471459475587
Services,5,1,0.0,-5.473815461346608,-5.473815461346608,0.0,-5.473815461346608
It,1,1,0.0,-5.473815461346635,-5.473815461346635,0.0,-5.473815461346635
Insurance,15,7,57.14285714285714,-1.3544373615784873,0.3178130061513283,0.5093514293193611,-9.481061531049411
Financial Services,9,5,40.0,-2.752219977907381,-5.473815461346624,0.16200439548909637,-13.761099889536904
Industrial Gases & Fuels,6,2,0.0,-7.1812045690622845,-7.1812045690622845,0.0,-14.362409138124569
Miscellaneous,50,13,38.46153846153847,-1.238608171902514,-5.473815461346621,0.6322970159380517,-16.10190623473268
Retailing,12,5,20.0,-4.165217349637134,-5.473815461346627,0.04883134555552861,-20.826086748185666
Automobile & Ancillaries,213,98,43.87755102040816,-0.21286725619289748,-3.0020513430880094,0.9252417158013814,-20.860991106903953
Consumer Goods,19,11,45.45454545454545,-1.9897321569986117,-5.47381546134663,0.4093887323306152,-21.88705372698473
Media & Entertainment,26,12,33.33333333333333,-1.9106602246848867,-3.4585185444749325,0.3348239020907688,-22.92792269621864
Telecom,24,14,42.857142857142854,-1.6671488791026872,-5.4738154613466214,0.4670060474212703,-23.34008430743762
Aviation,27,12,33.33333333333333,-2.186584476841175,-4.726610280382676,0.320099026812811,-26.2390137220941
Hospitality,45,17,29.411764705882355,-1.827537968513946,-5.473815461346625,0.49054069759935165,-31.068145464737082
Alcohol,14,5,20.0,-6.928427945350734,-5.473815461346616,0.008328037841692079,-34.64213972675367
Chemicals,188,102,37.254901960784316,-0.37486879458135025,-5.4738154613466214,0.8858890663783601,-38.23661704729773
Plastic Products,46,16,18.75,-2.4234806443443766,-5.4738154613466214,0.357961351084194,-38.775690309510026
Power,64,21,38.095238095238095,-1.9630273913747456,-5.473815461346619,0.3969651270478816,-41.223575218869655
Logistics,44,18,27.77777777777778,-2.6808722532534057,-5.473815461346628,0.23244708558934438,-48.2557005585613
Electricals,71,30,33.33333333333333,-1.711690870075848,-5.473815461346616,0.5113442740111654,-51.35072610227544
Agri,89,34,17.647058823529413,-3.3217178526971614,-5.473815461346626,0.1889779837176989,-112.93840699170349
Textiles,103,40,22.5,-3.0042799492633563,-5.473815461346619,0.22998583732828295,-120.17119797053425
Diversified / Other,165,65,27.692307692307693,-2.7925136485890336,-5.473815461346622,0.4326092477453285,-181.51338715828717
