Capacity (Slots),Slot Size (₹),Ending Equity (₹),Total Return (%),CAGR (%),Max Drawdown (%),Profit Factor,Win Rate (%),Trades Taken,Avg Trade Return (%),Capital Exposure (%),Cash Pct (%),Avg Positions,Signals Rejected (Full)
5,"₹200,000",4154556.561383593,315.4556561383593,17.912646158384106,-45.2276496746279,1.6999318713953009,27.70012706480305,787,2.07893043644773,52.34771024999291,47.65228975000709,4.22310570626754,3640
10,"₹100,000",3667687.0288425284,266.76870288425283,16.224455924156512,-26.39611645350499,1.6466075397869746,28.053035589672014,1433,1.8583939999032766,45.21925299207219,54.78074700792781,7.7530402245088865,2994
20,"₹50,000",3324829.1671901806,232.48291671901805,14.9122291714606,-16.020043674036042,1.7101294399613207,29.092451229855808,2358,1.9626103555828627,40.364013407131196,59.635986592868804,13.079045837231057,2069
30,"₹33,333",3043603.7104610135,204.36037104610136,13.743273324650417,-12.59548484099142,1.7692786486486929,29.658703071672356,2930,2.0910947153808745,34.93560862525886,65.06439137474115,16.369504209541628,1497
50,"₹20,000",2532501.1493634386,153.25011493634386,11.349633011372774,-8.68340951896187,1.7589856215556108,29.204728640515853,3722,2.0579828144684367,28.57990363125373,71.42009636874627,20.532273152478954,705
100,"₹10,000",1841754.3204046679,84.17543204046679,7.321332338007447,-5.67393360531034,1.7014111521360937,29.075288265882886,4423,1.903129822303162,19.577905637625072,80.42209436237493,24.16089803554724,4
