Allocation Model,Model Code,Capacity (Slots),Concentration Cap (%),Starting Capital (₹),Ending Equity (₹),Total Return (%),CAGR (%),Max Drawdown (%),Profit Factor,Win Rate (%),Trades Taken,Avg Trade Return (%),Median Trade Return (%),Avg Holding Days,Max Consec Losses,Avg Capital Deployed (%),Avg Cash Pct (%),Max Cash Pct (%),Avg Open Positions,Max Open Positions,Signals Generated,Total Rejected Signals,Signals Rejected (%),Transaction Costs (₹),Slippage Impact (₹),Total Friction (₹),Winners > 25%,Winners > 50%,Winners > 100%,Winners > 200%,BLISSGVS Retained
Model A: Equal Weight (Baseline),MODEL_A,10,15.0,1000000.0,9395068.877011232,839.5068877011232,29.586552038227577,-37.1736726647376,1.7209294564733246,28.541521284019538,1433,2.047865566024789,-3.48379052369076,11.64549895324494,33,78.9614864200916,21.038513579908397,100.0,7.807296538821328,10,4427,2994,67.63044951434381,1386770.9195860855,1386770.9195860855,2773541.839172171,76,26,8,1,True
Model A: Equal Weight (Baseline),MODEL_A,15,10.0,1000000.0,6911703.152997473,591.1703152997474,25.065070112781452,-29.40254888977836,1.6283521018020861,28.527918781725887,1970,1.7558203916622033,-3.48379052369076,11.634010152284263,40,73.34972601783807,26.650273982161934,100.0,10.721702525724977,15,4427,2457,55.50033882990739,1091753.9262644162,1091753.9262644162,2183507.8525288324,97,29,9,1,True
Model A: Equal Weight (Baseline),MODEL_A,20,7.5,1000000.0,7510972.398558417,651.0972398558417,26.27399288135315,-22.312930833281243,1.7387805860742311,29.477292202227932,2334,2.0333509181464784,-3.48379052369076,12.00942587832048,45,68.14003406272121,31.859965937278787,100.0,13.112254443405051,20,4427,2093,47.27806641066184,984349.3618363882,984349.3618363882,1968698.7236727765,130,36,11,1,True
Model A: Equal Weight (Baseline),MODEL_A,25,6.0,1000000.0,6547285.319548046,554.7285319548047,24.28377528867276,-20.984835675314205,1.7675919716667237,29.665790461885095,2663,2.099220380255098,-3.48379052369076,11.965828013518587,39,62.4710872242317,37.5289127757683,100.0,14.90598690364827,25,4427,1764,39.84639710865145,836058.8731155139,836058.8731155139,1672117.7462310279,148,45,13,2,True
Model A: Equal Weight (Baseline),MODEL_A,30,5.0,1000000.0,6377185.61423136,537.718561423136,23.905842318082126,-18.261179217057833,1.8049942413288145,29.834824501032347,2906,2.186418463135524,-3.483790523690759,12.015141087405368,32,57.45078837398542,42.54921162601458,100.0,16.333021515434986,30,4427,1521,34.35735260899029,757570.0226820371,757570.0226820371,1515140.0453640742,166,52,14,2,True
Model B1: Linear Rank Weighted,MODEL_B1_LINEAR,10,15.0,1000000.0,9500392.366144776,850.0392366144777,29.753798875881987,-34.73264736844616,1.7004667882344326,28.321678321678323,1430,1.9922348997581654,-3.48379052369076,11.617482517482518,32,77.52467471521034,22.475325284789662,100.0,7.77221702525725,10,4427,2997,67.6982154958211,1324238.4520677312,1324238.4520677312,2648476.9041354624,75,25,8,1,True
Model B1: Linear Rank Weighted,MODEL_B1_LINEAR,15,10.0,1000000.0,8955373.332495973,795.5373332495973,28.869929236843394,-29.10174189853309,1.6771288214547082,28.732106339468306,1956,1.8905417977166106,-3.48379052369076,11.67075664621677,39,72.20949801867461,27.79050198132539,100.0,10.679139382600562,15,4427,2471,55.81658007680145,1304426.779822932,1304426.779822932,2608853.559645864,100,30,10,1,True
Model B1: Linear Rank Weighted,MODEL_B1_LINEAR,20,7.5,1000000.0,8033318.737667784,703.3318737667785,27.26004736884995,-23.546738472011864,1.7115801403490334,29.16842549598987,2369,1.9657584640967565,-3.48379052369076,11.784297171802448,37,67.31795792784038,32.68204207215962,100.0,13.059401309635174,20,4427,2058,46.4874632934267,1063332.8137268815,1063332.8137268815,2126665.627453763,131,37,11,1,True
Model B1: Linear Rank Weighted,MODEL_B1_LINEAR,25,6.0,1000000.0,7213407.948023264,621.3407948023264,25.684813493936055,-20.024686342135524,1.72095139470048,29.336830273510678,2669,1.9786901453294203,-3.48379052369076,11.89883851629824,39,62.043466518422186,37.956533481577814,100.0,14.855940130963518,25,4427,1758,39.71086514569686,880968.8415120832,880968.8415120832,1761937.6830241664,148,43,12,1,True
Model B1: Linear Rank Weighted,MODEL_B1_LINEAR,30,5.0,1000000.0,6822603.888280816,582.2603888280815,24.877471680916983,-17.98567418171319,1.7599424330064424,29.546229955646535,2931,2.069156551063145,-3.48379052369076,11.905834186284544,44,57.41537904787546,42.58462095212454,100.0,16.323666978484564,30,4427,1496,33.792636096679466,794327.4739283087,794327.4739283087,1588654.9478566174,164,49,14,2,True
