Configuration,Regime_Schedule,Sector_Cap,CAGR,MaxDD,ProfitFactor,WinRate,Trades,AvgTrade,AvgExposure,Calmar
"System E: Fixed Exposure (100%), No Sector Cap",fixed,None,5.804778210494588,-32.20148159122081,1.2307383037867219,46.9601677148847,954,1.165418298980094,68.60995258979779,0.18026432088383046
"System E: Fixed Exposure (100%), Sector Cap 25%",fixed,0.25,5.669895579303641,-31.20472300975763,1.2105979515684169,46.93877551020408,931,1.0691654621529578,68.9691101760217,0.18169991694945284
"System E: Fixed Exposure (100%), Sector Cap 33%",fixed,0.33,6.088004498180788,-32.184150868168274,1.243718342914892,47.10830704521556,951,1.2268280037833512,68.64997333690731,0.18916156971542558
"System E: Regime Schedule 1, No Sector Cap",sch1,None,6.710770929070331,-29.183437903955607,1.2678315660978903,48.35309617918313,759,1.326796791503752,57.861360761263505,0.22995134950021545
"System E: Regime Schedule 1, Sector Cap 25%",sch1,0.25,7.082584338013764,-29.18333751009695,1.2788345072404734,48.35309617918313,759,1.375137082598133,57.72071452799354,0.2426927466936675
"System E: Regime Schedule 1, Sector Cap 33%",sch1,0.33,7.032326747928241,-29.183437903955607,1.2797435118096647,48.620236530880426,761,1.3752507479770588,57.81391920806249,0.2409697846796542
